e6db969289bc3356466fb0ddafa1f5c29ea66469d533b954de805aed307cfc6a,1b501277beade385dbe00b96db01ff8e4b4416f30ca5ee70eb95a14ee9357cb9,fda0a3b6378f67790f51fa5955d64bbc2add4be0cbe8ddcac02cd7f1a2d95cd5,6166141a345762b7428246e8ad465247b540b04c815088a65070851e5b30b201,3a2164d398ddf3fe94b68c018a9911385a276f959eea5f1143537ec566954449
"1","10001001","10001","22","53001"
"1","10001002","10001","22","53004"
"1","10001003","10001","22","53007"
"1","10001004","10001","22","53010"
"1","10001005","10001","22","53013"
"1","10001006","10001","22","53016"
"1","10001007","10001","22","53019"
"1","10001008","10001","22","53022"
"1","10001009","10001","22","53002"
"1","10001010","10001","22","53005"
"1","10001011","10001","22","53008"
"1","10001012","10001","22","53011"
"1","10001013","10001","22","53014"
"1","10001014","10001","22","53017"
"1","10001015","10001","22","53020"
"1","10001016","10001","22","53023"
"1","10002001","10002","22","53001"
"1","10002002","10002","22","53002"
"1","10002003","10002","22","53005"
"1","10002004","10002","22","53008"
"1","10002005","10002","22","53011"
"1","10002006","10002","22","53014"
"1","10002007","10002","22","53017"
"1","10002008","10002","22","53020"
"1","10002009","10002","22","53023"
"1","10002010","10002","22","53003"
"1","10002011","10002","22","53006"
"1","10002012","10002","22","53009"
"1","10002013","10002","22","53012"
"1","10002014","10002","22","53015"
"1","10002015","10002","22","53018"
"1","10002016","10002","22","53021"
"1","10002017","10002","22","53024"
"1","10003001","10003","22","53002"
"2","10003002","10003","22","53002"
"1","10003003","10003","22","53003"
"2","10003004","10003","22","53003"
"3","10003005","10003","22","53003"
"1","10003006","10003","22","53006"
"1","10003007","10003","22","53009"
"1","10003008","10003","22","53012"
"1","10003009","10003","22","53015"
"1","10003010","10003","22","53018"
"1","10003011","10003","22","53021"
"1","10003012","10003","22","53024"
"2","10003013","10003","22","53006"
"2","10003014","10003","22","53009"
"2","10003015","10003","22","53012"
"2","10003016","10003","22","53015"
"2","10003017","10003","22","53018"
"2","10003018","10003","22","53021"
"2","10003019","10003","22","53024"
"3","10003020","10003","22","53006"
"3","10003021","10003","22","53009"
"3","10003022","10003","22","53012"
"3","10003023","10003","22","53015"
"3","10003024","10003","22","53018"
"3","10003025","10003","22","53021"
"3","10003026","10003","22","53024"
