93dd9e909acf7e886b2d13ca20fe9c57c7f6aff6b6daa45141ff082b9f35afce,deb381c06e4139aba7e421252d255800a646c03996809bfaedaec1cc90eafcaf,0ff56ea5ee0047b1bc209ecbc50446cd6e8502a8cd6115a7ca6a1298be3493d3,a17d84fee6d5992406b08e808f4401cddc482475c696af92587b7e45dda96bb2,f3fec64fd2555b2aa5075d4983520816e3c971ea13deae310b7f87210532788f,8eb8442f868129e3ff78b88f42d301d65dd74a537b299a610e983fc2a2cdcd67,258c200f46db55fbf656c213a93c203759d4b1b26f66753126d34103f12c2de7,a70e9db252cfde3fb6a352084e220e8f689ec7ff60702d9c906cecfaffdce4e4
"53001","1","100","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","平凡な未鑑定トレジャー","200","平凡な\n未鑑定トレジャー"
"53002","1","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","2","貴重な未鑑定トレジャー","400","貴重な\n未鑑定トレジャー"
"53003","1","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","3","至高の未鑑定トレジャー","800","至高の\n未鑑定トレジャー"
"53004","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なジェムストーン","200","平凡なジェムストーン"
"53005","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なジェムストーン","400","貴重なジェムストーン"
"53006","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のジェムストーン","800","至高のジェムストーン"
"53007","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なインゴット","200","平凡なインゴット"
"53008","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なインゴット","400","貴重なインゴット"
"53009","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のインゴット","800","至高のインゴット"
"53010","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なスクロール","200","平凡なスクロール"
"53011","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なスクロール","400","貴重なスクロール"
"53012","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のスクロール","800","至高のスクロール"
"53013","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なティアラ","200","平凡なティアラ"
"53014","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なティアラ","400","貴重なティアラ"
"53015","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のティアラ","800","至高のティアラ"
"53016","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なルーン","200","平凡なルーン"
"53017","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なルーン","400","貴重なルーン"
"53018","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のルーン","800","至高のルーン"
"53019","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なクラウン","200","平凡なクラウン"
"53020","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なクラウン","400","貴重なクラウン"
"53021","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のクラウン","800","至高のクラウン"
"53022","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","1","平凡なアーティファクト","200","平凡なアーティファクト"
"53023","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","2","貴重なアーティファクト","400","貴重なアーティファクト"
"53024","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","3","至高のアーティファクト","800","至高のアーティファクト"
