d412759bd83702bda9521dc1e837b07544e67a0ad28533138753828f63b63a73,707717292ed5e7bcd1c7631b902a111e234f55b1c4383d8ac39e7144ec791f8f,06b6e08ea8a3311a6c69cae309b44be497ca5eca4da192e8a444b1e85e78da4c,8f547e6c81f56888fce2bfb5ba45359a7d3f22c8000cacb8e7f46a731eee00de,c2a12414a8570447501668994231b960ed2654d60c6ef8744bf8e7a48bf7c440,c269c7e4cf6c4fbc71c59f62eb53fe5a2eb2584806c70d1776d0d9afd2f64a2e,ab45edc3a93aec689fce403720ebf305b1a5727f8c1a5d071238a1084737810a,0fb84c4a73028d16d0570dc870db9226ac2499d64312b5ef6247c96904294c4e,62743e013cafa7f6e6ec6f82fe19c45ed7bc2c3ab7a5b7dfd17326a969fc21b9,5d8c801b82a0a0ea91ff57f6bae8b0960f43b5bdf9e40d345883dc6846c9599b,f3bafd129c13798054c5ed0a7ece32ead49f88143fd56ea0b7879158dade5600,7e982c284fc884707c6665793ecbd632b18cd39dfb57d76f5aee1531d8309116,d6e321d8d5bc6436ba93e77e454a3a41c6e99a11e3f65dc639378298d291a21e,30f86f9feb938347dbdc722bb3ff76a7a1d02566a5774b33b655861d8e31ee5d,ec39a012cee7ddd25582a36d692eae1706a2ae34cb45054676a243eb82521129
"92407","924070100","96","92407010","前哨クエスト","924073001","90","92407020","0","25","6","1","8","0","924072001"
"92407","924070200","96","92407020","前哨クエスト","924073002","90","92407030","92407010","25","6","2","8","0","924072002"
"92407","924070300","96","92407030","前哨クエスト","924073003","90","0","92407020","25","6","3","8","0","924072003"
"92408","924080100","540","92408010","前哨クエスト","924083001","90","92408020","0","25","25","1","25","0","924082001"
"92408","924080200","540","92408020","前哨クエスト","924083002","90","92408030","92408010","25","25","2","25","0","924082002"
"92408","924080300","540","92408030","前哨クエスト","924083003","90","0","92408020","25","25","3","25","0","924082003"
"92409","924090100","540","92409010","前哨クエスト","924093001","90","92409020","0","25","25","1","25","0","924092001"
"92409","924090200","540","92409020","前哨クエスト","924093002","90","92409030","92409010","25","25","2","25","0","924092002"
"92409","924090300","540","92409030","前哨クエスト","924093003","90","0","92409020","25","25","3","25","0","924092003"
"92410","924100100","540","92410010","前哨クエスト","924103001","90","92410020","0","25","25","1","25","0","924102001"
"92410","924100200","540","92410020","前哨クエスト","924103002","90","92410030","92410010","25","25","2","25","0","924102002"
"92410","924100300","540","92410030","前哨クエスト","924103003","90","0","92410020","25","25","3","25","0","924102003"
