415385fd4de8e45626ff5ecb494b71c75d95f8e0dab8de250d1ab13b4be607dc,5da72ce65fbf7a2ce6ba598fa64c5bbdd261aef1c5fb3da9113e5272aa5e9c9a,116e50735ddd436dbb0cebe477153e8b9f3f2cadf4c5057d2334bda5d3bb0411,5ec609e38bb2cbda52988639dabc2dc3324656757c6d10e32e82732182070fb3,b950d94bc2547ad7d7b5ed2b60866b021100dafeb66b21b880a9016a85019f1f,2f1a150bd8098bfeb9f5444af7a1a1dfaf0ab0a2315c3550a868ed7daa45b10b,81f5f896e1420879cc766212031e67e40ce09cfc9d2ec42bcee2ea9af283eb87,bcadac34e86cdc5de3412a19fe31b87fa61dd31222542061a00194d62507a8e2,96c9002528c7c1a83b5bb9c655565a87dafec6057898c16c0b1c5da5167d4646,1d6dc8c01e5aead3b3675ec6e16f8d875e7955005bf81df46fe8326eeae33e89
"1001","1","575","10590","32","1002","1","1","1003","1100001"
"1004","1","575","10590","32","1005","1","1","1006","1100002"
"1007","1","575","10590","32","1008","1","2","1009","1100003"
"1010","1","500","11820","33","1011","1","1","1012","1100004"
"1013","1","500","11820","33","1014","1","1","1015","1100005"
"1016","1","500","11820","33","1017","1","2","1018","1100006"
"1019","1","500","11820","33","1020","1","4","1021","1100007"
"1022","1","375","13050","35","1023","1","1","1024","1100008"
"1025","1","375","13050","35","1026","1","1","1027","1100009"
"1028","1","375","13050","35","1029","1","6","1030","1100010"
"2001","2","575","10590","34","2002","1","1","2003","1200001"
"2004","2","575","10590","34","2005","1","1","2006","1200002"
"2007","2","575","10590","34","2008","1","1","2009","1200003"
"2010","2","575","10590","34","2011","1","1","2012","1200004"
"2013","2","575","10590","34","2014","1","2","2015","1200005"
"2016","2","575","10590","34","2017","1","4","2018","1200006"
"2019","2","575","10590","34","2020","1","6","2021","1200007"
"2022","2","500","11820","35","2023","1","1","2024","1200008"
"2025","2","500","11820","35","2026","1","1","2027","1200009"
"2028","2","500","11820","35","2029","1","1","2030","1200010"
"2031","2","500","11820","35","2032","1","1","2033","1200011"
"2034","2","500","11820","35","2035","1","4","2036","1200012"
"2037","2","500","11820","35","2038","1","6","2039","1200013"
"2040","2","375","13050","38","2041","1","1","2042","1200014"
"2043","2","375","13050","38","2044","1","1","2045","1200015"
"2046","2","375","13050","38","2047","1","1","2048","1200016"
"2049","2","375","13050","38","2050","1","1","2051","1200017"
"2052","2","375","13050","38","2053","1","2","2054","1200018"
"2055","2","375","13050","38","2056","1","4","2057","1200019"
"2058","2","375","13050","38","2059","1","6","2060","1200020"
"3001","3","575","10590","37","3002","1","1","3003","1300001"
"3004","3","575","10590","37","3005","1","1","3006","1300002"
"3007","3","575","10590","37","3008","1","1","3009","1300003"
"3010","3","575","10590","37","3011","1","1","3012","1300004"
"3013","3","575","10590","37","3014","1","1","3015","1300005"
"3016","3","575","10590","37","3017","1","1","3018","1300006"
"3019","3","575","10590","37","3020","1","2","3021","1300007"
"3022","3","575","10590","37","3023","1","2","3024","1300008"
"3025","3","575","10590","37","3026","1","4","3027","1300009"
"3028","3","575","10590","37","3029","1","6","3030","1300010"
"3031","3","500","11820","38","3032","1","1","3033","1300011"
"3034","3","500","11820","38","3035","1","1","3036","1300012"
