e9aac144c8b99a8641c63e8c1ec1d3167db0ae4a01ae956a52d2af58f2af4451,4fe5b008f9536fd03366887c1ca257feee765d593886618f71571bfe6bb70cc8,ed7350c56cddd681ccf53dd353f4decd6929082d83534ac55253911c77accc7b,0758be5950c5b074c22222fe61edd3a64945d6b34ca8db8d47ea1de268d4bb64,d633c6dd8a576bf38685ba13555eeffa81fc32a5eebb1921f554546ffa48eb5a,c841ab53358a3c3da1c3bf40c17b2b3a5ec8b0f260717109383f6dfc01bf9202,18f2a84cb8cec9519cbccce81d91a40599755658fd76850a832fea039169f967,e5b17c862381487a8e25e6ad80cd596a7e02d93dc046de0cf418fd8cf15ce135,8314b3b0b545b79a1171dd43023275743d0389862817ad97f8a25c3a0861a895,e689102cc937f21848b6e7fd273f06c75d9ad53b7315f5d31c1a728f3f84e6d8,bf497dbe4888dad97f69d36b1afc4ae3a8bb8381234e2187a277f605f2cb8dc4,eadf5618848758c33f6f790ca7f3a569fc9ab665a442e42c7cdbb4693b497e3c,548509e99599e42649876d9dcaf6445842691d9e973c87d1c239e33e189be56f,aa0bb8197ecf2999fb96f429a2db72eb7be17f0d18f43f17ced8671232122aef,e312d3adbf6ef4c1e583a763020401847e9ead3c749352d6a8a963f7f3edb288,6e2b2a95146e525c71701b7bf2be23cc3aa0d1048321d96c6d3f440ece8a526c,727e9de8004c809342e53a6dee95c367ac67169ff1a1ca3f586ebeefa7e3f873,4fd288beb0f4045b4a7fdb2dc131da2e6cd5fa3338d0422abdf024eef8de50ee,bc79d91b86ff4f010214f0562357cca9e49c638b1a09d4e6109b9d82bc451c62
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25014","0","25021","0","200","1000000000","2","1000","1000","0","25015","2","92407","240701"
"2","300","2","abyss_reward_icon_astralshard","25021","25012","0","25011","0","1000","2000000000","2","1000","1000","0","25013","2","92407","240702"
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25014","0","25021","0","500","3000000000","2","1000","1000","0","25015","2","92407","240703"
"2","500","2","abyss_reward_icon_astralshard","25021","25012","0","25011","0","1000","4000000000","2","1000","1000","0","25013","2","92407","240704"
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25014","0","25021","0","1000","5000000000","2","1000","1000","0","25015","2","92407","240705"
"2","1000","2","abyss_reward_icon_astralshard","25021","25012","0","25011","0","1000","6000000000","2","1000","1000","0","25013","2","92407","240706"
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25014","0","25021","0","1000","7000000000","2","3000","3000","0","25015","2","92407","240707"
"2","1000","2","abyss_reward_icon_astralshard","25021","25012","0","25011","0","3000","8000000000","2","3000","3000","0","25013","2","92407","240708"
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25014","0","25021","0","1000","9000000000","2","3000","3000","0","25015","2","92407","240709"
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25011","0","25021","0","1000","10000000000","2","3000","3000","0","25012","2","92407","240710"
"2","10","2","abyss_reward_icon_masterpieces_piece","25102","25013","0","25021","0","1000","12000000000","2","3000","3000","0","25015","2","92407","240711"
"2","1000","2","abyss_reward_icon_astralshard","25021","25012","0","25011","0","3000","16000000000","2","3000","3000","0","25014","2","92407","240712"
