270dac40f8f629b23b8e17159c2c31c4164497cef63ada1e2c1cd0366140e7c9,6413c4a0014d736a861815826618b3a60cccf228c5bc924c90d301582e04f7de,7cd46cd4ca0648eddcc802dafb34879f6b982ec985ee1fa0c7ea292a31ece2c0,0a3df2c1cfb9fa20ee47bc2cbb86b65de3638acac55d3be67bb841b0168b3bc9,c0f4ae7c0f80202d76002d5d119da9670b427d3f8549195fb8a990029d17417e,36bd02525e2520c58757e1125c7d2c3fd3915f95f027e54e19158dd54b4f6175,9152f94cf732c34dade88f4c321a263821c37cb8e334c2d5e9581a02f665b2dd,a575f6f93e6610aa495d101020a0026fe3749d113f166d4250d43a22022adbec
"376010001","90","2024/10/15 15:00:00","760100011","276010001","1","1","76010001"
"376010002","90","2024/10/15 15:00:00","760100021","276010002","2","1","76010002"
"376010003","90","2024/10/15 15:00:00","760100031","276010003","3","1","76010003"
"376010004","90","2024/10/15 15:00:00","760100041","276010004","4","1","76010004"
"376010005","90","2024/10/15 15:00:00","760100051","276010005","5","1","76010005"
"376020001","90","2024/10/15 15:00:00","760200011","276020001","1","2","76020001"
"376020002","90","2024/10/15 15:00:00","760200021","276020002","2","2","76020002"
"376020003","90","2024/10/15 15:00:00","760200031","276020003","3","2","76020003"
"376020004","90","2024/10/15 15:00:00","760200041","276020004","4","2","76020004"
"376020005","90","2024/10/15 15:00:00","760200051","276020005","5","2","76020005"
