646f0b96b28495868a07931971b6afa571f8a08425d3283d133da72fece30fb0,2d589cc019b4308dad49d78381bf39fbdb03f41771738e6bcaa48aa1480c52a1,14c2720c69ce3d0514a02038c10880107ec151cac0926ccaeae5c31ce957cba6,70f9c2b4ad784f4f1b87a059944a0793a69b7f8a286354b9b2cb0c8351b0d5e7,ebc7acaf045805b57bd1a573e7695f89a704837664639e739f0645317fec3978,74cb8c406df8040416735e237363d23dfbb34cb0daf8d2c01952b9f051b0306f,c67bf3bfce52698475d3cf1ce935c9671f788428879a32f8b38b6a9c9aa074be,47e1a2ce811edce47fd1930f2e1ac9abe7cf4e00a5f291ffbc94eafcf3c15e16,fdb27d134a9515fb587329ad3b1ac590e9541cee9b0f432886787afc68f7ae6b,4685fd1b6f4d3a1f1f4329a20f99f5ff85dff401c756c95c6e0be66f793edfd0,6aed13d018adf340815d207534f4b9d2728e2292b3ee7eb43809b5d6664234f1
"dsb_idle_normal","0","5","70","-345","1","10","1010801","-165","1010801001","2"
"dsb_idle_worry","1","5","70","-345","2","4","1010801","165","1010801002","2"
"dsb_lago","0","5","70","-350","99","10","1010801","-215","1010801003","2"
"","","31","0","1","1","1","1010801","0","1010801004","1"
"","","31","0","1","3","3","1010801","0","1010801005","1"
"","","31","0","1","4","4","1010801","0","1010801006","1"
"","","31","0","1","10","14","1010801","0","1010801007","1"
"","","31","0","1","20","24","1010801","0","1010801008","1"
"","","31","155","1","30","34","1010801","-168","1010801009","1"
"","","31","-155","1","31","34","1010801","-168","1010801010","1"
"","","31","-222","1","32","42","1010801","-175","1010801011","1"
"","","31","0","1","40","40","1010801","0","1010801012","0"
"","","13","","","170","1","1010801","","1010801013",""
"","","13","","","170","2","1010801","","1010801014",""
"","","91","","","","0","1010801","","1010801015",""
"","","23","1","","se_10044200_cmn_amb","se_10044200","1010801","","1010801016",""
"","","23","0","","se_10044200_cmn_steam","se_10044200","1010801","","1010801017",""
"","","93","","","0","6","1010801","","1010801018",""
"","","23","1","","se_10044200_hotspring_04","se_10044200","1010801","","1010801019",""
"","","93","","","0","1.5","1010801","","1010801020",""
"","","3","1","","dsb_talk_anger_Ex8","2","1010801","","1010801021","0.5"
"","","21","0","","vo_dsb_1001","vo_dsb_1010801","1010801","0","1010801022",""
"0.2","0","11","10","1","あ、あづいです～っ！！\nここのお湯の温度はおかしいですよ……\nどうなってるですか、ボス！？","2","1010801","1","1010801023","0"
"","","91","","","","0","1010801","","1010801024",""
"","","3","1","","dsb_idle_worry","2","1010801","","1010801025","0.5"
"","","3","1","","dsb_talk_worry_Ex3","1","1010801","","1010801026","0.5"
"","","21","0","","vo_dsb_1002","vo_dsb_1010801","1010801","0","1010801027",""
"0.2","0","11","10","1","今はボスじゃなくて\n若女将って呼んでほしいな～？","1","1010801","1","1010801028","0"
"","","91","","","","0","1010801","","1010801029",""
"","","3","1","","dsb_idle_normal","1","1010801","","1010801030","0.5"
"","0.5","3","0","1","dsb_talk_doya_sing","2","1010801","dsb_talk_doya_sing_loop","1010801031","0.5"
"","","21","0","","vo_dsb_1003","vo_dsb_1010801","1010801","0","1010801032",""
"0.2","0","11","10","1","けっ。\nな～にが若女将ですか……\n根性のねじ曲がったババ女将のくせに。","2","1010801","1","1010801033","0"
"","","91","","","","0","1010801","","1010801034",""
"","","3","1","","dsb_idle_doya_blink","2","1010801","","1010801035","0.5"
"","","3","1","","dsb_talk_sad2_talkjoy2","1","1010801","","1010801036","0.5"
"","","21","0","","vo_dsb_1004","vo_dsb_1010801","1010801","0","1010801037",""
"0.2","0","11","10","1","イノリちゃん……\n今なんか言った？","1","1010801","1","1010801038","0"
"","","91","","","","0","1010801","","1010801039",""
"","","3","1","","dsb_idle_normal","1","1010801","","1010801040","0.5"
"","0.5","3","0","1","dsb_surprise_inori","2","1010801","dsb_talk_surprise1_2","1010801041","0.2"
"","","21","0","","vo_dsb_1005","vo_dsb_1010801","1010801","0","1010801042",""
"0.2","0","11","10","1","いいい、いや何も言ってないですよ～？\nそんなことより温泉です！\nこの熱さはただごとじゃないです……\n絶対ヤバいものが入ってるですよ！","2","1010801","1","1010801043","0"
"","","91","","","","0","1010801","","1010801044",""
"","","3","1","","dsb_idle_surprise1_normal","2","1010801","","1010801045","0.5"
"","","3","1","","dsb_talk_bitter","1","1010801","","1010801046","0.5"
"","","21","0","","vo_dsb_1006","vo_dsb_1010801","1010801","0","1010801047",""
"0.2","0","11","10","1","人聞きが悪いな～\n危険なものなんて入ってないよ～\n……むしろイノリちゃんだって\nよく知ってるものだし？","1","1010801","1","1010801048","0"
"","","91","","","","0","1010801","","1010801049",""
"","","3","1","","dsb_idle_normal","1","1010801","","1010801050","0.5"
"","","3","1","","dsb_sniff","2","1010801","","1010801051","0.5"
"","","21","0","","vo_dsb_1007","vo_dsb_1010801","1010801","0","1010801052",""
"0.2","0","11","10","1","言われてみれば……クンクン。\nこのお湯の匂い\nどっかで嗅いだような気がするです。","2","1010801","1","1010801053","0"
