bcbd0734ad1edb2c19cb8c61dd336851fbcb0b666f1181da3416d157561cbdce,a1da97cbb9da9e53deb276f37560e5793ad5541b9f51655287d99710a592470a,79a5459537b024d467e421fd4ab729e9bc86f21c755559953ff4978ed0bf5d25,ac4b1f509a2c1fd363800bb003535010659fd6f3ef25be33d8df681b54292e1d,0fa9c79d3e2d612f9a465908431153629d3ffb9faf8c4c3e6d7c169471a2a256,f5e14b43e8147890d06e4df55d73d92979c4a196bdf30b41b5a3197a24fcc56b,9a1f3fd21c3c5b841b1f9f6b1924aa412d81698912401b053f7096e7ba8eebdc
"0","10064","4","開会式","1006401","0","20036104"
"0","10064","3","開会式","1006402","0","20036104"
"1006402","10064","1","徒競走","1006403","0","20036104"
"1006402","10064","4","徒競走","1006404","0","20036104"
"1006402","10064","2","徒競走","1006405","0","20036104"
"1006405","10064","2","騎馬戦","1006406","0","20036104"
"1006405","10064","4","騎馬戦","1006407","0","20036104"
"1006406","10064","3","昼休憩","1006408","0","20036106"
"1006406","10064","4","昼休憩","1006409","0","20036106"
"1006408","10064","3","学術文化出展各種","1006410","0","20036106"
"1006408","10064","4","学術文化出展各種","1006411","0","20036106"
"1006408","10064","1","学術文化出展各種","1006412","0","20036106"
"1006410","10064","4","侍女風給仕喫茶","1006413","0","20036108"
"1006410","10064","3","侍女風給仕喫茶","1006414","0","20036108"
"1006414","10064","3","総合リレー","1006415","0","20036113"
"1006414","10064","4","総合リレー","1006416","0","20036113"
"1006415","10064","1","セレモニーステージ","1006417","2003601","0"
"1006415","10064","4","セレモニーステージ","1006418","2003601","0"
"1006415","10064","2","セレモニーステージ","1006419","2003601","0"
"1006419","10064","3","閉会式","1006420","2003601","0"
"1006419","10064","4","閉会式","1006421","2003601","0"
"1006420","10064","4","コンプリート演出","1006422","2003601","0"
