4fe3e7ecb06fb7b21929f22674d4b95813cb9474e8313aed22874e29ec3e018d,0a8c4780ae882b27df26917f2f7eb2f7b4e5030cfb8b4ebed3bd6ad51af7b484,37aa189889dd92097e17972a22085cdd3aee32bf0327713dd548eda1b48835ea,6eff8dfef4f81b166a56db44858074b49effb41e4d4b4cf9212b6dd19dd69d2b,f24038b62ad09be6fe63d0726a30b556894aa27784d178d62c8af3eeb2f9aa30,cdeff8777f9270973679012e11b53cd7db001f841ebbb478a9b57a7239d6c45f,55991cdeb9a368ff1c708091b11b9cd056ac9548d1fa03223695305a28c43250,288464bb2780bdac30531ab408db525d3785bfb77440ee47cd7c0a4aeac4dc6e,9eee07abf4210dd5611319b4dd046633021e7a6816ba6ae4437eb05d8c0851ac,bc78cbc694b8dd80cc33a1a221f21827dca6a7d6f343dc84e6da24eb2c398827,ff645ebf0f71eb302c3773673a8350e67c9f8d6df8d983040c2ed477c8f781ef
"8","1","8","10","2","31","2","284001001","25014","91002","25021"
"8","2","8","10","2","31","2","284001002","25014","91002","25021"
"8","3","8","10","2","32","2","284001003","25014","91002","25021"
"8","4","8","10","2","32","2","284001004","25014","91002","25021"
"8","5","8","10","2","33","2","284001005","25014","91002","25021"
"9","6","8","10","2","33","2","284001006","25014","91002","25021"
"9","7","8","10","2","34","2","284001007","25014","91002","25021"
"9","8","8","10","2","35","2","284001008","25014","91002","25021"
"9","9","8","10","2","35","2","284001009","25014","91002","25021"
"10","10","8","30","2","37","2","284001010","25014","91002","25021"
"10","11","8","10","2","41","2","284001011","25014","91002","25021"
"11","12","8","10","2","43","2","284001012","25014","91002","25021"
"11","13","8","10","2","46","2","284001013","25014","91002","25021"
"12","14","8","10","2","48","2","284001014","25014","91002","25021"
"12","15","8","10","2","50","2","284001015","25014","91002","25021"
"13","16","8","10","2","53","2","284001016","25014","91002","25021"
"14","17","8","10","2","55","2","284001017","25014","91002","25021"
"14","18","8","10","2","58","2","284001018","25014","91002","25021"
"15","19","8","10","2","60","2","284001019","25014","91002","25021"
"15","20","8","30","2","62","2","284001020","25014","91002","25021"
"16","21","8","10","2","68","2","284001021","25014","91002","25021"
"16","22","8","10","2","70","2","284001022","25014","91002","25021"
"16","23","8","10","2","72","2","284001023","25014","91002","25021"
"17","24","8","10","2","75","2","284001024","25014","91002","25021"
"18","25","8","10","2","77","2","284001025","25014","91002","25021"
"18","26","8","10","2","79","2","284001026","25014","91002","25021"
"19","27","8","10","2","82","2","284001027","25014","91002","25021"
"19","28","8","10","2","84","2","284001028","25014","91002","25021"
"19","29","8","10","2","86","2","284001029","25014","91002","25021"
"20","30","8","30","2","89","2","284001030","25014","91002","25021"
"20","31","8","10","2","94","2","284001031","25014","91002","25021"
"21","32","8","10","2","96","2","284001032","25014","91002","25021"
"21","33","8","10","2","99","2","284001033","25014","91002","25021"
"22","34","8","10","2","101","2","284001034","25014","91002","25021"
"22","35","8","10","2","103","2","284001035","25014","91002","25021"
"23","36","8","10","2","106","2","284001036","25014","91002","25021"
"23","37","8","10","2","108","2","284001037","25014","91002","25021"
"24","38","8","10","2","111","2","284001038","25014","91002","25021"
"25","39","8","10","2","113","2","284001039","25014","91002","25021"
"25","40","8","30","2","115","2","284001040","25014","91002","25021"
"26","41","8","10","2","121","2","284001041","25014","91002","25021"
"27","42","8","10","2","123","2","284001042","25014","91002","25021"
"28","43","8","10","2","125","2","284001043","25014","91002","25021"
"28","44","8","10","2","128","2","284001044","25014","91002","25021"
"29","45","8","10","2","130","2","284001045","25014","91002","25021"
"30","46","8","10","2","132","2","284001046","25014","91002","25021"
"30","47","8","10","2","135","2","284001047","25014","91002","25021"
"31","48","8","10","2","137","2","284001048","25014","91002","25021"
"31","49","8","10","2","139","2","284001049","25014","91002","25021"
"31","50","8","30","2","142","2","284001050","25014","91002","25021"
"32","51","8","10","2","144","2","284001051","25014","91002","25021"
"32","52","8","10","2","146","2","284001052","25014","91002","25021"
"32","53","8","10","2","149","2","284001053","25014","91002","25021"
"33","54","8","10","2","152","2","284001054","25014","91002","25021"
"33","55","8","10","2","155","2","284001055","25014","91002","25021"
"33","56","8","10","2","157","2","284001056","25014","91002","25021"
"34","57","8","10","2","160","2","284001057","25014","91002","25021"
"34","58","8","10","2","163","2","284001058","25014","91002","25021"
"34","59","8","10","2","166","2","284001059","25014","91002","25021"
"35","60","8","30","2","169","2","284001060","25014","91002","25021"
"35","61","8","10","2","171","2","284001061","25014","91002","25021"
"35","62","8","10","2","174","2","284001062","25014","91002","25021"
"36","63","8","10","2","177","2","284001063","25014","91002","25021"
"36","64","8","10","2","180","2","284001064","25014","91002","25021"
"36","65","8","10","2","182","2","284001065","25014","91002","25021"
"37","66","8","10","2","185","2","284001066","25014","91002","25021"
"37","67","8","10","2","187","2","284001067","25014","91002","25021"
"37","68","8","10","2","190","2","284001068","25014","91002","25021"
"38","69","8","10","2","193","2","284001069","25014","91002","25021"
"38","70","8","30","2","196","2","284001070","25014","91002","25021"
