af407dcaa68f636d8a74f63e3075d865925fdb48378bf620558a42c1a65f8758,5ab366bd17c88a45a76f3a2c50d88e9dd521ac54e73d2f2afa265ac7eb7506af,8d30bf00c51276adadafa31b520a52cfb94dade3222654ead11db29c3b3fa60e,2665673a1ab84215a2761772888295e162bc2676eee41ed43136510e977f9579,3517f8c00688bfc0a57a774b1c87bc140ed2192e4722ebbc34c290dfb38d14c8,9f2ea81aa8d9dca64bb126b5e82da6ab31e9912e9a93fe7346eb098a775451db,e06715c462a0f168f92b3cd17c2570529d10c12179df55126fb02cecb215a1e5,3cb0b7e44d07ff54994e9c8c5e16deba4f0e840b7b9d864e534ca1058ac0fc33
"182","1","71","1","-401","170","1","-90"
"182","2","81","1","-401","170","2","-90"
"182","3","121","1","-255","255","3","90"
"182","4","131","1","-255","255","4","90"
"182","5","141","1","-255","255","5","90"
"176","6","191","1","-107","229","6","-80"
"176","7","201","1","-107","229","7","-80"
"151","8","271","1","136","218","8","-85"
"151","9","281","1","136","218","9","-85"
"151","10","291","1","136","218","10","-85"
"219","11","331","1","280","156","11","80"
"219","12","341","1","280","156","12","80"
"219","13","351","1","280","156","13","80"
"183","14","401","1","417","213","14","-97"
"183","15","411","1","417","213","15","-97"
"229","1","451","2","-259","242","2","-73"
"179","2","481","2","-222","226","4","124"
"192","3","501","2","-101","219","6","-67"
"190","4","521","2","-26","168","8","-27"
"260","5","551","2","117","192","11","-50"
"138","6","601","2","241","159","14","120"
"138","7","611","2","241","159","14","120"
"229","8","621","2","243","224","14","-71"
"43","1","781","3","-353","71","1","32"
"268","2","801","3","-228","235","2","-30"
"45","3","831","3","-243","80","3","144"
"225","4","851","3","20","221","4","-76"
"222","5","861","3","230","211","5","-74"
"136","6","891","3","-100","115","6","44"
"136","7","901","3","-100","115","7","44"
"250","8","991","3","116","306","8","76"
"250","9","1001","3","116","306","9","76"
"250","10","1011","3","116","306","10","76"
"188","11","1041","3","322","96","11","40"
"188","12","1051","3","322","96","12","40"
"272","1","1091","4","-211","294","1","-6"
"115","2","1101","4","-288","92","2","129"
"115","3","1111","4","-288","92","3","129"
"174","4","1121","4","-58","135","4","128"
"184","5","1151","4","143","222","5","133"
"98","6","1161","4","-277","134","6","-129"
"98","7","1171","4","-277","134","7","-129"
"70","8","1211","4","-60","67","8","-12"
"70","9","1221","4","-60","67","9","-12"
"185","10","1231","4","116","132","10","-55"
"89","11","1261","4","-17","93","11","-103"
"89","12","1271","4","-17","93","12","-103"
"239","13","1311","4","232","150","13","23"
"72","1","1391","5","-289","114","1","-161"
"72","2","1401","5","-289","114","2","-161"
"248","3","1411","5","-261","228","3","80"
"211","4","1431","5","-103","223","4","-91"
"181","5","1471","5","-87","186","5","95"
"176","6","1551","5","69","132","6","-122"
"176","7","1561","5","69","132","7","-122"
"184","8","1611","5","54","143","8","91"
"247","9","1641","5","204","211","9","45"
"167","10","1651","5","308","137","10","141"
"174","11","1661","5","282","175","11","-46"
"240","1","1741","6","-252","222","1","-11"
"245","2","1761","6","-19","311","2","-96"
"221","3","1771","6","-46","261","3","95"
"237","4","1781","6","152","166","4","83"
"229","5","1782","6","227","183","5","-100"
"183","1","1811","7","-249","223","1","-46"
"247","2","1881","7","-159","337","2","54"
"191","3","1921","7","30","202","3","-70"
"215","4","1941","7","173","176","4","0"
"236","5","1981","7","292","204","5","77"
"254","1","2001","8","-472","209","1","89"
"282","2","2031","8","-375","250","2","-77"
"223","3","2051","8","-280","241","3","110"
"270","4","2101","8","-148","243","4","-85"
"264","5","2131","8","3","274","5","74"
"302","6","2171","8","155","321","6","-36"
"277","7","2201","8","283","199","7","82"
"344","8","2271","8","374","349","8","0"
"301","1","2321","9","-275","240","1","-30"
"108","2","2361","9","-132","106","2","-115"
"108","3","2371","9","-132","106","3","-115"
"246","4","2381","9","-73","202","4","32"
"84","5","2411","9","-43","114","5","-140"
"84","6","2421","9","-43","114","6","-140"
"84","7","2461","9","50","86","8","65"
"84","8","2471","9","50","86","9","65"
"137","9","2481","9","80","185","10","-110"
