2874fb560f1293a274d99371db1332fdcbb7b627023af3099d74d57441103edd,51051b10854479c4b11ee68c14761b3cac3315dcb1dcbda093221b404e28f57e,d5716183f437af49686a5e0f198760435d1bea311a4d3b42de9d6ef35b07fca8,21218b92a4ca768eb4a3ecde1a801e852a7a9a22c47554db18cdc84a9911adca
"20","1","2","20"
"30","1","3","30"
"80","2","3","50"
"160","3","3","80"
"60","1","4","60"
"160","2","4","100"
"340","3","4","180"
"700","4","4","360"
"1200","5","4","500"
"100","1","5","100"
"260","2","5","160"
"540","3","5","280"
"1020","4","5","480"
"1800","5","5","780"
"100","1","6","100"
"260","2","6","160"
"540","3","6","280"
"1020","4","6","480"
"1800","5","6","780"
"100","1","7","100"
"260","2","7","160"
"540","3","7","280"
"1020","4","7","480"
"1800","5","7","780"
"100","1","8","100"
"260","2","8","160"
"540","3","8","280"
"1020","4","8","480"
"1800","5","8","780"
"100","1","9","100"
"260","2","9","160"
"540","3","9","280"
"1020","4","9","480"
"1800","5","9","780"
"100","1","10","100"
"260","2","10","160"
"540","3","10","280"
"1020","4","10","480"
"1800","5","10","780"
