051ac454a2aba8698c4ebaa1ae239857a003562f795cb0afbc1a43b6bc5c9fa0,4796148cc84eff4ef76df58e8061d0481a249be5135eaa403b3ed3930e9856c1,13f958fc6ab863f6ad20ff6ab883851fa7e2dfa38afe4697ba86cc3337cd1e17,4cef5da47431247437c5d9f2621e48b06835d82824c34da7a5193112c0270b13,0a2abab45b86e39e0cfa0b16dd45462939fae61a42f8015d36660fdd60c2f114,82d887b00db5de7288f1bacc0db1ce9fb212641b297319b5e71dc4f5f077b30b,563ee1b539d43d6b23f7d44cc2f743fe613b456011329bb0e0562935cbfe76a9,4d044e5c6b86eb155147e569f45bdac4cd3912ae3fb47542cfa29a15f7f5e2d2,06aa0e4325ec93134be8bdebed727b8f3d4a1a1c5ffd0aaa254b05e9ec8197bc,a84af8750b419ec6ca3137797fbe3c6834d98f9ba54eb041bf5597f915814f89,56e4f9eb0ab2ec012473bf35114830dfe7bdef50b70978fe08ec81738eab67ba,547aac7e877f2df8c4decf1e667fb945fbb2261aaf8d0cd6c0393993fd6448d0,bafd76fffbf982fa7c156b80c100c938adab091962aba3a316b79071d4bbdfb4,a54eecbc68eeb3b81543b1518d20bec2cdea807cadf52af7faba8a6de1777c48,7f82a7ca27b21213a79913da324055c2420a012769a6e23390874d0e978a1b59,1c7fe2d6c0f424c48ff8411309ed99a3bace90b9f04b7c1cf72a22dc30671b6d,1672ba93ccb92ff1d7ebf89b363ad6b32934f90791918615898af2f7d9c0f593,f57275aebcf9686efad0e3a2df7210c669d4636e600dc4524c3af3d2144c384a,7bb299adf2b4c320cbe73fc0aea1db83d2d4d5c1a31b8a0fef69ec6d7bcd4c22,06f23edd1b05f4c51fb2d69b36c9e4a2ec38cd0e8b94ef1ac988873f7e2161cf,149a62fe5e9c444a05c5cb401ba60b5135a4b09618481c224b7a774fae5defe8,a710e77a806dead75a21578eea48c275781e5c4d8447deecc7b0c33eed23cf20
"-480","250","210","101001","1","1","1","-30","1","10010101","-30","1","10","bgm_M64","0.8","1001","0","0","101001","0.7","-120","0.6"
"-260","0","200","101001","2","1","1","0","1","10010102","-30","2","10","bgm_M64","1.2","1001","0","0","101001","1","-120","0.75"
"-40","100","200","101001","3","1","1","-10","1","10010103","-30","3","0","bgm_M64","1.1","1001","-50","0","101001","1","0","0.75"
"240","0","200","101001","4","1","1","0","1","10010104","-30","4","0","bgm_M64","1","1001","0","0","101001","1","-50","0.7"
"480","200","250","101011","5","1","1","0","1","10010105","-30","5","0","bgm_M55","1.3","1001","0","0","101011","1","-40","1.2"
"-480","250","210","101001","1","1","1","-30","1","10020101","-30","1","10","bgm_M64","0.8","1002","0","0","101021","0.7","-155","0.6"
"-265","250","200","101001","2","1","1","0","1","10020102","-30","2","10","bgm_M64","1.2","1002","0","0","101021","1","-120","0.75"
"-30","100","200","101001","3","1","1","-10","1","10020103","-30","3","0","bgm_M64","1.4","1002","-30","-15","101021","1","30","0.9"
"220","100","200","101001","4","1","1","0","1","10020104","-30","4","0","bgm_M64","1.5","1002","-30","0","101021","1.25","-90","1"
"440","200","250","101011","5","1","1","0","1","10020105","-30","5","0","bgm_M55","1.8","1002","0","0","101031","1.6","0","1.4"
"-470","250","210","101041","1","1","1","-30","1","10030101","-30","1","10","bgm_M64","0.8","1003","0","0","101041","0.7","-155","0.6"
"-210","250","200","101041","2","1","1","0","1","10030102","-30","2","10","bgm_M64","1.2","1003","0","0","101041","1","-95","0.75"
"50","100","200","101041","3","1","1","-10","1","10030103","-30","3","0","bgm_M64","1.1","1003","-50","0","101041","1","-120","0.75"
"195","100","200","101041","4","1","1","0","1","10030104","-30","4","0","bgm_M64","1.5","1003","-30","0","101041","1.2","35","0.8"
"450","150","210","101042","5","1","1","0","1","10030105","-30","5","0","bgm_M55","1.8","1003","-50","0","101042","1.35","-55","1.1"
"-480","250","210","101161","1","1","1","-30","1","10040101","-30","1","10","bgm_M64","0.8","1004","0","0","101161","0.7","-120","0.6"
"-260","0","200","101161","2","1","1","0","1","10040102","-30","2","10","bgm_M64","1.2","1004","0","0","101161","1","-120","0.75"
"-20","100","200","101161","3","1","1","-10","1","10040103","-30","3","0","bgm_M64","1.4","1004","-30","-15","101161","1","55","0.9"
"180","0","200","101161","4","1","1","0","1","10040104","-30","4","0","bgm_M64","1.3","1004","-30","0","101161","1","-30","0.9"
"470","200","250","101162","5","1","1","-30","1","10040105","-30","5","0","bgm_M55","1.2","1004","-50","-40","101162","0.9","-60","0.9"
"-480","250","210","101161","1","1","1","-30","1","10050101","-30","1","10","bgm_M64","0.8","1005","0","0","101171","0.7","-120","0.6"
"-260","0","200","101161","2","1","1","0","1","10050102","-30","2","10","bgm_M64","1.2","1005","0","0","101171","1","-120","0.75"
"-20","100","200","101161","3","1","1","-10","1","10050103","-30","3","0","bgm_M64","1.4","1005","-30","-15","101171","1","45","0.9"
"190","0","200","101161","4","1","1","0","1","10050104","-30","4","0","bgm_M64","1","1005","0","0","101171","1","-70","0.7"
"445","200","240","101162","5","1","1","0","1","10050105","-30","5","0","bgm_M55","1.3","1005","-30","-40","101172","1","-25","1"
"-480","250","210","101161","1","1","1","-30","1","10060101","-30","1","10","bgm_M64","0.8","1006","0","0","101191","0.7","-120","0.6"
"-260","0","200","101161","2","1","1","0","1","10060102","-30","2","10","bgm_M64","1.2","1006","0","0","101191","1","-100","0.75"
"-10","100","200","101161","3","1","1","-10","1","10060103","-30","3","0","bgm_M64","1.1","1006","0","-15","101191","1","65","0.8"
"190","0","200","101161","4","1","1","0","1","10060104","-30","4","0","bgm_M64","1.2","1006","0","0","101191","1","-110","0.8"
"485","270","280","101162","5","1","1","-45","1","10060105","-30","5","-10","bgm_M55","1.15","1006","-50","0","101192","1","-70","0.9"
"-480","250","210","101161","1","1","1","-30","1","10070101","-30","1","10","bgm_M64","0.8","1007","0","0","101201","0.7","-120","0.6"
"-260","120","240","101161","2","1","1","0","1","10070102","-30","2","10","bgm_M64","1.2","1007","0","0","101201","1","-120","0.9"
"-10","100","200","101161","3","1","1","-10","1","10070103","-30","3","0","bgm_M64","1.1","1007","0","-15","101201","1","65","0.8"
"190","100","200","101161","4","1","1","0","1","10070104","-30","4","0","bgm_M64","1.2","1007","0","0","101201","1","-110","0.9"
"475","270","250","101162","5","1","1","-45","1","10070105","-30","5","10","bgm_M55","1.45","1007","-50","-20","101202","1","-30","1"
"-480","250","210","101161","1","1","1","-30","1","10080101","-30","1","10","bgm_M64","0.8","1008","0","0","101291","0.7","-120","0.6"
"-260","120","240","101161","2","1","1","0","1","10080102","-30","2","10","bgm_M64","1.2","1008","0","0","101291","1","-120","0.9"
"-40","100","200","101161","3","1","1","-10","1","10080103","-30","3","0","bgm_M64","1.1","1008","0","-15","101291","1","65","0.8"
"150","100","200","101161","4","1","1","0","1","10080104","-30","4","0","bgm_M64","1.3","1008","0","0","101291","1.3","-110","0.9"
"490","45","230","101162","5","1","1","30","1","10080105","-30","5","30","bgm_M55","1.45","1008","15","-20","101292","1.3","-15","1.1"
"-480","250","210","101161","1","1","1","-30","1","10090101","-30","1","10","bgm_M64","0.8","1009","0","0","101301","0.7","-120","0.6"
"-260","120","200","101161","2","1","1","0","1","10090102","-30","2","10","bgm_M64","1.2","1009","0","0","101301","1","-120","0.75"
"-50","100","200","101161","3","1","1","-10","1","10090103","-30","3","0","bgm_M64","2.3","1009","0","-15","101301","2.2","100","1.55"
"180","100","200","101161","4","1","1","0","1","10090104","-30","4","0","bgm_M64","1.3","1009","15","0","101301","1.3","-100","1"
"470","200","270","101162","5","1","1","-30","1","10090105","-30","5","10","bgm_M55","1.2","1009","-15","-20","101302","1.1","-55","1"
"-450","170","210","101161","1","1","1","-30","1","10100101","-30","1","10","bgm_M64","1","1010","-25","0","101441","0.9","-130","0.575"
"-250","120","200","101161","2","1","1","0","1","10100102","-30","2","10","bgm_M64","1.2","1010","0","0","101441","1","-120","0.75"
"-10","100","200","101161","3","1","1","-10","1","10100103","-30","3","0","bgm_M64","1.1","1010","0","-15","101441","1","50","0.8"
"180","0","200","101161","4","1","1","0","1","10100104","-30","4","0","bgm_M64","1.3","1010","-30","0","101441","1","-100","0.9"
"470","200","270","101162","5","1","1","-30","1","10100105","-30","5","10","bgm_M55","1.2","1010","-35","-20","101442","1.1","-70","0.95"
"-450","170","210","101451","1","1","1","-30","1","10110101","-30","1","10","bgm_M64","1","1011","-25","0","101451","0.9","-130","0.575"
"-250","120","200","101451","2","1","1","0","1","10110102","-30","2","10","bgm_M64","1.2","1011","0","0","101451","1","-120","0.75"
"-20","100","200","101451","3","1","1","-10","1","10110103","-30","3","0","bgm_M64","1.4","1011","-30","-15","101451","1","50","0.9"
"200","100","220","101451","4","1","1","0","1","10110104","-30","4","0","bgm_M64","0.9","1011","20","0","101451","0.8","-100","0.65"
"510","200","290","101452","5","1","1","-50","1","10110105","-30","5","0","bgm_M55","1.55","1011","-35","0","101452","1.4","-70","1.25"
"-450","170","210","101451","1","1","1","-30","1","10120101","-30","1","10","bgm_M64","1","1012","-25","0","101561","0.9","-130","0.575"
"-240","120","240","101451","2","1","1","0","1","10120102","-30","2","0","bgm_M64","1.2","1012","0","0","101561","1","-120","0.9"
"-30","100","200","101451","3","1","1","-10","1","10120103","-30","3","5","bgm_M64","0.9","1012","0","-5","101561","0.8","60","0.6"
"180","100","200","101451","4","1","1","0","1","10120104","-30","4","0","bgm_M64","1.5","1012","-30","0","101561","1.2","-100","0.9"
