db6283f3050bde1b3ebe058c756338ebc3f988dc5a9fb7792b2e2acab7fe5a21,f8f3065bc4f80143275505bd069e826399bc3e6534241c7e9acb65139f998e2c,35be1ef2d7186750265fe78632061f01e31a0d6584335c0c152e06bcd11f9a00,54e81f091de72b528aa14bac78a5706c2ea608b8fc0013b8423bd2519c84f1c7,589d10b30664e61277396019b22c34db35f91396c0c1e49a65a3c3b068096c02,ac985c01b70981e77076feb0826c4c4a1965c213db159c76b2dd5ab19b49434a
"10","500","1","2","1","10"
"20","500","1","3","1","10"
"30","500","1","4","1","10"
"40","500","1","5","1","10"
"50","500","1","6","1","10"
"60","500","1","7","1","10"
"70","500","1","8","1","10"
"80","500","1","9","1","10"
"90","500","1","10","1","10"
"105","500","1","11","1","15"
"120","500","1","12","1","15"
"135","500","1","13","1","15"
"150","500","1","14","1","15"
"165","500","1","15","1","15"
"180","500","1","16","1","15"
"195","500","1","17","1","15"
"210","500","1","18","1","15"
"225","500","1","19","1","15"
"240","500","1","20","1","15"
"265","500","1","21","1","25"
"290","500","1","22","1","25"
"315","500","1","23","1","25"
"340","500","1","24","1","25"
"365","500","1","25","1","25"
"390","500","1","26","1","25"
"415","500","1","27","1","25"
"440","500","1","28","1","25"
"465","500","1","29","1","25"
"490","500","1","30","1","25"
"530","500","1","31","2","40"
"570","500","1","32","2","40"
"610","500","1","33","2","40"
"650","500","1","34","2","40"
"690","500","1","35","2","40"
"730","500","1","36","2","40"
"770","500","1","37","2","40"
"810","500","1","38","2","40"
"850","500","1","39","2","40"
"890","500","1","40","2","40"
"940","500","1","41","2","50"
"990","500","1","42","2","50"
"1040","500","1","43","2","50"
"1090","500","1","44","2","50"
"1140","500","1","45","2","50"
"1190","500","1","46","2","50"
"1240","500","1","47","2","50"
"1290","500","1","48","2","50"
"1340","500","1","49","2","50"
"1390","500","1","50","2","50"
"1450","500","1","51","3","60"
"1510","500","1","52","3","60"
"1570","500","1","53","3","60"
"1630","500","1","54","3","60"
"1690","500","1","55","3","60"
"1750","500","1","56","3","60"
"1810","500","1","57","3","60"
"1870","500","1","58","3","60"
"1930","500","1","59","3","60"
"1990","500","1","60","3","60"
"2065","600","1","61","3","75"
"2140","600","1","62","3","75"
"2215","600","1","63","3","75"
"2290","600","1","64","3","75"
"2365","600","1","65","3","75"
"2440","600","1","66","3","75"
"2515","600","1","67","3","75"
"2590","600","1","68","3","75"
"2665","600","1","69","3","75"
"2740","600","1","70","3","75"
"2840","600","1","71","4","100"
"2940","600","1","72","4","100"
"3040","600","1","73","4","100"
"3140","600","1","74","4","100"
"3240","600","1","75","4","100"
"3340","600","1","76","4","100"
"3440","600","1","77","4","100"
"3540","600","1","78","4","100"
"3640","600","1","79","4","100"
"3740","600","1","80","4","100"
"3865","600","1","81","4","125"
"3990","600","1","82","4","125"
"4115","600","1","83","4","125"
"4240","600","1","84","4","125"
"4365","600","1","85","4","125"
"4490","600","1","86","4","125"
"4615","600","1","87","4","125"
"4740","600","1","88","4","125"
"4865","600","1","89","4","125"
"4990","600","1","90","4","125"
"5140","600","1","91","5","150"
"5290","600","1","92","5","150"
"5440","600","1","93","5","150"
"5590","600","1","94","5","150"
"5740","600","1","95","5","150"
"5890","600","1","96","5","150"
"6040","600","1","97","5","150"
"6190","600","1","98","5","150"
"6340","600","1","99","5","150"
"6490","600","1","100","5","150"
"6665","600","1","101","5","175"
"6840","600","1","102","5","175"
"7015","600","1","103","5","175"
"7190","600","1","104","5","175"
"7365","600","1","105","5","175"
"7540","600","1","106","5","175"
"7715","600","1","107","5","175"
"7890","600","1","108","5","175"
"8065","600","1","109","5","175"
"8240","600","1","110","5","175"
"8440","600","1","111","6","200"
"8640","600","1","112","6","200"
"8840","600","1","113","6","200"
"9040","600","1","114","6","200"
"9240","600","1","115","6","200"
"9440","600","1","116","6","200"
"9640","600","1","117","6","200"
"9840","600","1","118","6","200"
"10040","600","1","119","6","200"
"10240","600","1","120","6","200"
"10465","600","1","121","6","225"
"10690","600","1","122","6","225"
"10915","600","1","123","6","225"
"11140","600","1","124","6","225"
"11365","600","1","125","6","225"
"11590","600","1","126","6","225"
"11815","600","1","127","6","225"
"12040","600","1","128","6","225"
"12265","600","1","129","6","225"
"12490","600","1","130","6","225"
"12740","600","1","131","7","250"
"12990","600","1","132","7","250"
"13240","600","1","133","7","250"
"13490","600","1","134","7","250"
"13740","600","1","135","7","250"
"13990","600","1","136","7","250"
"14240","600","1","137","7","250"
"14490","600","1","138","7","250"
"14740","600","1","139","7","250"
"14990","600","1","140","7","250"
"15240","600","1","141","8","250"
"15490","600","1","142","8","250"
"15740","600","1","143","8","250"
"15990","600","1","144","8","250"
"16240","600","1","145","8","250"
"16490","600","1","146","8","250"
"16740","600","1","147","8","250"
"16990","600","1","148","8","250"
"17240","600","1","149","8","250"
"17490","600","1","150","8","250"
"17740","600","1","151","9","250"
"17990","600","1","152","9","250"
"18240","600","1","153","9","250"
"18490","600","1","154","9","250"
"18740","600","1","155","9","250"
"18990","600","1","156","9","250"
"19240","600","1","157","9","250"
"19490","600","1","158","9","250"
"19740","600","1","159","9","250"
"19990","600","1","160","9","250"
"20240","600","1","161","10","250"
"20490","600","1","162","10","250"
"20740","600","1","163","10","250"
"20990","600","1","164","10","250"
"21240","600","1","165","10","250"
"21490","600","1","166","10","250"
"21740","600","1","167","10","250"
"21990","600","1","168","10","250"
"22240","600","1","169","10","250"
"22490","600","1","170","10","250"
"22740","600","1","171","11","250"
"22990","600","1","172","11","250"
"23240","600","1","173","11","250"
"23490","600","1","174","11","250"
"23740","600","1","175","11","250"
"23990","600","1","176","11","250"
"24240","600","1","177","11","250"
"24490","600","1","178","11","250"
"24740","600","1","179","11","250"
"24990","600","1","180","11","250"
"25240","600","1","181","12","250"
"25490","600","1","182","12","250"
"25740","600","1","183","12","250"
"25990","600","1","184","12","250"
"26240","600","1","185","12","250"
"26490","600","1","186","12","250"
"26740","600","1","187","12","250"
"26990","600","1","188","12","250"
"27240","600","1","189","12","250"
"27490","600","1","190","12","250"
"27740","600","1","191","13","250"
"27990","600","1","192","13","250"
"28240","600","1","193","13","250"
"28490","600","1","194","13","250"
"28740","600","1","195","13","250"
"28990","600","1","196","13","250"
"29240","600","1","197","13","250"
"29490","600","1","198","13","250"
"29740","600","1","199","13","250"
"29990","600","1","200","13","250"
"30240","600","1","201","14","250"
"30490","600","1","202","14","250"
"30740","600","1","203","14","250"
"30990","600","1","204","14","250"
"31240","600","1","205","14","250"
"31490","600","1","206","14","250"
"31740","600","1","207","14","250"
"31990","600","1","208","14","250"
"32240","600","1","209","14","250"
"32490","600","1","210","14","250"
"32740","680","1","211","15","250"
"32990","680","1","212","15","250"
"33240","680","1","213","15","250"
"33490","680","1","214","15","250"
"33740","680","1","215","15","250"
"33990","680","1","216","15","250"
"34240","680","1","217","15","250"
"34490","680","1","218","15","250"
"34740","680","1","219","15","250"
"34990","680","1","220","15","250"
"35240","680","1","221","16","250"
"35490","680","1","222","16","250"
"35740","680","1","223","16","250"
"35990","680","1","224","16","250"
"36240","680","1","225","16","250"
"36490","680","1","226","16","250"
"36740","680","1","227","16","250"
"36990","680","1","228","16","250"
"37240","680","1","229","16","250"
"37490","680","1","230","16","250"
"37740","680","1","231","17","250"
"37990","680","1","232","17","250"
"38240","680","1","233","17","250"
"38490","680","1","234","17","250"
"38740","680","1","235","17","250"
"38990","680","1","236","17","250"
"39240","680","1","237","17","250"
"39490","680","1","238","17","250"
"39740","680","1","239","17","250"
"39990","680","1","240","17","250"
"40240","680","1","241","18","250"
"40490","680","1","242","18","250"
"40740","680","1","243","18","250"
"40990","680","1","244","18","250"
"41240","680","1","245","18","250"
"41490","680","1","246","18","250"
"41740","680","1","247","18","250"
"41990","680","1","248","18","250"
"42240","680","1","249","18","250"
"42490","680","1","250","18","250"
"42740","680","1","251","19","250"
"42990","680","1","252","19","250"
"43240","680","1","253","19","250"
"43490","680","1","254","19","250"
"43740","680","1","255","19","250"
"43990","680","1","256","19","250"
"44240","680","1","257","19","250"
"44490","680","1","258","19","250"
"44740","680","1","259","19","250"
"44990","680","1","260","19","250"
"45240","680","1","261","20","250"
"45490","680","1","262","20","250"
"45740","680","1","263","20","250"
"45990","680","1","264","20","250"
"46240","680","1","265","20","250"
"46490","680","1","266","20","250"
"46740","680","1","267","20","250"
"46990","680","1","268","20","250"
"47240","680","1","269","20","250"
"47490","680","1","270","20","250"
"47740","680","1","271","21","250"
"47990","680","1","272","21","250"
"48240","680","1","273","21","250"
"48490","680","1","274","21","250"
"48740","680","1","275","21","250"
"48990","680","1","276","21","250"
"49240","680","1","277","21","250"
"49490","680","1","278","21","250"
"49740","680","1","279","21","250"
"49990","680","1","280","21","250"
"50240","680","1","281","22","250"
"50490","680","1","282","22","250"
"50740","680","1","283","22","250"
"50990","680","1","284","22","250"
"51240","680","1","285","22","250"
"51490","680","1","286","22","250"
"51740","680","1","287","22","250"
"51990","680","1","288","22","250"
"52240","680","1","289","22","250"
"52490","680","1","290","22","250"
"52740","680","1","291","23","250"
"52990","680","1","292","23","250"
"53240","680","1","293","23","250"
"53490","680","1","294","23","250"
"53740","680","1","295","23","250"
"53990","680","1","296","23","250"
"54240","680","1","297","23","250"
"54490","680","1","298","23","250"
"54740","680","1","299","23","250"
"54990","680","1","300","23","250"
"55240","680","1","301","24","250"
"55490","680","1","302","24","250"
"55740","680","1","303","24","250"
"55990","680","1","304","24","250"
"56240","680","1","305","24","250"
"56490","680","1","306","24","250"
"56740","680","1","307","24","250"
"56990","680","1","308","24","250"
"57240","680","1","309","24","250"
"57490","680","1","310","24","250"
"57740","680","1","311","25","250"
"57990","680","1","312","25","250"
"58240","680","1","313","25","250"
"58490","680","1","314","25","250"
"58740","680","1","315","25","250"
"58990","680","1","316","25","250"
"59240","680","1","317","25","250"
"59490","680","1","318","25","250"
"59740","680","1","319","25","250"
"59990","680","1","320","25","250"
"50","200000","2","0","1","50"
"60","500000","2","1","1","10"
"75","500000","2","2","1","15"
"95","500000","2","3","1","20"
"120","500000","2","4","1","25"
"150","500000","2","5","1","30"
