622ebae31df6a48ff5e0f73308d0b6708eb0649c66adaff9990b5d1ac9eb9410,4b0d5abc0fb075d0b990fea5b9c7eff571a61f4741af5016bbc34292e09ea1dd,addb0091719e8a60657ab2e33bb33c92bc9d5b330db961e52c75c0a15f88d752,392b27b56f0ec443a5aa8fd21602c8093895d78198b11a1cd8fc4b05a2d28aa6,daebc2a06dba6e447ede960b80a8429eee56da09bd660138161ddb713c4482d7,1156f0550047e81b7c48f2307e91f902936b7eb0289313f70362d973a934306c,5b6a6bb73f7555bc6780adab3f706a4c7a9ffba6681848664029101e7651d61a
"0","0","3","0","1","料理入手イベント","1"
"0","0","1","0","2","ダイス入手イベント1","2"
"0","0","2","0","3","ダイス入手イベント2","2"
"0","3","0","1","4","ターン数カウントスキップ","3"
"1","2","100","0","5","マイル+100%","4"
"1","2","100","0","6","ミニゲームマイル+100%","5"
"1","3","300","0","7","ショップ割引イベント","6"
"1","3","300","0","8","ショップ割引イベント","6"
"0","3","0","2","98001","ターン数カウントスキップ1","3"
"0","3","0","1","98011","ターン数カウントスキップ1","3"
"0","3","0","2","98012","ターン数カウントスキップ2","3"
