dd348661efa6004f402f6229d30978e50e65f6079a5466498dedbe3c14680b37,0291693a878e74586926c1d80fb764090b1c2d32f82bacacccff16c9aca7eb88,ffb95b4b0c612aa58829177f7cc3427bdd13e547dd3e55a70f81472c270e3f9a,850f52886e775d4f47a7587d146a7aa25abc0ce32ef4610486077227288fe928
"1","10000","1","ＨＰ"
"2","10000","1","物理攻撃力"
"3","10000","1","物理防御力"
"4","10000","1","魔法攻撃力"
"5","10000","1","魔法防御力"
"6","10000","1","物理クリティカル"
"7","10000","1","魔法クリティカル"
"8","1","0","回避"
"9","1","0","ＨＰ吸収"
"10","1","0","ＨＰ自動回復"
"11","1","0","ＴＰ自動回復"
"12","1","0","物理貫通ダメージ"
"13","1","0","魔法貫通ダメージ"
"14","1","0","ＴＰ上昇"
"15","1","0","回復量上昇"
"16","1","0","ＴＰ消費軽減"
"17","1","0","命中"
"100","100","1","物理クリティカルダメージ"
"101","100","1","魔法クリティカルダメージ"
"102","100","1","物理与ダメージ"
"103","100","1","魔法与ダメージ"
"104","10000","1","属性ボーナス"
