483a6675b33a915a47b7d236576c2daa5fdc547815a6409d92099b25ee7ea51d,3b73b04d0fa166916d60b01c8b82fa05485594f784628454c3763d048cf6d7fc,be5f977f9a22049796572e704c53b6409e3366a906d64f2d3f897929ca734c40,14e62560f65892ac9412328147f61a50b0dd8f331e635fed53e599269dcef2a1,999bfc7feecf5e653a5aee715730e42feab7e84690d5cc0c9466a6ba601c378b,c64838b1d34160414df47a490cc8747d05cbc7c0a2becc06dba605cce52eca53
"100111","10011","0","0","100112","0"
"100121","10012","100123","100124","100122","100125"
"100131","10013","100133","100134","100132","100135"
"100211","10021","0","0","0","0"
"100221","10022","0","0","0","0"
"100231","10023","0","0","100232","0"
"100311","10031","0","0","0","0"
"100321","10032","0","0","0","0"
"100331","10033","100333","100334","100332","100335"
"100411","10041","0","0","100412","0"
"100421","10042","0","0","100422","0"
"100431","10043","0","0","100432","0"
"100511","10051","0","0","0","0"
"100521","10052","100523","100524","100522","100525"
"100531","10053","100533","100534","100532","100535"
"110011","11001","0","0","0","0"
"110021","11002","0","0","0","0"
"110031","11003","0","0","0","0"
"110041","11004","0","0","0","0"
"110051","11005","0","0","0","0"
"120011","12001","0","0","0","0"
"120021","12002","0","0","0","0"
"120031","12003","0","0","0","0"
"120041","12004","0","0","0","0"
"120051","12005","0","0","0","0"
"130011","13001","0","0","0","0"
"130021","13002","0","0","130022","0"
"130031","13003","0","0","0","0"
"130041","13004","0","0","130042","0"
"130051","13005","0","0","0","0"
"140011","14001","0","0","0","0"
"140021","14002","0","0","0","0"
"140031","14003","0","0","0","0"
"140041","14004","0","0","140042","0"
"140051","14005","0","0","140052","0"
"150011","15001","0","0","0","0"
"150021","15002","0","0","0","0"
"150031","15003","150033","150034","150032","150035"
"150041","15004","150043","150044","150042","150045"
"150051","15005","0","0","0","0"
"210011","21001","0","0","0","0"
"210021","21002","0","0","0","0"
"210031","21003","0","0","0","0"
"210041","21004","0","0","0","0"
"210051","21005","0","0","0","0"
"220011","22001","0","0","0","0"
"220021","22002","0","0","0","0"
"220031","22003","0","0","0","0"
"220041","22004","0","0","0","0"
"220051","22005","0","0","0","0"
"230011","23001","0","0","0","0"
"230021","23002","0","0","230022","0"
"230031","23003","0","0","0","0"
"230041","23004","0","0","230042","0"
"230051","23005","0","0","0","0"
"240011","24001","0","0","0","0"
"240021","24002","0","0","0","0"
"240031","24003","0","0","0","0"
"240041","24004","0","0","240042","0"
"240051","24005","0","0","240052","0"
"250011","25001","0","0","0","0"
"250021","25002","0","0","0","0"
"250031","25003","250033","250034","250032","250035"
"250041","25004","250043","250044","250042","250045"
"250051","25005","0","0","0","0"
"300011","30001","0","0","0","0"
"310011","31001","0","0","0","0"
"310021","31002","0","0","0","0"
"310031","31003","0","0","0","0"
"310041","31004","0","0","0","0"
"310051","31005","0","0","0","0"
"310061","31006","0","0","0","0"
"320011","32001","0","0","0","0"
"320021","32002","0","0","0","0"
"320031","32003","0","0","0","0"
"320041","32004","0","0","0","0"
"320051","32005","0","0","0","0"
"320061","32006","0","0","0","0"
"330011","33001","0","0","0","0"
"330021","33002","0","0","330022","0"
"330031","33003","0","0","0","0"
"330041","33004","0","0","330042","0"
"330051","33005","0","0","0","0"
"330061","33006","0","0","330062","0"
"340011","34001","0","0","0","0"
"340021","34002","0","0","0","0"
"340031","34003","0","0","0","0"
"340041","34004","0","0","340042","0"
"340051","34005","0","0","340052","0"
"340061","34006","0","0","0","0"
"350011","35001","0","0","0","0"
"350021","35002","0","0","0","0"
"350031","35003","350033","350034","350032","350035"
"350041","35004","350043","350044","350042","350045"
"350051","35005","0","0","0","0"
"350061","35006","0","0","0","0"
"400011","40001","400013","0","400012","0"
"400021","40002","0","0","0","0"
"400031","40003","0","0","0","0"
"400041","40004","400043","400044","400042","0"
"400051","40005","0","0","0","0"
"500011","50001","0","0","500012","0"
"500021","50002","0","0","0","0"
"500031","50003","0","0","0","0"
"500041","50004","0","0","0","0"
"500051","50005","0","0","0","0"
