5dba162c0c782ace661b7ee88c8b95a802df901c9bccc33d439f670065760d56,9924150f96b6242db3cfc164932bbbffddc405224cf2633b6aca85d95eeba7c6,debd8a07447572a62a3a9600578d197ccb6a5197ea2cbba9b4b5ecbc6a502b1b,1074627465792de033b1a645fbeaa5f88b4a69c4fd600c895cd59c1117515c75,d7c4772aa1a03ef19ecdcf17364eb265cd5ad8d4e5194533c615b58fbee12bb4,39f09a292fdc216725168a21946a981c3097160b2045ab37d41a7bf0992fcb1b,ca55fa5093832613ffb8a24bbe7f859866757906af2a77c89b839acb5ab63597
"10008101","1","1","0","10008111","0",""
"10008112","2","1","0","10008115","0",""
"10008101","3","3","0","10008103","0",""
"10008105","4","3","0","10008115","0",""
"10008112","5","4","0","150","0",""
"10028101","6","1","0","10028111","0",""
"10028112","7","1","0","10028115","0",""
"10028101","8","3","0","10028103","0",""
"10028105","9","3","0","10028115","0",""
"10028112","10","4","0","150","0",""
"20012104","11","11","0","20012104","20012107",""
"20012108","12","11","0","20012108","20012109",""
"20012110","13","11","0","20012110","20012114",""
"20012115","14","11","0","20012115","20012115",""
"20012110","15","4","0","120","0",""
"20008101","16","1","0","20008111","0",""
"20008112","17","1","0","20008115","0",""
"20008101","18","3","0","20008103","0",""
"20008105","19","3","0","20008115","0",""
"20008112","20","4","0","150","0",""
