df03d300b002e8c45466811c595c5dc0aeb2bd4565ce14239098b635822b5985,58d861e48b81f70497fd6f37c89cd4536d5ba961e61037cd71aaba3f419bf358,74327e172a52c47fbacfd4e3608f2470a7ada52f3f333c07f050d1891356c191,0d65b3c461e818d019d8500b698e88ca2932db29f1899ecf75445a9340054f4d,fdbd338a38f67586af77a5d51dd8d86131a4b2f31266073d4d3b3788657ea3d6,689ba4f007addf33d8907c85be73a372423335fb54edfd5bc0e58794a6936227,add94d43fe38fae1ff3fcfae0931036ae89b4361899e3590c4448d4e5fa6ba21,2cd55af9dbedcfe6c9b55800df915323be8ac272e3adbe5c858049a19c9961c7,fc8d5db7ac56c67afcaae5f3acff07c79ae0382cd687120325e81c467b755aad,68f2148148becea074270b4a78bed5ccdfa25ac2b186c80f40c7d8dc398c34a5,e43a7de32de280dc22a4b33db4222755c5adb61827af5a9b8c41cca412bd4034,dab7a64bf2e8b604f264e8d212987d12c84a0551c97cecc77fe16d6a9c2a814e,772a605f0385815ef6eeda24de71ac715474567f7c7e1793b6119d62e9673b5b,ecdb7790bcb45fc7000edaf22f144aaed03279c88e516403a7884657af9cf8e3,695f7070f95c6f2c9ae090f98fc8a7e2da0bcfce3046c658e6d94c66677305fd,6e996ddca81717a2f26b0d34257ae9274f645c6266f38a837745240bac5dddb3,8822115c4d8c4686cb0ab578aded28d932df48a609a3e351a1359caae801ba84,84c4cfc50b076d6d373f9d6240ef1148a6eee6bc1be6dee0456919edb9935595,213b134f1630623386d2f53eee2346ff2336fdb2ea248a1d1f85a40b686cf8c3,e87fb7058ae84f947531b4936ccdce255f91a18411418a4abe47bb8197a96c9b,b976419f0f23233e93e5d32ee601f4e917ac4e90a354fdbb231e4e9f8fba5585
"0","0","-1","0","0","0","130011","0","2","0","1300110","0","0","1","0","4.7","0","0","0","0","0"
"0.25","0","-1","0","0.25","0","130021","0","2","0","1300210","0","0","0","2.3","0","0","0","0","0","0.25"
"0","0","-1","0","0","5.5","130031","0","2","0","1300310","0","0","0","0","4.75","0","0","0","0","0"
"0.1","0","-1","0","0.3","0","130041","0","2","0","1300410","0","0","0","0","3.35","0","0","0","0","0"
"0.4","0","-1","0","0.45","6.5","130051","0","2","0","1300510","0","0","0","0","0","0","0","0","0","0"
"0.15","0","-1","0","0.15","0","130061","0","2","0","1300610","0","0","0","3.6","0","0","0","0","0","0"
"0.15","0","300","0","0.45","11.5","130071","0","2","0","1300710","0","0","0","0","0","0","0.15","0","0","0"
"0.15","0","-1","0","0.65","11.5","130071","0","301","0","1300711","0","0","0","0","0","0","0","0","0","0"
"0.2","0","-1","0","0.2","0","130081","0","2","0","1300810","0","0","0","3.15","0","0","0","0","0","0"
"0","0","-1","0","0","0","130091","0","2","0","1300910","0","0","0","4.5","0","0","0","0","0.5","0"
"0.25","0","-1","0","0.3","0","130101","0","2","0","1301010","0","0","0","2.1","0","0","0","0","0","0.25"
"0","0","-1","0","0","0","130111","0","2","0","1301110","0","0","1","0","4.6","0","0","0","0","0"
"0","0","-1","0","25","0","130112","0","1","0","1301120","0","0","90","0","500","0","0","0","0","0"
"0","0","-1","0","0.05","0","130121","0","2","0","1301210","0","0","0","4.4","0","0","0","0","0.5","0"
"0","0","-1","0","0","0","130131","0","2","0","1301310","0","0","0","4.5","0","0","0","0","0.75","0"
"50","0","-1","0","50","830","130132","0","1","0","1301320","0","0","0","0","0","0","0","0","0","0"
