fd0c3c0bddfa3a47cb084c51d54543adf59064f3aadbeb94ef749a28cefda77b,e3161c5e85c35026d8c0568eaaf2ec6a7198023d3e76c8e4993b17296888c322,0e05621aa6c15a2c59877e68b3bc2e67d1677655cb4d3a661c29253bf114f48f,b8e6c594ace4942537c72107446ba1861fed1e935cd2dcc761dbaed65c2994d0,4add61a2f045d7201b4c4da694e0a8586e75f5c41f9a6f929772d649cf61e1b5,9cab3521f1a55689bd2a7dc37ec8cf102949177bb9cbb87b88b58f442328f3a6,ed65bf4883de98c8a85873282764e28ed70f9c338a685325165cdd66d96a4e9d,3adee1517aa1ac76b32a115f1543f23cbadd76ee4cd1354ad083ff5917cdd5f2
"21_role_tank","タンクロールの\nランダムサイン×2\n＋アルファルピ×200","11011","0","11011","192801","0","タンクを\n仲間にしたい！"
"22_role_healer","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200","11012","0","11012","192801","0","ヒーラーを\n仲間にしたい！"
"23_role_booster","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200","11021","0","11021","192801","0","ブースターを\n仲間にしたい！"
"24_role_buffer","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200","11022","0","11022","192801","0","バッファーを\n仲間にしたい！"
"25_role_debuffer","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200","11031","0","11031","192901","0","デバッファーを\n仲間にしたい！"
"26_role_jammer","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200","11032","0","11032","192901","0","ジャマーを\n仲間にしたい！"
"27_role_attacker","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200","11041","0","11041","192901","0","アタッカーを\n仲間にしたい！"
"28_role_breaker","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200","11042","0","11042","192901","0","ブレイカーを\n仲間にしたい！"
"41_matsuri_guts","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200","11051","0","11051","100501","0","腕試しッス！"
"42_chris_cool","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300","11052","0","11052","107101","0","強敵との戦いは心躍る！"
