743b37870cb02a3af567648e77fcef5912fbc6484097f235ac5f981b1d5b6dc2,9c23d6346372b75f4c6cd6caf7e32e3a800bbca061f0daec5f00554f78a973ac,25063329cb32dbd03ea2da7bd118388db898bf6ce5935c8f0b0a59adc4adb86c,c70f2882a6befca7d47bd8d5fb64dc599256b26b880d7721adf67e18c1d75762,95f4fbf0b719a90d1e2290f62c87d82b9b776fd2b12f8096083a7e2b99bb8950,21862c41e268e67b5daa042da14dad75860e7dacd820b4ef9787160e020b5319,aad62c3ee0a62fb1a7b83e32970d09bf2dd06c097d1c152879cff4b15f99d170,e3ded5c927d5cb03f4a403b25779bcce9aabf012a0d176047d59ee1c0634244a
"610201001","0","600130001","600090001","0","0","0","600060001"
"610201002","0","600070001","600300101","0","0","0","600090001"
"610201003","0","600420001","600050001","600230001","0","0","600380001"
"610201004","0","600110003","600300003","0","0","0","600090103"
"610201005","0","600390003","600300003","0","0","0","600120001"
"610201006","0","600160003","600380102","600340003","0","0","600290103"
"610201007","0","600440004","600060004","0","0","0","600370004"
"610201008","0","600080004","600210104","0","0","0","600330002"
"610201009","0","600420004","600380103","600160004","0","0","600270004"
"610201010","0","600340010","600320010","0","0","0","600380009"
"610201011","0","600140010","600300010","0","0","0","600050009"
"610201012","0","600250010","600290210","600130110","0","0","600330008"
"610201013","0","600020011","600280011","0","0","0","600030011"
"610201014","0","600280011","600010011","0","0","0","600210111"
"610201015","0","600100011","600030011","600210111","0","0","600040010"
"610201016","0","600130013","600090013","0","0","0","600060013"
"610201017","0","600070013","600300113","0","0","0","600090013"
"610201018","0","600420013","600050012","600230013","0","0","600380012"
"610201019","0","600110014","600300014","0","0","0","600090114"
"610201020","0","600390014","600300014","0","0","0","600120012"
"610201021","0","600160014","600380113","600340014","0","0","600290114"
"610201022","0","600440016","600060016","0","0","0","600370016"
"610201023","0","600080016","600210116","0","0","0","600330014"
"610201024","0","600420016","600380115","600160016","0","0","600270016"
"610201025","0","600340017","600320017","0","0","0","600380016"
"610201026","0","600140017","600300017","0","0","0","600050016"
"610201027","0","600250017","600290217","600130117","0","0","600330015"
"610201028","0","600020019","600280019","0","0","0","600030019"
"610201029","0","600280019","600010019","0","0","0","600210119"
"610201030","0","600100019","600030019","600210119","0","0","600040018"
"610201031","0","600390020","600290120","0","0","0","600030020"
"610201032","0","600300120","600230018","0","0","0","600060020"
"610201033","0","600050020","600040020","600020020","0","0","600130120"
"610201034","0","600110022","600400022","0","0","0","600090022"
"610201035","0","600430022","600090122","0","0","0","600070022"
"610201036","0","600420022","600380122","600140022","0","0","600120022"
"610201037","0","600110023","600400023","0","0","0","600090023"
"610201038","0","600010021","600270023","0","0","0","600280022"
"610201039","0","600220023","600380123","600150023","0","0","600240023"
"610201101","0","0","0","0","0","0","610201101"
"610201102","0","0","0","0","0","0","610201201"
"610201103","0","0","0","0","0","0","610201202"
"610201104","0","0","0","0","0","0","610201203"
"610201105","0","0","0","0","0","0","610201301"
"610201106","0","0","0","0","0","0","610201302"
"610201107","0","0","0","0","0","0","610201303"
"610201151","0","0","0","0","0","0","610201151"
"610201152","0","610201452","610201451","610201453","0","0","610201251"
"610201153","0","0","0","0","0","0","610201252"
"610201154","0","0","0","0","0","0","610201253"
"610201155","0","610201552","610201551","610201553","0","0","610201351"
"610201156","0","0","0","0","0","0","610201352"
"610201157","0","0","0","0","0","0","610201353"
"610202101","0","0","0","0","0","0","610202101"
"610202102","610202404","610202402","610202401","610202403","0","0","610202201"
"610202103","0","0","0","0","0","0","610202202"
"610202104","0","0","0","0","0","0","610202203"
"610202105","610202504","610202502","610202501","610202503","0","0","610202301"
"610202106","0","0","0","0","0","0","610202302"
"610202107","0","0","0","0","0","0","610202303"
"610203101","0","0","0","0","0","0","610203101"
"610203102","610203404","610203402","610203401","610203403","0","0","610203201"
"610203103","0","0","0","0","0","0","610203202"
"610203104","0","0","0","0","0","0","610203203"
"610203105","610203504","610203502","610203501","610203503","0","0","610203301"
"610203106","0","0","0","0","0","0","610203302"
"610203107","0","0","0","0","0","0","610203303"
"610204101","0","0","0","0","0","0","610204101"
"610204102","610204404","610204402","610204401","610204403","0","0","610204201"
"610204103","0","0","0","0","0","0","610204202"
"610204104","0","0","0","0","0","0","610204203"
"610204105","610204504","610204502","610204501","610204503","0","0","610204301"
"610204106","0","0","0","0","0","0","610204302"
"610204107","0","0","0","0","0","0","610204303"
"610205101","0","0","0","0","0","0","610205101"
"610205102","610205404","610205402","610205401","610205403","0","0","610205201"
"610205103","0","0","0","0","0","0","610205202"
"610205104","0","0","0","0","0","0","610205203"
"610205105","610205504","610205502","610205501","610205503","0","0","610205301"
"610205106","0","0","0","0","0","0","610205302"
"610205107","0","0","0","0","0","0","610205303"
"610206101","0","0","0","0","0","0","610206101"
"610206102","610206404","610206402","610206401","610206403","0","0","610206201"
"610206103","610206408","610206406","610206405","610206407","0","0","610206202"
"610206104","0","0","0","0","0","0","610206203"
"610206105","610206504","610206502","610206501","610206503","0","0","610206301"
"610206106","610206508","610206506","610206505","610206507","0","0","610206302"
"610206107","0","0","0","0","0","0","610206303"
"610207101","0","0","0","0","0","0","610207101"
"610207102","610207404","610207402","610207401","610207403","0","0","610207201"
"610207103","0","0","0","0","0","0","610207202"
"610207104","0","0","0","0","0","0","610207203"
"610207105","610207504","610207502","610207501","610207503","0","0","610207301"
"610207106","0","0","0","0","0","0","610207302"
"610207107","0","0","0","0","0","0","610207303"
"610208101","0","0","0","0","0","0","610208101"
"610208102","0","610208402","610208401","0","0","0","610208201"
"610208103","0","0","0","0","0","0","610208202"
"610208104","0","0","0","0","0","0","610208203"
"610208105","0","610208502","610208501","0","0","0","610208301"
"610208106","0","0","0","0","0","0","610208302"
"610208107","0","0","0","0","0","0","610208303"
"610209101","0","0","0","0","0","0","610209101"
"610209102","610209404","610209402","610209401","610209403","0","0","610209201"
"610209103","0","0","0","0","0","0","610209202"
"610209104","0","0","0","0","0","0","610209203"
"610209105","610209504","610209502","610209501","610209503","0","0","610209301"
"610209106","0","0","0","0","0","0","610209302"
"610209107","0","0","0","0","0","0","610209303"
"610210101","0","0","0","0","0","0","610210101"
"610210102","610210404","610210402","610210401","610210403","0","0","610210201"
"610210103","0","0","0","0","0","0","610210202"
"610210104","0","0","0","0","0","0","610210203"
"610210105","610210504","610210502","610210501","610210503","0","0","610210301"
"610210106","0","0","0","0","0","0","610210302"
"610210107","0","0","0","0","0","0","610210303"
"610211101","0","0","0","0","0","0","610211101"
"610211102","610211404","610211402","610211401","610211403","0","0","610211201"
"610211103","0","0","0","0","0","0","610211202"
"610211104","0","0","0","0","0","0","610211203"
"610211105","610211504","610211502","610211501","610211503","0","0","610211301"
"610211106","0","0","0","0","0","0","610211302"
"610211107","0","0","0","0","0","0","610211303"
"610212101","0","0","0","0","0","0","610212101"
"610212102","0","610212402","610212401","610212403","0","0","610212201"
"610212103","0","0","0","0","0","0","610212202"
"610212104","0","0","0","0","0","0","610212203"
"610212105","0","610212502","610212501","610212503","0","0","610212301"
"610212106","0","0","0","0","0","0","610212302"
"610212107","0","0","0","0","0","0","610212303"
"610213101","0","0","0","0","0","0","610213101"
"610213102","610213404","610213402","610213401","610213403","0","0","610213201"
"610213103","0","0","0","0","0","0","610213204"
"610213104","0","0","0","0","0","0","610213207"
"610213105","610213504","610213502","610213501","610213503","0","0","610213301"
"610213106","0","0","0","0","0","0","610213304"
"610213107","0","0","0","0","0","0","610213307"
"610213151","0","0","0","0","0","0","610213151"
"610213152","610213454","610213452","610213451","610213453","0","0","610213251"
"610213153","0","0","0","0","0","0","610213252"
"610213154","0","0","0","0","0","0","610213253"
"610213155","610213554","610213552","610213551","610213553","0","0","610213351"
"610213156","0","0","0","0","0","0","610213352"
"610213157","0","0","0","0","0","0","610213353"
"610214101","0","0","0","0","0","0","610214101"
"610214102","610214404","610214402","610214401","610214403","0","0","610214201"
"610214103","610214408","610214406","610214405","610214407","0","0","610214202"
"610214104","0","0","0","0","0","0","610214203"
"610214105","610214504","610214502","610214501","610214503","0","0","610214301"
"610214106","610214508","610214506","610214505","610214507","0","0","610214302"
"610214107","0","0","0","0","0","0","610214303"
"610215101","0","0","0","0","0","0","610215101"
"610215102","610215404","610215402","610215401","610215403","0","0","610215201"
"610215103","0","610215406","610215405","610215407","0","0","610215202"
"610215104","0","0","0","0","0","0","610215203"
"610215105","610215504","610215502","610215501","610215503","0","0","610215301"
"610215106","0","610215506","610215505","610215507","0","0","610215302"
"610215107","0","0","0","0","0","0","610215303"
