b5e049310797f5ccf69c45ee9cdf20e51cebb9d78cbb2fa23caac89de6fe1cca,026f7e1f0428a7e0e9d27692676ac43eb8155c8257ba334027d40498189b7c19,35dc6bfd43e4377234047e2a8cd12b5514e69ce46c65b60c1287a626a4019a37
"5021700","カオリと海辺で大特訓！","1003"
"5021701","礼に始まり礼に終わる","1003"
"5021710","挑め、己の限界に","1003"
"5021711","本物が一番","1003"
"5027700","再び、エルピス島へ！","1004"
"5027701","過熱する戦い","1004"
"5027702","真打登場","1004"
"5027703","戦いの果てに……","1004"
"5027704","さらなる高みへ！","1004"
"5040700","チーズを見張ろう！","1005"
"5040701","小さき敵との攻防","1005"
"5040702","チーズの誘惑","1005"
"5040703","芽生える愛情？","1005"
"5040704","労働は続くよどこまでも","1005"
"5080700","究極への道","1008"
"5080701","プリンは続くよどこまでも","1008"
"5096700","バカンスは終わらない","1010"
"5096701","競い、分かり合う絆","1010"
"5126700","教えてキャル先生","1012"
"5126701","甘酸っぱいのは誰のせい？","1012"
"5126702","勉強なんて大嫌い…？","1012"
"5126703","鉛筆100本分の青春","1012"
"5126710","ベンキョーできる系女子！","1012"
"5126711","効果エグすぎてワロ","1012"
"5126712","好きこそものの上手なれ？","1012"
"5126713","解けない不思議","1012"
"5142700","より高みを目指して","1013"
"5142701","限界へのチャレンジ","1013"
"5142702","素晴らしき友情","1013"
"5156700","戦車バトル大会、開幕！","1014"
"5156701","果てしなく続く闘いの走路","1014"
"9004201","正解目指して一致団結！","1009"
