6d819b34f4b1e017b7a866b902b22cf758d83d5cfb3d13a019b8aaae06d370eb,2f3e38472d228bd6247d04fd31da6ad3a3ae4028a08af9f0a8feaaf04b4b9d2d,7c4c5b2296f5f076d3213d019c5e2862dc98b4f9b576192236e8bfb1a5dfcf52,f6e067dff63728af28b326c20d9566bfffe702135f847b1df2c4499253230789,08115d0245e96140a95c6c49e868ee96f145fcc991d82ccb97220f28f6c705d9,7c8738d2b151020d3dbddf55f2aad047ea133eb88c910e90a866d00287f01589
"1","50000","50000","1","2","26202"
"2","10","10","1","2","90013"
"3","1","0","1","2","26203"
"4","55000","55000","2","2","26202"
"5","10","10","2","2","90013"
"6","1","0","2","2","26203"
"7","60000","60000","3","2","26202"
"8","10","10","3","2","90013"
"9","1","0","3","2","26203"
"10","65000","65000","4","2","26202"
"11","10","10","4","2","90013"
"12","1","0","4","2","26203"
"13","70000","70000","5","2","26202"
"14","10","10","5","2","90013"
"15","1","0","5","2","26203"
"16","75000","75000","6","2","26202"
"17","10","10","6","2","90013"
"18","1","0","6","2","26203"
"19","80000","80000","7","2","26202"
"20","10","10","7","2","90013"
"21","1","0","7","2","26203"
"22","85000","85000","8","2","26202"
"23","10","10","8","2","90013"
"24","1","0","8","2","26203"
"25","90000","90000","9","2","26202"
"26","20","20","9","2","90013"
"27","1","0","9","2","26203"
"28","95000","95000","10","2","26202"
"29","20","20","10","2","90013"
"30","1","0","10","2","26203"
"31","100000","100000","11","2","26202"
"32","20","20","11","2","90013"
"33","1","0","11","2","26203"
"34","105000","105000","12","2","26202"
"35","20","20","12","2","90013"
"36","1","0","12","2","26203"
