c58211a88b9b97c4b3cba293dd52d8496ceda2b33712bdb526ca78b8cf4c02c4,bc6f8d60d7db5d398f87bae8229a368931894fbb8ecfd10fef51b7f8c62634e2,eca452e1386c7c374b466016051eb86b6196cb606054ad943b91f064b0936c6c,483919b4a9383d16953a4e6a82a46c361277bf6b3ad66566db4d80b85cf2a63f,c8c1a95134c9469295f7c9f68745f2cb1804fe3f80b734eee9746d6307d8e9ce
"27001","28","2020/02/15 15:00:00","2020/03/02 4:59:59","27001"
"27002","33","2021/02/15 23:00:00","2021/03/05 11:59:59","27001"
"27003","42","2021/08/15 15:00:00","2021/09/05 11:59:59","27001"
"27004","43","2021/12/31 12:00:00","2022/01/21 11:59:59","27001"
"27005","44","2022/02/15 15:00:00","2022/03/05 14:59:59","27005"
"27006","55","2022/08/15 15:00:00","2022/09/05 11:59:59","27001"
"27007","81","2022/12/31 12:00:00","2023/01/21 11:59:59","27001"
"27008","82","2023/02/15 15:00:00","2023/03/05 14:59:59","27005"
"27009","85","2023/04/30 12:00:00","2023/05/25 14:59:59","27009"
"27010","113","2023/08/15 15:00:00","2023/09/04 14:59:59","27001"
"27012","115","2023/12/31 12:00:00","2024/01/21 11:59:59","27012"
"27013","118","2024/02/15 00:00:00","2024/03/05 14:59:59","27005"
"27014","119","2024/04/30 12:00:00","2024/05/30 23:59:59","27012"
"27015","127","2024/08/15 15:00:00","2024/09/10 23:59:59","27012"
"27016","138","2024/12/20 5:30:00","2024/12/31 11:59:59","27012"
"27017","140","2024/12/31 12:00:00","2025/01/24 23:59:59","27012"
"27018","153","2025/02/15 15:00:00","2025/03/05 23:59:59","27018"
"27019","154","2025/02/15 15:00:00","2025/03/05 23:59:59","27012"
"27020","169","2025/04/30 12:00:00","2025/05/30 23:59:59","27012"
"27023","191","2025/08/15 15:00:00","2025/09/10 23:59:59","27012"
"27024","223","2025/12/20 12:00:00","2025/12/31 11:59:59","27012"
"27025","226","2025/12/31 12:00:00","2026/01/24 23:59:59","27012"
"27028","245","2026/02/15 12:00:00","2026/03/05 23:59:59","27018"
"27029","246","2026/02/15 12:00:00","2026/03/05 23:59:59","27005"
"27030","260","2026/04/30 12:00:00","2026/05/30 23:59:59","27005"
"27031","270","2026/04/30 12:00:00","2026/05/30 23:59:59","27031"
