fa3bae02883175fa23224d7d3df7c2b109d47def83d3ae60b448ae0c6b0d75c8,d1c8dfc2110f5da2edc30ce99ae2d841b5248461957172f72b3e7befd8b214cc,9599763d796faada181ff59c7cec7663038dae34729b41f408ada8007aca4d1b,6d3ba714e05593844a799bc3281c3f0c8872840cd92508257564f9224a1f6914,f841d0b1573b1024677699cee52b6be7fc9565176e64b91c87d7de28cf861dc2,49b435294d45ab581587d75c763f694b3aafe202055a1b4716a9012b1aed07a7,44be8d9cd98c530ea2a657ef93f30a0c50a4b3780b1582dfc80a109775d27e89,52c63ad6ddcfb7c90a516eea1fc467fc71063e3a4046adcf5d50833729469df7,6ca3c199dee20b4415e881bbebf16217b29809bdc8e1c67af05301c4926c7298,0efc325e9eafdc7b746b39d14cb89b5c5ac16121f628165bad0a1b294bd0ae16,cc7d3780638de8bebc45a3473900f9ea31260a616533ea5a0c4bef78d338a3e0,80a0f9891bfe777a578ff2d951af70ab1b417efad1e53b85f4caa5ce9d215b41,ffa3075e1b797adb758d32b7a842c4d1369de8f6966dced0190a4db5078581d5,683ba2558801dfc259f0dbc6cbcc31d9f79ec2cf400f873c480a2440c59730ca,4d9982bb43628aa9b089a9ba123db6346d30c8a85b4e32568069841c8d526b9d,37f59ac8ac144190839df1fe43123d3804bb4218870a6170b7196c58927286cf,d5afaf297d61d787e645ddc5232100f65f17660ea60165f136a56fd5bd3d4f8e,4cbb0a99eff364a12c82ab738f575eb24bbe5b89222dee160d5dfdfc093ddd75,6d0ffe183eb5ee0cf8703ac7294c7c9dce079b818c64d88cc88c7669a08053f0
"0","100101","0","0","0","2","10","0","0","0","16","0","75","0","65","1","1","0","0"
"0","100101","0","0","0","3","30","0","0","0","68","0","125","0","185","3","2","0","0"
"0","100101","0","0","3","4","60","0","0","0","158","0","260","0","420","7","4","0","0"
"0","100101","0","0","7","5","100","0","0","0","293","0","420","0","810","12","7","0","0"
"0","100101","0","0","11","6","130","3","0","0","486","0","630","0","1340","17","11","0","0"
"0","100101","0","0","17","7","155","6","0","0","731","0","1235","0","1660","26","15","0","0"
"0","100101","0","0","24","8","180","9","0","9","1030","0","1795","0","2290","35","15","10","0"
"0","100101","0","5","27","9","205","9","0","23","1459","0","1795","0","2540","46","16","40","0"
"10","100101","0","10","35","10","205","9","0","37","1941","0","1795","0","2740","51","16","100","0"
"20","100101","0","15","44","11","205","9","0","37","2439","3","1795","0","3100","55","16","158","0"
"20","100101","0","15","46","12","205","9","0","37","2871","36","2045","0","3470","66","18","198","0"
"20","100101","0","15","54","13","230","9","0","37","3345","56","2045","0","3720","79","18","251","0"
"20","100101","0","15","68","14","255","9","0","37","3840","56","2045","0","3880","97","20","328","0"
"20","100101","0","15","82","15","255","9","0","37","4412","56","2045","0","3880","111","20","448","0"
"20","100101","0","15","94","16","255","9","0","37","5015","59","2045","0","3880","124","20","586","0"
"20","100101","0","15","103","17","255","9","0","37","5656","62","2045","0","3930","142","20","711","0"
"20","100101","0","15","119","18","255","9","0","37","6351","62","2045","0","3980","157","20","856","0"
"20","100101","0","15","135","19","255","9","0","37","7154","62","2045","0","4075","173","20","984","0"
