8eb31f0edb8cbfbd21066678b339a27457f44acb3e90f396e9e5712b4a91b17b,7aa85ca98624749daadca38afad97924b4606bef723557d451baf075a963198e,a45fb7db6dc571ff00ca07f68604d636d66130702034458934a9269240f3bbe3
"32025","1","1"
"32046","1","2"
"32048","1","3"
"32016","1","4"
"32060","1","5"
"32078","2","5"
"32031","1","6"
"32007","1","7"
"32050","1","8"
"32033","1","9"
"32058","1","10"
"32075","2","10"
"32042","1","11"
"32021","1","12"
"32023","1","13"
"32027","1","14"
"32049","1","15"
"32011","1","16"
"32045","1","17"
"32030","1","18"
"32013","1","19"
"32040","1","20"
"32018","1","21"
"32028","1","22"
"32043","1","23"
"32017","1","24"
"32010","1","25"
