69c316a8171736f27fac9f95fd311e0a82833633c2ff8cd0100ec88da1cdf6ec,c017f26144013f9b650331a8df42433e76c3dc182c9970e998f674865e22311b,b5910be27aa089eb49850486dc7354683f9b43c63461d91d71127e388b649f71,fe5c9c280d52cc470fd022f4771d4c1eee658ca5d504085103b934ab776af809,65024d164903a34f3fd5bb66a6ea0afdc485494d1fd06462eb46eec2c93407fd,8e46d29f086cda3a48f69a6887938e16e5ba32ddfeab2b1db852dde7e337a537,9e98c8817fdd2e173e762b8eaa7a57f3407c75f39820a5dfb579bac73f52d77f,511263d1c65d3c76b8a975dcc149921cd948fd6fe16b143c07d08cabe51bf2e1,280957fe637a39268250c39fa7d6bb1ccc11f1133e2789c195e5d9c8a437f2b0
"15","53002","1","15","7","10701","1","22","20"
"14","53002","1","14","7","10702","2","22","22"
"13","53002","2","13","7","10703","3","22","24"
"12","53002","2","12","7","10704","4","22","26"
"11","53002","3","11","7","10705","5","22","28"
"10","53002","3","10","7","10706","6","22","30"
"9","53002","4","9","7","10707","7","22","32"
"8","53002","4","8","7","10708","8","22","34"
"0","53002","5","7","7","10709","9","22","36"
"15","53002","1","15","8","10801","1","22","20"
"14","53002","1","14","8","10802","2","22","22"
"13","53002","2","13","8","10803","3","22","24"
"12","53002","2","12","8","10804","4","22","26"
"11","53002","3","11","8","10805","5","22","28"
"10","53002","3","10","8","10806","6","22","30"
"9","53002","4","9","8","10807","7","22","32"
"8","53002","4","8","8","10808","8","22","34"
"0","53002","5","7","8","10809","9","22","36"
"15","53002","1","15","9","10901","1","22","20"
"14","53002","1","14","9","10902","2","22","22"
"13","53002","2","13","9","10903","3","22","24"
"12","53002","2","12","9","10904","4","22","26"
"11","53002","3","11","9","10905","5","22","28"
"10","53002","3","10","9","10906","6","22","30"
"9","53002","4","9","9","10907","7","22","32"
"8","53002","4","8","9","10908","8","22","34"
"0","53002","5","7","9","10909","9","22","36"
"15","53002","1","15","10","11001","1","22","20"
"14","53002","1","14","10","11002","2","22","22"
"13","53002","2","13","10","11003","3","22","24"
"12","53002","2","12","10","11004","4","22","26"
"11","53002","3","11","10","11005","5","22","28"
"10","53002","3","10","10","11006","6","22","30"
"9","53002","4","9","10","11007","7","22","32"
"8","53002","4","8","10","11008","8","22","34"
"0","53002","5","7","10","11009","9","22","36"
"15","53002","1","15","11","11101","1","22","20"
"14","53002","1","14","11","11102","2","22","22"
"13","53002","2","13","11","11103","3","22","24"
"12","53002","2","12","11","11104","4","22","26"
"11","53002","3","11","11","11105","5","22","28"
"10","53002","3","10","11","11106","6","22","30"
"9","53002","4","9","11","11107","7","22","32"
"8","53002","4","8","11","11108","8","22","34"
"0","53002","5","7","11","11109","9","22","36"
"15","53002","1","15","12","11201","1","22","20"
"14","53002","1","14","12","11202","2","22","22"
"13","53002","2","13","12","11203","3","22","24"
"12","53002","2","12","12","11204","4","22","26"
"11","53002","3","11","12","11205","5","22","28"
"10","53002","3","10","12","11206","6","22","30"
"9","53002","4","9","12","11207","7","22","32"
"8","53002","4","8","12","11208","8","22","34"
"0","53002","5","7","12","11209","9","22","36"
