4d0745e45cd60f8e48a41d84bb341cc0941137163694f6902ecfebc84aec96ad,845c10d433750161809fed121917b596d677fdca925f57c2f83d1ee129dab9db,0cdfe242bf0a4d39ec8d4fbc0d259da7b4121c5bb6d970b8bfce6688efd35fe5,b6cbc8be65f10090011fbc1ec9aabc4a8211a732ec9a0900d4b7ad1630b34a97,a8158f5b5dd4b1168499a0b33f036eecbbd15099d0009e2ce64adf06265c19a7,28c957c3f72cb1cc89085a72cf12ac14f7b328adc91f641f0d4e32ebf00a6a26
"0","0","0","5035004","5035005","10036"
"0","0","0","5058004","5058005","10059"
"10062115","10062","1006201","0","0","10063"
"10084115","10084","1008401","0","0","10085"
"10086115","10086","1008601","0","0","10087"
"10110115","10110","1011001","0","0","10111"
"10112115","10112","1011201","0","0","10113"
"10136110","10136","1013601","0","0","10137"
"10138115","10138","1013801","0","0","10139"
"20033115","20033","2003301","0","0","20034"
"20046115","20046","2004601","0","0","20047"
