2cf04e19befbf79a40ed4d7b02d08968f2e902a27f9b1b1852d0a4a694c969d8,829853fbbd4db10e59b9b41b5f1e7f98b038aa89d6f3ca07ad28348adf1f47a9,653539159d4e8223137a936aa0b550c0234faac5d893b68c6040a706e0955932,afef09560995bfda6270c6c7400c53fc5d49f8d6108a68eb3a4cd4d859d203d6,d381e41eabb192806481de7e7b811ef4b183efb8ecbb8cbc93d73ffcb3176697,3ebc98f744404cb704028d185f197d3a4180931b569d31f31a3e9a4a3733685d,5d607ea42f018afae0ecac2e68d0da2aaada0c11f87c5d35cf80d062e4cdedf2,7cf61805560ba0eb8254326bb933b81057a8a511c423edd3602b2ffcb26c63fa,81d6d1f4c699e7c0d3ad91cf5505c38e71889ca8cba75db634239646b98e709b,b82e0e37a4fc070d0c065e03e3ba7533dab48ede502613a88df0262e86eeaabd,2d72a5fc42503f16e330c025b71dbcee98e3956ce32dc45286fda78efce8f6e5
"5","1","100","1","-230","160","-420","0","cgg_idle_normal","101","101001"
"1","1","100","105811","-230","1.6","375","1","cgg_idle_def","101","101002"
"1","1","101","106011","-230","1.6","490","1","cgg_idle_def","101","101003"
"6","1","1","1","1","0.1","1","0","","101","101004"
"6","105811","1","1","1","0.1","1","0","","101","101005"
"6","106011","1","1","1","0.1","1","0","","101","101006"
"93","0.2","","0","","","","","","101","101007"
"21","vo_minigame_1007","0","vo_minigame_1007_top_talk_1_001","","","0","","","101","101008"
"11","105811","7","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","0","0","0","0","0","101","101009"
"3","1","1","cgg_idle_surprise1","","0.2","","","","101","101010"
"3","105811","0","cgg_surprise_kira","1","0.2","cgg_talk_surprise_kira","0","","101","101011"
"93","2.1","","0","","","","","","101","101012"
"3","1","1","cgg_idle_surprise3","","0.2","","","","101","101013"
"3","105811","1","cgg_talk_joy1","","0.2","","","","101","101014"
"91","101009","","","","","","","","101","101015"
"3","105811","1","cgg_idle_def","","0.2","","","","101","101016"
"21","vo_minigame_1007","0","vo_minigame_1007_top_talk_1_002","","","0","","","101","101017"
"11","106011","6","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","0","0","0","0","0","101","101018"
"3","1","1","cgg_idle_reaction1","","0.2","","","","101","101019"
"3","106011","1","cgg_talk_surprise1","","0.2","","","","101","101020"
"93","2.1","","0","","","","","","101","101021"
