52eee740f168d5bdef7ea5b39ee9e587f664ebf05112c829f41ad1fdc3698ab4,cf80bf6605b5e546f63416b5f865238b7684d4b89440e8c31bb9428464a06056,ed0a385bf055c30707b63553612317c36addf6ada510a58bd6c67920b42a4722,7293becfb0f959abfa47d36e63358cda834231d77efd38add64b1b12e4b74d68,ab0286952a849dbe447a7fb5f1962eae00818e79c911ce6003da43fbe5eb78e3,9e8c4750f1c4bdfe1001130634833919d722f8df82c2667d0f09be7dbc5dca69,6f59aae2343bd1063f456e3cf9a79e34644c717e795e091cc6e7ab12d8864408,2f4f12e7eec915aec68645ef6203a246a328c70beee7f3e57453381d174746d0,3bc23a3817672a478fafbac3bfba990ff93a378005ab35f76d22e45536803b91,c99e1ce8a7cc583fea9e72b22cecdbc1d86a4a3efe315eb95606efb1b742670f,c580b391fdeb8e9e337461a31b62b86376a5f0ad15279e4046fb53d2bdfe80c7,e6dc5fea8dcd19f67da2ae9537621dcd3e7b534e4a6d135aac3cbd6c93952908
"100700101","0.8","0","1","0","0","0","4","1007001","0","1","0"
"100700102","0","0","0","0","vo_svd","0","2","1007001","vo_svd_0101","2","0"
"100700103","0","1","0","300","0","0","1","1007001","0","3","1.684"
"100700104","1.949","0","1","0","0","0","4","1007001","0","4","0"
"100700105","0","2","0","327","0","15","1","1007001","0","5","1.363"
"100700106","3.027","0","1","0","0","0","4","1007001","0","6","0"
"100700107","0","0","0","0","vo_svd","0","2","1007001","vo_svd_0102","7","0"
"100700108","0","3","0","441","0","0","1","1007001","0","8","1.69"
"100700109","1.7","0","1","0","0","0","4","1007001","0","9","0"
"100700110","0","4","0","221","0","0","1","1007001","0","10","1.446"
"100700111","1.722","0","1","0","0","0","4","1007001","0","11","0"
"100700112","0","4","0","478","0","221","1","1007001","0","12","1.245"
"100700113","0.417","0","1","0","0","0","4","1007001","0","13","0"
"100700114","0","5","0","208","0","0","1","1007001","0","14","0.864"
"100700115","2.482","0","1","0","0","0","4","1007001","0","15","0"
"100700116","0","0","0","0","vo_svd","0","2","1007001","vo_svd_0103","16","0"
"100700117","0","6","0","420","0","0","1","1007001","0","17","2.352"
"100700118","1.694","0","1","0","0","0","4","1007001","0","18","0"
"100700119","0","7","0","268","0","0","1","1007001","0","19","0.953"
"100700120","2.5","0","1","0","0","0","4","1007001","0","20","0"
"100700201","0.8","0","1","0","0","0","4","1007002","0","1","0"
"100700202","0","0","0","0","vo_svd","0","2","1007002","vo_svd_0201","2","0"
"100700203","0","1","0","152","0","0","1","1007002","0","3","0.865"
"100700204","1.516","0","1","0","0","0","4","1007002","0","4","0"
"100700205","0","1","0","314","0","152","1","1007002","0","5","1.013"
"100700206","0.973","0","1","0","0","0","4","1007002","0","6","0"
