c496eb6aa8784f9bff721ced44424f256799a0acbd5ca2af74508ce6c57f2d8f,2d2fafbcc949ddc6eaf6b56605161971b7e0649fffce9bcdabd9379a11edac44,9d614650155dfc645b692e673b8beb8c111da8a2e47393465a8eae50f3ec2728,1d0229ce0e9cf54b6101f543e8c773372133efc1233597ddb9169e098dbb6d60,3ce1d6bf0dc119c223af4e82acdd4dc84d2d7b31bf5b878dcdf2a0a5b9cc893c,2214a4ea35e0c859d939e5826754060d118f5a4b2bf6d76a0b1687e1190948e4,9700c364a3ec44aeca49b6a8903f9c52c137645bfdb6306302a319a418f4dd0f,5bf900bca334518ee4f953990482f7b240ea19f7795c27d5cd0419899f8087ca,f26b50f193a7f9d60f021d6466b5e954afffeb6e417a509e71e73ed709b134c8,7577781fd77abffec35d237576900341fcea6adca815876c37f394148e9d868f,dbefb3172f91cd5e3435021e1ce4d3ce3ff95ac3d0ccb4a75bce4271f573bd3f
"1","1.55","-280","110311","5152061","110","1","1","382","idle_normal","61001"
"1","1.55","-210","131911","5152061","106","0","1","145","idle_normal","61002"
"1","1.55","-225","102311","5152061","107","0","1","-50","joy_idle_normal","61003"
"1","1.55","-240","102111","5152061","108","0","1","-245","wish_idle","61004"
"1","1.55","-255","107711","5152061","109","0","1","-440","idle_normal","61005"
"1","1.45","-105","122811","5152061","103","0","1","40","doya_idle","61006"
"1","1.45","-120","122911","5152061","104","0","1","-160","idle_normal","61007"
"1","1.45","-135","122711","5152061","105","0","1","-355","idle_normal","61008"
"13","","","210","5152061","","","110311","","","61009"
"13","","","206","5152061","","","131911","","","61010"
"13","","","209","5152061","","","107711","","","61011"
"13","","","205","5152061","","","122711","","","61012"
"13","","","203","5152061","","","122811","","","61013"
"13","","","204","5152061","","","122911","","","61014"
"13","","","208","5152061","","","102111","","","61015"
"13","","","207","5152061","","","102311","","","61016"
"5","0.75","160","2","5152061","210","0","2","-110","empty","61017"
"5","1","-45","3","5152061","210","0","3","352","empty","61018"
"31","1","1","1","5152061","0","","1","0","","61019"
"31","0","1","2","5152061","0","","2","0","","61020"
"31","1","1","3","5152061","0","","3","0","","61021"
"31","0","1","11","5152061","0","","11","0","","61022"
"91","","","0","5152061","","","0","","","61023"
"37","","","telop_1","5152061","","","3","","","61024"
"102","","","0","5152061","0","","0","","","61025"
"93","","","0","5152061","","","1","","","61026"
"3","0.2","1","callout_in","5152061","0","0","110311","callout_loop","","61027"
"93","","","0","5152061","","","0.1","","","61028"
"21","","","vo_rag_6001","5152061","0","","vo_rag","0","","61029"
"3","0","","1001_in","5152061","0","","3","","","61030"
"93","","","1","5152061","","","1.9","","","61031"
"3","0","","1001_mid","5152061","0","","3","","","61032"
"92","","","","5152061","","","","","","61033"
"3","0","","1001_out","5152061","0","","3","","","61034"
"93","","","0","5152061","","","0.2","","","61035"
"3","0.3","","doya_idle_joy1R","5152061","1","","110311","","","61036"
"3","0.2","1","gutsB_in_joy","5152061","0","0","102311","gutsB_talk_joy","","61037"
"3","0.2","","wish_talk","5152061","1","","102111","","","61038"
"3","0.2","1","hello_2","5152061","0","0","131911","idle_normal_joy","","61039"
"3","0.2","","sad_talk_joy","5152061","1","","107711","","","61040"
"3","0.2","1","handsup_in","5152061","0","0","122811","handsup_loop","","61041"
"3","0.2","","leanforward_joy","5152061","1","","122911","","","61042"
"3","0.2","","talk_normal","5152061","1","","122711","","","61043"
"21","","","vo_rag_6002","5152061","0","","vo_rag","0","","61044"
"2","","0","-110","5152061","142","","3","0","","61045"
"3","0","","1002_in","5152061","0","","3","","","61046"
"93","","","1","5152061","","","1.9","","","61047"
"3","0","","1002_mid","5152061","0","","3","","","61048"
"92","","","","5152061","","","","","","61049"
"3","0","","1002_out","5152061","0","","3","","","61050"
"3","0.2","","gutsB_idle","5152061","1","","102311","","","61051"
"3","0.2","","wish_idle","5152061","1","","102111","","","61052"
"3","0.2","","idle_normal","5152061","1","","131911","","","61053"
"3","0.2","","sad_idle_normal","5152061","1","","107711","","","61054"
"3","0.2","","cool_idle","5152061","1","","122811","","","61055"
"3","0.2","","idle_normal_joy1R","5152061","1","","122911","","","61056"
"3","0.2","","wish_idle","5152061","1","","122711","","","61057"
"3","0.2","1","gutsB_in","5152061","0","0","110311","gutsB_talk","","61058"
"21","","","vo_rag_6003","5152061","0","","vo_rag","0","","61059"
"11","0","1","おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","5152061","10","15","110311","1","0","61060"
"91","","","","5152061","0","","0","0","","61061"
"25","","","bgm_MC175B","5152061","","","bgm_MC175B","","","61062"
"32","","","1","5152061","","","2","","","61063"
"3","0.2","1","kids_gungun_in","5152061","0","0","110311","kids_gungun_loop","","61064"
"21","","","vo_rag_6004","5152061","0","","vo_rag","0","","61065"
"11","0","0","まずは空に向かって\n腕をグングン伸ばしてー！","5152061","10","0","110311","1","1.7","61066"
"93","","","0","5152061","","","0.1","","","61067"
"3","0.2","1","kids_gungun_in","5152061","0","0","131911","kids_gungun_loop","","61068"
"3","0.2","1","kids_gungun_in","5152061","0","0","102311","kids_gungun_loop","","61069"
"3","0.2","1","kids_gungun_in","5152061","0","0","102111","kids_gungun_loop","","61070"
"3","0.2","1","kids_gungun_in","5152061","0","0","107711","kids_gungun_loop","","61071"
"3","0.2","1","kids_gungun_in","5152061","0","0","122811","kids_gungun_loop","","61072"
"3","0.2","1","kids_gungun_in","5152061","0","0","122911","kids_gungun_loop","","61073"
"3","0.2","1","kids_gungun_in","5152061","0","0","122711","kids_gungun_loop","","61074"
"93","","","0","5152061","","","5.2","","","61075"
"91","","","","5152061","0","","61066","0","","61076"
"21","","","vo_rag_6005","5152061","0","","vo_rag","0","","61077"
"11","13","0","グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","5152061","10","60","102311","1","2.3","61078"
"93","","","0","5152061","","","7.8","","","61079"
"91","","","","5152061","0","","61078","0","","61080"
"3","0.3","","kids_furifuri","5152061","1","","110311","","","61081"
"21","","","vo_rag_6006","5152061","0","","vo_rag","0","","61082"
"11","21","0","今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","5152061","10","17","110311","1","1.7","61083"
"93","","","0","5152061","","","0.1","","","61084"
"3","0.3","","kids_furifuri","5152061","1","","131911","","","61085"
"3","0.3","","kids_furifuriB","5152061","1","","102311","","","61086"
"3","0.3","","kids_furifuri","5152061","1","","102111","","","61087"
"3","0.3","","kids_furifuriB","5152061","1","","107711","","","61088"
"3","0.3","","kids_furifuri","5152061","1","","122811","","","61089"
"3","0.3","","kids_furifuriB","5152061","1","","122911","","","61090"
"3","0.3","","kids_furifuri","5152061","1","","122711","","","61091"
"93","","","0","5152061","","","7.3","","","61092"
"91","","","","5152061","0","","61083","0","","61093"
"21","","","vo_rag_6007","5152061","0","","vo_rag","0","","61094"
"11","0","0","フリフリ～、楽しくなってきましたぁ♪","5152061","10","60","102111","1","0.5","61095"
"93","","","0","5152061","","","5.2","","","61096"
"91","","","","5152061","0","","61095","0","","61097"
"3","0.2","","joy_idle","5152061","1","","131911","","","61098"
"3","0.2","","joy_idle","5152061","1","","102311","","","61099"
"3","0.2","","joy_idle","5152061","1","","102111","","","61100"
"3","0.2","","joy_idle","5152061","1","","107711","","","61101"
"3","0.2","","joy_idle","5152061","1","","122811","","","61102"
"3","0.2","","joy_idle","5152061","1","","122911","","","61103"
"3","0.2","","joy_idle","5152061","1","","122711","","","61104"
"3","0.2","0","kids_jump_in_saren","5152061","0","0","110311","kids_jump_sideHair_out","","61105"
"21","","","vo_rag_6008","5152061","0","","vo_rag","0","","61106"
"11","0","0","最後はみんなで大きく…ジャーンプ！","5152061","10","0","110311","1","1","61107"
"93","","","0","5152061","","","0.1","","","61108"
"3","0.2","1","kids_jump_in","5152061","0","0","131911","kids_jump_mid","","61109"
"3","0.2","1","kids_jump_in","5152061","0","0","102311","kids_jump_mid","","61110"
"3","0.2","1","kids_jump_in","5152061","0","0","102111","kids_jump_mid","","61111"
"3","0.2","1","kids_jump_in","5152061","0","0","107711","kids_jump_mid","","61112"
"3","0.2","1","kids_jump_in","5152061","0","0","122811","kids_jump_mid","","61113"
"3","0.2","1","kids_jump_in","5152061","0","0","122911","kids_jump_mid","","61114"
"3","0.2","1","kids_jump_in","5152061","0","0","122711","kids_jump_mid","","61115"
"93","","","0","5152061","","","4.1","","","61116"
"91","","","","5152061","0","","61107","0","","61117"
"37","","","finish","5152061","","","2","","","61118"
"23","","","se_10058300_kids_finish","5152061","0","","se_10058300","","","61119"
"3","0","","kids_jump_out","5152061","0","","131911","","","61120"
"3","0","","kids_jump_out","5152061","0","","102311","","","61121"
"3","0","","kids_jump_out","5152061","0","","102111","","","61122"
"3","0","","kids_jump_sideHair_out","5152061","0","","107711","","","61123"
"3","0","","kids_jump_out","5152061","0","","122811","","","61124"
"3","0","","kids_jump_out","5152061","0","","122911","","","61125"
"3","0","","kids_jump_sideHair_out","5152061","0","","122711","","","61126"
"21","","","vo_rag_6009","5152061","0","","vo_rag","0","","61127"
"3","0","","1009_in","5152061","0","","2","","","61128"
"93","","","1","5152061","","","0.4","","","61129"
"3","0","","1009_mid","5152061","0","","2","","","61130"
"92","","","","5152061","","","","","","61131"
"3","0","","1009_out","5152061","0","","2","","","61132"
"93","","","0","5152061","","","0.2","","","61133"
"3","0","1","kids_jump_end","5152061","0","0.2","131911","idle_normal","","61134"
"3","0","1","kids_jump_end","5152061","0","0.2","102311","joy_idle_normal","","61135"
