4fc783c756a767fee76b1f8d92ba60264c5c24151510c80d485cb14f99b68481,98c65783e4fecc56fafaeeba8c23d205150680523f462fc6d7b17d234ec240e6,9c8de36dd3ede561b306caa5cebd923511042d3d4871c9801be98e68b72862c8,07fe78c3753c67144ec6386a2115d77b48e7e56a053dc71380073e34a551af68,29fcded04f96f7735589a70fa7b8f9a8346d55fae74d80ef709f53f7e24e0c3d,13c4d5356d3ff19e0a09ec686771c94fc04092cb6c3b3e760eb1d5e0f4b7977a,a9938f17b3eeea85043e1ab0f4d8a5424bcf68012e36343f755e6fbf9447d9fc,c32a9525190966e36657d4978cb041598fae35b610ed28ccfdf1d403ab66454e
"27","0","106101","2019/02/28 11:59:59","3","0","1","2019/02/15 23:00:00"
"28","0","101401","2019/03/19 14:59:59","3","0","2","2019/02/28 12:00:00"
"29","0","105501","2019/03/26 14:59:59","1","0","3","2019/03/19 15:00:00"
"29","0","106301","2019/03/26 14:59:59","3","0","4","2019/03/19 15:00:00"
"29","0","101501","2019/03/26 14:59:59","2","0","5","2019/03/19 15:00:00"
"30","0","103601","2019/03/31 11:59:59","3","0","6","2019/03/26 15:00:00"
"30","0","104901","2019/03/31 11:59:59","3","0","7","2019/03/26 15:00:00"
"30","0","104401","2019/03/31 11:59:59","3","0","8","2019/03/26 15:00:00"
"30","0","100701","2019/03/31 11:59:59","2","0","9","2019/03/26 15:00:00"
"30","0","104601","2019/03/31 11:59:59","2","0","10","2019/03/26 15:00:00"
"30","0","102701","2019/03/31 11:59:59","2","0","11","2019/03/26 15:00:00"
"30","0","100301","2019/03/31 11:59:59","1","0","12","2019/03/26 15:00:00"
"30","0","103401","2019/03/31 11:59:59","1","0","13","2019/03/26 15:00:00"
"30","0","100101","2019/03/31 11:59:59","1","0","14","2019/03/26 15:00:00"
"31","0","109201","2019/04/19 14:59:59","3","0","15","2019/03/31 12:00:00"
"32","0","109401","2019/04/30 11:59:59","3","0","16","2019/04/19 15:00:00"
"33","0","109501","2019/05/07 14:59:59","3","0","17","2019/04/30 12:00:00"
"33","0","107101","2019/05/07 14:59:59","3","0","18","2019/04/30 12:00:00"
"34","0","109501","2019/05/14 14:59:59","3","0","19","2019/05/07 15:00:00"
"35","0","103601","2019/05/17 14:59:59","3","0","20","2019/05/14 15:00:00"
"35","0","102001","2019/05/17 14:59:59","2","0","21","2019/05/14 15:00:00"
"35","0","100401","2019/05/17 14:59:59","1","0","22","2019/05/14 15:00:00"
"36","0","109601","2019/05/31 11:59:59","3","0","23","2019/05/17 15:00:00"
"37","0","109701","2019/06/15 11:59:59","3","0","24","2019/05/31 12:00:00"
"38","0","104401","2019/06/18 14:59:59","3","0","25","2019/06/15 12:00:00"
"38","0","101001","2019/06/18 14:59:59","3","0","26","2019/06/15 12:00:00"
"38","0","101701","2019/06/18 14:59:59","2","0","27","2019/06/15 12:00:00"
"39","0","109901","2019/06/30 11:59:59","3","0","28","2019/06/18 15:00:00"
"40","0","110001","2019/07/13 11:59:59","3","0","29","2019/06/30 12:00:00"
"41","0","107501","2019/07/18 14:59:59","3","0","30","2019/07/13 12:00:00"
"41","0","107801","2019/07/18 14:59:59","3","0","31","2019/07/13 12:00:00"
"42","0","110301","2019/07/31 11:59:59","3","0","32","2019/07/18 15:00:00"
"43","0","110401","2019/08/10 11:59:59","3","0","33","2019/07/31 12:00:00"
"44","0","107701","2019/08/15 14:59:59","3","0","34","2019/08/10 12:00:00"
"44","0","107901","2019/08/15 14:59:59","3","0","35","2019/08/10 12:00:00"
"45","0","110601","2019/08/26 11:59:59","3","0","36","2019/08/15 15:00:00"
"46","0","104401","2019/08/31 11:59:59","3","0","37","2019/08/26 12:00:00"
"46","0","100601","2019/08/31 11:59:59","2","0","38","2019/08/26 12:00:00"
"46","0","100701","2019/08/31 11:59:59","2","0","39","2019/08/26 12:00:00"
"46","0","103101","2019/08/31 11:59:59","2","0","40","2019/08/26 12:00:00"
"46","0","102201","2019/08/31 11:59:59","1","0","41","2019/08/26 12:00:00"
"47","0","107001","2019/09/03 20:59:59","3","0","42","2019/08/31 12:00:00"
"47","0","106101","2019/09/03 20:59:59","3","0","43","2019/08/31 12:00:00"
"47","0","107101","2019/09/03 20:59:59","3","0","44","2019/08/31 12:00:00"
"48","0","110701","2019/09/12 11:59:59","3","0","45","2019/09/03 21:00:00"
"49","0","105701","2019/09/16 14:59:59","3","0","46","2019/09/12 12:00:00"
"49","0","106301","2019/09/16 14:59:59","3","0","47","2019/09/12 12:00:00"
"50","0","110801","2019/09/29 11:59:59","3","0","48","2019/09/16 15:00:00"
"51","0","107001","2019/09/30 11:59:59","3","0","49","2019/09/29 12:00:00"
"51","0","106101","2019/09/30 11:59:59","3","0","50","2019/09/29 12:00:00"
"51","0","107101","2019/09/30 11:59:59","3","0","51","2019/09/29 12:00:00"
"52","0","111101","2019/10/11 11:59:59","3","1001","52","2019/09/30 12:00:00"
"53","0","108101","2019/10/16 14:59:59","3","0","53","2019/10/11 12:00:00"
"53","0","108301","2019/10/16 14:59:59","3","0","54","2019/10/11 12:00:00"
"54","0","111301","2019/10/31 11:59:59","3","1002","55","2019/10/16 15:00:00"
"55","0","111401","2019/11/11 11:59:59","3","1003","56","2019/10/31 12:00:00"
"56","0","105601","2019/11/15 14:59:59","3","0","57","2019/11/11 12:00:00"
"56","0","101301","2019/11/15 14:59:59","2","0","58","2019/11/11 12:00:00"
"56","0","102701","2019/11/15 14:59:59","2","0","59","2019/11/11 12:00:00"
"57","0","106501","2019/11/30 11:59:59","3","1004","60","2019/11/15 15:00:00"
"58","0","111501","2019/12/11 11:59:59","3","1005","61","2019/11/30 12:00:00"
"59","0","108401","2019/12/20 14:59:59","3","0","62","2019/12/11 12:00:00"
"59","0","108601","2019/12/20 14:59:59","3","0","63","2019/12/11 12:00:00"
"60","0","111701","2019/12/31 11:59:59","3","1006","64","2019/12/20 15:00:00"
"61","0","112001","2020/01/03 18:59:59","3","1007","65","2019/12/31 12:00:00"
"61","0","106101","2020/01/03 18:59:59","3","0","66","2019/12/31 12:00:00"
"61","0","107101","2020/01/03 18:59:59","3","0","67","2019/12/31 12:00:00"
"61","0","107001","2020/01/03 18:59:59","3","0","68","2019/12/31 12:00:00"
"62","0","112001","2020/01/10 11:59:59","3","1007","69","2020/01/03 19:00:00"
"63","0","108801","2020/01/16 14:59:59","3","0","70","2020/01/10 12:00:00"
"63","0","108701","2020/01/16 14:59:59","3","0","71","2020/01/10 12:00:00"
"64","0","111901","2020/01/31 11:59:59","3","1008","72","2020/01/16 15:00:00"
"65","0","112201","2020/02/10 11:59:59","3","1009","73","2020/01/31 12:00:00"
"66","0","109101","2020/02/15 14:59:59","3","0","74","2020/02/10 12:00:00"
"67","0","180401","2020/02/25 11:59:59","3","1010","75","2020/02/15 15:00:00"
"67","0","107001","2020/02/25 11:59:59","3","0","76","2020/02/15 15:00:00"
"67","0","106101","2020/02/25 11:59:59","3","0","77","2020/02/15 15:00:00"
"67","0","107101","2020/02/25 11:59:59","3","0","78","2020/02/15 15:00:00"
"68","0","110001","2020/02/29 11:59:59","3","0","79","2020/02/25 12:00:00"
"68","0","110301","2020/02/29 11:59:59","3","0","80","2020/02/25 12:00:00"
"69","0","112401","2020/03/13 14:59:59","3","1011","81","2020/02/29 12:00:00"
"70","0","112501","2020/03/26 11:59:59","3","1012","82","2020/03/13 15:00:00"
"71","0","110401","2020/03/31 11:59:59","3","0","83","2020/03/26 12:00:00"
"71","0","110601","2020/03/31 11:59:59","3","0","84","2020/03/26 12:00:00"
"72","0","111001","2020/04/10 11:59:59","3","1013","85","2020/03/31 12:00:00"
"73","0","109201","2020/04/15 14:59:59","3","0","86","2020/04/10 12:00:00"
"73","0","109401","2020/04/15 14:59:59","3","0","87","2020/04/10 12:00:00"
"74","0","110901","2020/04/24 11:59:59","3","1014","88","2020/04/15 15:00:00"
"75","0","111101","2020/04/30 11:59:59","3","0","89","2020/04/24 12:00:00"
"76","0","112701","2020/05/10 11:59:59","3","1015","90","2020/04/30 12:00:00"
"77","0","109501","2020/05/15 14:59:59","3","0","91","2020/05/10 12:00:00"
