7bb2ebca1746c7420d6bb481be466dcbddcbf990097471a95e17cd5b3c83907d,c4c0a2ddcdf14b752aeedfad1f113388e60a2cc911eb32b0a5849d576094354e,4beceb522e1e5c2bcf1f8de87cedb73b5b0c329baec275e4994f64628ca1b56e,b52116386b2a018ebbc0917fff898fd24440477655e90a8762e87a3b44695bf8,e54831249fd2ec42792ece4800fc344998d36deb50f3fc23735844f45f57c81b,3787f8b0f2dd4a4e61fab3e3016c6338640b05b96e0f0b7cb1597624e5c7542b,36007d88b2a880f5bddcafbc4e402842316c75b0e7f2cd679344570254abf791,5c95ac5e69378bd03450f1f7ca892a249fd8b4c4d5018f948cac87c869dd307f,7f032797ecad0f89f257d2640c6a83a622da447122ba9a9ef6420b978c08bddd,fd4a42572fde664f01e12700e6c3d49bcfb05a80654c9684a59adebb7d5ca3ad,73aec3edb381d9eea974d094118f66ca56c3bb98ed32962b655b14b61862f566,8db7c383cb955d38b38f34fa4e096427186d68a3d29cec397745395c1a6d8f3a,0daab8471b5edffcec469e0b999666f2664a7af8131aa7b965948a5efab4c706,6cdab2791490e965ed2dc05d607f722063862879fd0b600fffa29077ae84487e,0ca9eff8c36c251b45f278b5ded28fad553e8f2d78ade7a19f65dc071c445841
"1","0","0","-30","1.3","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407110"
"1","0","0","-30","1.3","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407120"
"1","0","0","-30","1.3","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407130"
"1","0","0","-30","1.3","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407140"
"2","0","0","20","1.45","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407210"
"2","0","0","20","1.45","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407220"
"2","0","0","20","1.45","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407230"
"2","0","0","20","1.45","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407240"
"3","0","0","-30","1.4","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407310"
"3","0","0","-30","1.4","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407320"
"3","0","0","-30","1.4","94002","100198","-30","0","100198","0","bgm_MC170","0","bgm_MC170","92407330"
