c38f0ba25673dd1b0e305e7d5c7632359f5690c858620d33df53dd8fd3b9a7d6,168d1f4371108b0228d118419630611d8cac129346d12315b52d9985a3d6ab38,9496ad7de84b0d39419f866fe50cc6901cf11e9b592e0328b851eb41443d6d80,e3270245878879859aa15eabb124de04c3226bdeab9a7dc6c77cb8972077b16a,45f78d6e81619cc63e7bbb535512df7bb212d245a2da19b56f50fb80d13943b4,0da889c4f02393254251ef1aca61970d6f6d5536db73241850f746dba2c62090,e24d0d0dfecb59f4d28be5d783fd28555fd6013097af66de159ef488213fc598,91e6cdfed394606b79134ae9fd663499ab217e2b56d9c05bcec89ff9aa8694f1,8850d7f770d42fed7a7a508ea409a11832506b9e6e82431400d748923b17c1c0,477eea0f4bcf35ee29704d1445d6a97aee752bfaf27e9039f72eeef1f71a086c,7330aabbbb58472f1f401d105164cde298fba369c1906c461b47293354168848,05f4db382a452b2c4a56b338029431e1240f532cbef2567d069bb7deb1f7808f,76c09ba8b8f8869b1eec87a1cb2abd60dc7bbd7a4a70719c241873609109c7b7,d10af51b954974f60f5ebbd6b7338b020de32f04b983fbae38bde0ccea8de1e3,ef16b3d454515e8435d78a9a6f0528b4c17b2270bbf7980d46282d03663cb62e,af0a0b9df40fb858badfbe836df8f2a65edb3988542c8fa0b498cceee893d6f2,9ec63d8de2ef0b9f2ad3dc6753ed9eb8e032ca11474c5a16504b61fe443a8c0d,0e6e7cf38a2a9f1e383f6cacb43774eeb777c8660ff048232399dba81ab6dc6f,dc2e230b3549c4d50a4d2158217120d31291a7d6dcbdcac917e8dcca5debaad8
"65","16","0","10","100101","0","1","2","75","1","0","0","0","0","0","0","0","0","0"
"185","68","0","30","100101","0","3","3","125","2","0","0","0","0","0","0","0","0","0"
"420","158","0","60","100101","0","7","4","260","4","0","0","0","0","0","0","0","0","3"
"810","293","0","100","100101","0","12","5","420","7","0","0","0","0","0","0","0","0","7"
"1340","486","0","130","100101","0","17","6","630","11","0","0","0","0","0","3","0","0","11"
"1660","731","0","155","100101","0","26","7","1235","15","0","0","0","0","0","6","0","0","17"
"2290","1030","0","180","100101","0","35","8","1795","15","0","10","0","0","0","9","0","9","24"
"2540","1459","0","205","100101","0","46","9","1795","16","0","40","0","0","0","9","5","23","27"
"2740","1941","10","205","100101","0","51","10","1795","16","0","100","0","0","0","9","10","37","35"
"3100","2439","20","205","100101","0","55","11","1795","16","0","158","0","0","3","9","15","37","44"
"3470","2871","20","205","100101","0","66","12","2045","18","0","198","0","0","36","9","15","37","46"
"3720","3345","20","230","100101","0","79","13","2045","18","0","251","0","0","56","9","15","37","54"
"3880","3840","20","255","100101","0","97","14","2045","20","0","328","0","0","56","9","15","37","68"
"3880","4412","20","255","100101","0","111","15","2045","20","0","448","0","0","56","9","15","37","82"
"3880","5015","20","255","100101","0","124","16","2045","20","0","586","0","0","59","9","15","37","94"
"3930","5656","20","255","100101","0","142","17","2045","20","0","711","0","0","62","9","15","37","103"
"3980","6351","20","255","100101","0","157","18","2045","20","0","856","0","0","62","9","15","37","119"
"4075","7154","20","255","100101","0","173","19","2045","20","0","984","0","0","62","9","15","37","135"
"4270","8017","20","255","100101","0","203","20","2045","20","0","1065","0","0","62","9","15","37","147"
"4580","8971","20","255","100101","0","232","21","2045","20","0","1160","0","0","62","9","15","37","157"
"4790","10078","20","255","100101","0","259","22","2045","20","0","1262","0","0","62","9","15","37","176"
"4880","11352","20","255","100101","0","287","23","2045","20","0","1343","0","0","62","9","15","37","199"
"4970","12783","20","255","100101","0","308","24","2045","20","0","1416","0","0","62","9","15","37","221"
"5230","14334","20","255","100101","0","331","25","2045","20","0","1471","0","0","62","9","15","37","247"
"6835","15835","20","255","100101","0","359","26","2045","20","0","1495","0","0","62","9","15","37","280"
"8440","17449","20","255","100101","0","387","27","2045","20","0","1513","0","0","62","9","15","37","313"
"9225","19454","20","255","100101","0","400","28","2045","20","0","1538","0","0","62","9","15","37","326"
"10010","21599","20","255","100101","0","415","29","2045","20","0","1571","0","0","62","9","15","37","341"
"10270","23844","20","255","100101","0","440","30","2045","20","0","1614","0","0","62","9","15","37","366"
"10795","26318","20","255","100101","0","450","31","2045","20","0","1657","0","0","62","9","15","37","376"
"11845","28948","20","255","100101","0","450","32","2045","20","0","1690","0","0","62","9","15","37","376"
"12370","31669","20","255","100101","0","461","33","2045","20","0","1729","0","0","62","9","15","37","387"
"12370","34498","20","255","100101","0","483","34","2045","20","0","1775","0","0","62","9","15","37","409"
"12370","37455","20","255","100101","0","505","35","2045","20","0","1821","0","0","62","9","15","37","431"
"12370","40512","20","255","100101","0","528","36","2045","20","0","1867","0","0","62","9","15","37","454"
"12370","43669","20","255","100101","0","552","37","2045","20","0","1913","0","0","62","9","15","37","478"
"12370","46929","20","255","100101","0","576","38","2045","20","0","1959","0","0","62","9","15","37","502"
"55","0","0","0","100201","0","1","2","75","0","0","0","23","0","0","0","0","0","2"
"150","0","0","0","100201","0","1","3","125","0","0","0","81","0","0","0","0","0","8"
"325","0","10","5","100201","0","4","4","175","0","0","0","172","0","0","0","0","0","17"
"505","0","10","15","100201","0","4","5","175","0","0","0","349","0","0","0","0","0","33"
"1035","0","25","15","100201","0","12","6","175","0","0","0","522","0","0","0","0","0","52"
"1395","0","30","85","100201","0","14","7","175","0","0","0","790","0","0","0","0","0","66"
"1675","0","75","85","100201","0","19","8","175","0","0","0","1089","0","0","0","0","4","88"
"2130","0","110","100","100201","0","25","9","175","0","0","0","1389","6","0","0","5","9","109"
"2490","0","115","135","100201","0","28","10","395","0","0","0","1758","30","0","0","10","14","126"
"2910","0","129","151","100201","0","35","11","735","0","0","0","2159","53","0","0","10","14","145"
"3430","0","138","177","100201","0","56","12","955","0","0","0","2471","63","0","0","12","17","171"
"3810","0","140","199","100201","0","94","13","1175","0","0","0","2705","63","0","0","14","20","209"
"3990","0","146","199","100201","0","133","14","1295","0","0","0","2982","71","0","0","16","20","251"
"4130","0","151","199","100201","0","168","15","1395","0","0","0","3310","81","0","0","18","20","293"
"4330","0","157","199","100201","0","208","16","1495","0","0","0","3658","81","0","0","18","20","336"
"4510","0","158","214","100201","0","250","17","1495","3","0","0","4008","81","0","0","18","20","384"
