e7e81181ee7ff6b5b83a0455b8892e0ae51acae80ab172976b60503311ee33b7,613729582ebbd697cc6edb4baa814fb25659782a3bf31819de963ddedb7404d0,269672b01a29d2b128eefee27a8d16c27c59e41b5176ad2d3b2c5016cf2243cb,b5ff0be0805c424e43eb9f1fdbbbbfb6f19564b08acfa9111f6cac050a710ceb,f3317f66f31d3ddccc8d5e06fdcd9ef142c3141f79bd001fa71222dcc0fa04cb,58f754bf0ea50216239f6d032f212a298ab95ce26aa557c297521f6b01563745
"リンゴ","赤くて甘酸っぱい果物。","1","10001","1","1000100"
"アップル","「リンゴ」の英語読み。","1","10001","2","1000101"
"きんだんのかじつ","知恵の樹になると言われる果物。実はリンゴじゃなかった説もあるとかないとか。","1","10001","2","1000102"
"ゴリラ","強くて黒くてムキムキ。バナナが大好きな生き物。","1","10002","1","1000200"
"れいちょうるい","動物の分類のうちのひとつ。","1","10002","2","1000201"
"うほうほ","ゴリラの猛々しい鳴き声をあらわした擬声語。","1","10002","2","1000202"
"マスター・ウキキー","「ルナの塔」に鎮座する強力な仙猿。ゴリラではなく猿だが、親戚みたいなものなので辛うじてセーフ。","1","10002","3","1000203"
"ラッパ","特定の金管楽器をひとまとめにした呼び方。","1","10003","1","1000300"
"トランペット","金管楽器のうちのひとつ。","1","10003","2","1000301"
"かんがっき","楽器の分類のうちのひとつ。なお「サックスのれんしゅう」などのプリコネ読みは、ありそうで無い。","1","10003","2","1000302"
"パイナップル","暖かい地域で育つ、黄色くて甘酸っぱい果物。","1","10004","1","1000400"
"アナナス","「パイナップル」のまた別の呼び方。","1","10004","2","1000401"
"ルビー","宝石の女王とも呼ばれる、鮮やかな赤色の宝石。","1","10005","1","1000500"
"ほうせき","装飾品に用いられる、美しく希少価値の高い鉱物。","1","10005","1","1000501"
"ガーネット","ワインレッド色の宝石。ザクロ石とも呼ばれる。","1","10005","2","1000502"
"ジュエリー","「ほうせき」の英語読み。","1","10005","2","1000503"
"アキノのブローチ","「ウィスタリア家」のご令嬢「アキノ」が身に着けている美しいブローチ。","1","10005","3","1000504"
"こうきせきウィスタリア","「アキノ」の専用装備。ウィスタリア家に代々伝わる輝石。","1","10005","3","1000505"
"ビールっぽいもの","「ビール」なる飲み物によく似た飲み物。","1","10006","1","1000600"
"ジョッキ","片っ方に取っ手のついた、飲み物用の容器。","1","10006","1","1000601"
"むぎしゅわ","「ユカリ」が「ビールっぽいもの」のことを、こう呼ぶ。飲ませすぎてはいけない。","1","10006","3","1000602"
"エターナルジョッキ","「ユカリ」の専用装備。飲んでも飲んでもエターナルに湧き出てくる。","1","10006","3","1000603"
"ゆみや","弓と矢からなる武器。","1","10007","1","1000700"
"とびどうぐ","遠くから飛ばして攻撃するタイプの武器のこと。","1","10007","2","1000701"
"アロー","「矢」の英語読み。","1","10007","2","1000702"
"ボウ","「弓」の英語読み。","1","10007","2","1000703"
"おんぷ","音楽において音を書き表すための記号。","1","10008","1","1000800"
"リズム","音楽における音の流れの構造。","1","10008","1","1000801"
"ミュージック","「音楽」のまた別の呼び方。","1","10008","2","1000802"
"うた","声を用いた音楽のこと。","1","10008","2","1000803"
"ドレミ","音の階名を低い順に３つ並べたもの。","1","10008","2","1000804"
"えのぐ","絵の色をつけるための材料。","1","10009","1","1000900"
"チューブ","ペースト上のものをつめる容器。","1","10009","2","1000901"
"ブルー","青色のこと。または憂鬱な様子。","1","10009","2","1000902"
"あおいえのぐ","青色の絵の具。","1","10009","2","1000903"
"けん","刃によって攻撃する武器の総称。","1","10010","1","1001000"
"ソード","「剣」の英語読み。","1","10010","1","1001001"
"つるぎ","もろ刃になっている剣。","1","10010","2","1001002"
"はもの","刃がついている道具や武器のこと。","1","10010","2","1001003"
"プリンセスソード","「ペコリーヌ」の専用装備。ペコリーヌに更なる力を与える、『王家の装備』の真なる姿。","1","10010","3","1001004"
"めがね","視力を補正するために、目の辺りに身に着ける道具。","1","10011","1","1001100"
"レンズ","眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1","10011","2","1001101"
"ビンぞこめがね","ビンの底のような厚いレンズの眼鏡。","1","10011","2","1001102"
"ぐるぐるめがね","変装に用いられたり、外すと美人だったりする眼鏡。","1","10011","2","1001103"
"カリンのめがね","ギルドハウスの管理人さん「カリン」がかけている眼鏡。","1","10011","3","1001104"
"むしめがね","小さいものを拡大して見るための道具。","1","10012","1","1001200"
"レンズ","虫眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。","1","10012","1","1001201"
"ルーペ","「虫眼鏡」のまた別の呼び方。","1","10012","1","1001202"
"ズーム","レンズを用いて、物を大きく見たり小さく見たりする操作。","1","10012","2","1001203"
"たんていのひっすアイテム","名探偵「カスミ」が愛用する探偵道具の一つ。","1","10012","3","1001204"
"ディテクティブルーペ","「カスミ」の専用装備。このルーペと、数々の事件を共にしてきた。","1","10012","3","1001205"
"にく","焼けばジュワっと肉汁あふれる、素敵な食材。","1","10013","1","1001300"
"りょうり","食材を加工して、食べるために味をつけたり整えたりしたも\nの。","1","10013","2","1001301"
"ミート","「肉」の英語読み。","1","10013","2","1001302"
"ほねつきにく","骨についたままの肉。また、その状態のまま料理したもの。骨についているだけでなんだか美味しそうに見える。","1","10013","2","1001303"
"ドラゴンのにく","こんなに立派な骨付き肉、もしかするとエルピス島に存在すると噂される「ドラゴン」のものなのかもしれない。","1","10013","3","1001304"
"つき","夜空に黄金に輝く美しい衛星。","1","10014","1","1001400"
"まんげつ","まん丸に輝いた状態の月。","1","10014","1","1001401"
"ムーン","「月」の英語読み。","1","10014","2","1001402"
"ルナ","「月」のラテン語読み。","1","10014","2","1001403"
"めいげつ","特に美しく見える月。","1","10014","3","1001404"
