37d6e4fda35a699254ae92bbd774b2d4b99f2c6fad24bc7f61aaabcf152e8e0e,57593184ef1972d0cb64e9b4122dbb7ec952bfa950d760e4b3af5f6ff4329c4c,78e76ecf50e372be5551f413c31c0876c426e6a3a10583e2437b551ab4d2963b,823bc972b5325eeb3d4dfc6374d20348c1f2afcc7193e4fc3a2907ffcc06d546,047bf1502a3a218cfd16cb1b8434b69baa837b173807b999ca8f6055d24b17bc,91962697bbff4dcb284a0c5e3d0b424e62bbd767f918e9d37905d8413e2b22ec
"11101","vo_caravan","vo_caravan_105801_start_001","1","1","1"
"11102","vo_caravan","vo_caravan_105801_start_002","1","1","1"
"12101","vo_caravan","vo_caravan_105901_start_001","1","1","2"
"12102","vo_caravan","vo_caravan_105901_start_002","1","1","2"
"13101","vo_caravan","vo_caravan_106001_start_001","1","1","3"
"13102","vo_caravan","vo_caravan_106001_start_002","1","1","3"
"14101","vo_caravan","vo_caravan_106401_start_001","1","1","4"
"14102","vo_caravan","vo_caravan_106401_start_002","1","1","4"
"21101","vo_caravan","vo_caravan_105801_dice_001","2","1","1"
"21102","vo_caravan","vo_caravan_105801_dice_002","2","1","1"
"22101","vo_caravan","vo_caravan_105901_dice_001","2","1","2"
"22102","vo_caravan","vo_caravan_105901_dice_002","2","1","2"
"23101","vo_caravan","vo_caravan_106001_dice_001","2","1","3"
"23102","vo_caravan","vo_caravan_106001_dice_002","2","1","3"
"24101","vo_caravan","vo_caravan_106401_dice_001","2","1","4"
"24102","vo_caravan","vo_caravan_106401_dice_002","2","1","4"
"31101","vo_caravan","vo_caravan_105801_slot_001","3","1","1"
"32101","vo_caravan","vo_caravan_105901_slot_001","3","1","2"
"33101","vo_caravan","vo_caravan_106001_slot_001","3","1","3"
"34101","vo_caravan","vo_caravan_106401_slot_001","3","1","4"
"41101","vo_caravan","vo_caravan_105801_dish_001","4","1","1"
"41102","vo_caravan","vo_caravan_105801_dish_002","4","1","1"
"42101","vo_caravan","vo_caravan_105901_dish_001","4","1","2"
"42102","vo_caravan","vo_caravan_105901_dish_002","4","1","2"
"42201","se_caravan","se_caravan_food_peko","4","2","1"
"42202","se_caravan","se_caravan_food_coccoro","4","2","2"
"42203","se_caravan","se_caravan_food_kyaru","4","2","3"
"42204","se_caravan","se_caravan_food_coccoro","4","2","4"
"42205","se_caravan","se_caravan_food_onigiri","4","2","100"
"43101","vo_caravan","vo_caravan_106001_dish_001","4","1","3"
"43102","vo_caravan","vo_caravan_106001_dish_002","4","1","3"
"44101","vo_caravan","vo_caravan_106401_dish_001","4","1","4"
"44102","vo_caravan","vo_caravan_106401_dish_002","4","1","4"
"45101","vo_caravan","vo_caravan_onigiri_dish_001","4","1","100"
"61101","vo_caravan","vo_caravan_105801_goal_001","6","1","0"
"61201","vo_caravan","vo_caravan_105801_win_001","61","1","0"
"61301","vo_caravan","vo_caravan_105801_lose_001","62","1","0"
"62101","vo_caravan","vo_caravan_105901_goal_001","6","1","0"
"62201","vo_caravan","vo_caravan_105901_win_001","61","1","0"
"62301","vo_caravan","vo_caravan_105901_lose_001","62","1","0"
"63101","vo_caravan","vo_caravan_106001_goal_001","6","1","0"
"63201","vo_caravan","vo_caravan_106001_win_001","61","1","0"
"63301","vo_caravan","vo_caravan_106001_lose_001","62","1","0"
"64101","vo_caravan","vo_caravan_118501_goal_001","6","1","0"
"65101","vo_caravan","vo_caravan_106401_goal_001","6","1","0"
"65201","vo_caravan","vo_caravan_106401_win_001","61","1","0"
"65301","vo_caravan","vo_caravan_106401_lose_001","62","1","0"
"71101","vo_caravan","vo_caravan_105801_appraise_001","7","1","0"
"72101","vo_caravan","vo_caravan_105901_appraise_001","7","1","0"
"73101","vo_caravan","vo_caravan_106001_appraise_001","7","1","0"
"74101","vo_caravan","vo_caravan_106401_appraise_001","7","1","0"
"81101","vo_caravan","vo_caravan_105801_result_001","8","1","0"
"82101","vo_caravan","vo_caravan_105901_result_001","8","1","0"
"83101","vo_caravan","vo_caravan_106001_result_001","8","1","0"
"84101","vo_caravan","vo_caravan_106401_result_001","8","1","0"
"211101","vo_caravan","vo_caravan_319700_dice_001","2","1","11"
"211102","vo_caravan","vo_caravan_319700_dice_002","2","1","11"
"212101","vo_caravan","vo_caravan_319800_dice_001","2","1","12"
"212102","vo_caravan","vo_caravan_319800_dice_002","2","1","12"
"213101","vo_caravan","vo_caravan_319900_dice_001","2","1","13"
"213102","vo_caravan","vo_caravan_319900_dice_002","2","1","13"
