12a114a64130bf4ad5cb83620e3037125eb803cd18247bcf29c1ff7ae6789c04,c51cf5f14f9d8be08c9872e8f8a197f4b8e358817146f0aade6975c8a932606d,e23e0016b9552213814244912f3a3eb171a259035107820991073fd4d25b8321,fd34f533ca0cd8567b4b2f371334a646f0fa9af0af3fcdd44ca1cccacbc67e83,52a94172a280214718213b55b58f21b6b1e28f2579a45b205eeb094857af73aa,9aa927e373437a9a67517b61af63e868d76ccefb711124ee9395ae06f17ceb69,a8fcb99e7f2263672e2e5721211cec2f070babd4d445ac68a783f017f25bbc14,cbc7b97e07e16516ae7dc9c915ce5832b13bce0c131f20c4a5baf1d52e2b65c0
"平凡な\n未鑑定トレジャー","53001","平凡な未鑑定トレジャー","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","100","1"
"貴重な\n未鑑定トレジャー","53002","貴重な未鑑定トレジャー","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","200","2"
"至高の\n未鑑定トレジャー","53003","至高の未鑑定トレジャー","800","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","1","400","3"
"平凡なジェムストーン","53004","平凡なジェムストーン","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なジェムストーン","53005","貴重なジェムストーン","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のジェムストーン","53006","至高のジェムストーン","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
"平凡なインゴット","53007","平凡なインゴット","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なインゴット","53008","貴重なインゴット","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のインゴット","53009","至高のインゴット","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
"平凡なスクロール","53010","平凡なスクロール","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なスクロール","53011","貴重なスクロール","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のスクロール","53012","至高のスクロール","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
"平凡なティアラ","53013","平凡なティアラ","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なティアラ","53014","貴重なティアラ","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のティアラ","53015","至高のティアラ","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
"平凡なルーン","53016","平凡なルーン","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なルーン","53017","貴重なルーン","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のルーン","53018","至高のルーン","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
"平凡なクラウン","53019","平凡なクラウン","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なクラウン","53020","貴重なクラウン","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のクラウン","53021","至高のクラウン","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
"平凡なアーティファクト","53022","平凡なアーティファクト","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","1"
"貴重なアーティファクト","53023","貴重なアーティファクト","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","2"
"至高のアーティファクト","53024","至高のアーティファクト","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","3"
