0653b687e54f50aa9ae43471e5a3b85654a5b9725fbdf4b1c5732a2aae644213,a3eccca87cb1d0a0332af97899c662ff765cd9f6bde997dc5b1d54951844a946,78b4a4d7b2c36f5e5d22f19da3d6121a4c5f9c25ffa9b4e31a141bf2cb8119f0,dbe440d07236a4b76928b7b83277bb12b70bd247aa9f7cf836d23545905a49e5,cc5e9c7d4723eacb6c2c02b83c662666b26f60db44079c2222aafc1c58f9e1f3,f32d77f93b2b6385e37356cfab11eae18dcc1387d1226af50bd1d6cf7b133407,92e36b07775a476b5751c861e1ea985d49af3b8699e54863bf3192dda0c6936a,26e349f0115967b7c1fecc4d5bf832e588d59e65894abcb1418773b07160e95d,5c3108175083be470e88b47c03d133df439989a38e1b5a74d10613af96d21620,4ba2bd24f7778a5969fe9fcaaff673e84a477e491e6e6a4d6d151379b4a55b61,75bc2e7111e62f2cfcbeccbb63b3a723c72a0a941199769ecbdbf66d4539ce1f
"31","2","10","91002","1","2","25021","8","25013","8","283001001"
"31","2","10","91002","2","2","25021","8","25013","8","283001002"
"32","2","10","91002","3","2","25021","8","25013","8","283001003"
"32","2","10","91002","4","2","25021","8","25013","8","283001004"
"33","2","10","91002","5","2","25021","8","25013","8","283001005"
"33","2","10","91002","6","2","25021","8","25013","9","283001006"
"34","2","10","91002","7","2","25021","8","25013","9","283001007"
"35","2","10","91002","8","2","25021","8","25013","9","283001008"
"35","2","10","91002","9","2","25021","8","25013","9","283001009"
"37","2","30","91002","10","2","25021","8","25013","10","283001010"
"41","2","10","91002","11","2","25021","8","25013","10","283001011"
"43","2","10","91002","12","2","25021","8","25013","11","283001012"
"46","2","10","91002","13","2","25021","8","25013","11","283001013"
"48","2","10","91002","14","2","25021","8","25013","12","283001014"
"50","2","10","91002","15","2","25021","8","25013","12","283001015"
"53","2","10","91002","16","2","25021","8","25013","13","283001016"
"55","2","10","91002","17","2","25021","8","25013","14","283001017"
"58","2","10","91002","18","2","25021","8","25013","14","283001018"
"60","2","10","91002","19","2","25021","8","25013","15","283001019"
"62","2","30","91002","20","2","25021","8","25013","15","283001020"
"68","2","10","91002","21","2","25021","8","25013","16","283001021"
"70","2","10","91002","22","2","25021","8","25013","16","283001022"
"72","2","10","91002","23","2","25021","8","25013","16","283001023"
"75","2","10","91002","24","2","25021","8","25013","17","283001024"
"77","2","10","91002","25","2","25021","8","25013","18","283001025"
"79","2","10","91002","26","2","25021","8","25013","18","283001026"
"82","2","10","91002","27","2","25021","8","25013","19","283001027"
"84","2","10","91002","28","2","25021","8","25013","19","283001028"
"86","2","10","91002","29","2","25021","8","25013","19","283001029"
"89","2","30","91002","30","2","25021","8","25013","20","283001030"
"94","2","10","91002","31","2","25021","8","25013","20","283001031"
"96","2","10","91002","32","2","25021","8","25013","21","283001032"
"99","2","10","91002","33","2","25021","8","25013","21","283001033"
"101","2","10","91002","34","2","25021","8","25013","22","283001034"
"103","2","10","91002","35","2","25021","8","25013","22","283001035"
"106","2","10","91002","36","2","25021","8","25013","23","283001036"
"108","2","10","91002","37","2","25021","8","25013","23","283001037"
"111","2","10","91002","38","2","25021","8","25013","24","283001038"
"113","2","10","91002","39","2","25021","8","25013","25","283001039"
"115","2","30","91002","40","2","25021","8","25013","25","283001040"
"121","2","10","91002","41","2","25021","8","25013","26","283001041"
"123","2","10","91002","42","2","25021","8","25013","27","283001042"
"125","2","10","91002","43","2","25021","8","25013","28","283001043"
"128","2","10","91002","44","2","25021","8","25013","28","283001044"
"130","2","10","91002","45","2","25021","8","25013","29","283001045"
"132","2","10","91002","46","2","25021","8","25013","30","283001046"
"135","2","10","91002","47","2","25021","8","25013","30","283001047"
"137","2","10","91002","48","2","25021","8","25013","31","283001048"
"139","2","10","91002","49","2","25021","8","25013","31","283001049"
"142","2","30","91002","50","2","25021","8","25013","31","283001050"
"144","2","10","91002","51","2","25021","8","25013","32","283001051"
"146","2","10","91002","52","2","25021","8","25013","32","283001052"
"149","2","10","91002","53","2","25021","8","25013","32","283001053"
"152","2","10","91002","54","2","25021","8","25013","33","283001054"
"155","2","10","91002","55","2","25021","8","25013","33","283001055"
"157","2","10","91002","56","2","25021","8","25013","33","283001056"
"160","2","10","91002","57","2","25021","8","25013","34","283001057"
"163","2","10","91002","58","2","25021","8","25013","34","283001058"
"166","2","10","91002","59","2","25021","8","25013","34","283001059"
"169","2","30","91002","60","2","25021","8","25013","35","283001060"
"171","2","10","91002","61","2","25021","8","25013","35","283001061"
"174","2","10","91002","62","2","25021","8","25013","35","283001062"
"177","2","10","91002","63","2","25021","8","25013","36","283001063"
"180","2","10","91002","64","2","25021","8","25013","36","283001064"
"182","2","10","91002","65","2","25021","8","25013","36","283001065"
"185","2","10","91002","66","2","25021","8","25013","37","283001066"
"187","2","10","91002","67","2","25021","8","25013","37","283001067"
"190","2","10","91002","68","2","25021","8","25013","37","283001068"
"193","2","10","91002","69","2","25021","8","25013","38","283001069"
"196","2","30","91002","70","2","25021","8","25013","38","283001070"
