79fe7a128d0659ac3be98b28d327359c31509a29812ab01e4fe86f4d3f219e10,92fdb5892460c2dc21332556ef87a3d5a55a19f5b7e5e6eae5eb4b1750b6a83a,18cbd3089a3ab7c58e13fddcfc6b11d3e9d351236b8ef5cba05fb5db8d0d5a07,d0285e768da81b1ede6ccc4cb45d352e3da22157617fb86bd9e11cc5b39457b5,fba147564327803ead2c241f1c4198760a07dbb1f5610f2302e7d7a6cfff068a,56ed5000cd1004e0f4524a49a213d4e9dd63e4f4d821bc6eef9d116b55f6ab8d,3d6d5ccade154f3de797ea9455df8bdff6caac15f385fc85447b9dfc1c2a594c,9f7c2ddf7a1a18ee0fbc8107273dc97210f493225ac9df2fcee856fa32e5b8c2,c65fe84f61d18aa75a48b65c8d0778aec4605e53943c797ff7f1f3f9651ca962,0952f994c48364d419c3530e28be21a39583d9a3508a81f476ff60ba49e9be80,b3407d804d0814a5cc35135bc1d005bd8e40374e877d96c0d87716b2f0337aa9
"1","5","1010001","ttk_idle_def","1","100","1","102611","-120","1","850"
"1","31","1010002","","1","0","2","2","1","","0"
"1","31","1010003","","1","-120","1","1","1","","-80"
"1","93","1010004","","","","1","","","",""
"1","21","1010005","","","0","vo_minigame_1005","vo_minigame_1005_top_000","","","0"
"1","3","1010006","","0.3","ttk_idle_doya","102611","ttk_doya","1","0.3","0"
"1","11","1010007","","0","","102611","任された仕事は\nきちんとやるよ","","0","8"
"1","91","1010008","","","","0","","","",""
"2","5","1020001","ttk_idle_def","1","100","1","102611","-120","1","850"
"2","31","1020002","","1","0","2","2","1","","0"
"2","31","1020003","","1","-120","1","1","1","","-80"
"2","93","1020004","","","","1","","","",""
"2","21","1020005","","","0","vo_minigame_1005","vo_minigame_1005_top_001","","","0"
"2","3","1020006","","0.3","ttk_idle_def","102611","ttk_idle_smile","1","0.3","0"
"2","11","1020007","","0","","102611","あたしの前に\n現れたこと\n後悔させてあげる","","0","8"
"2","91","1020008","","","","0","","","",""
"3","5","1030001","ttk_idle_def","1","100","1","102611","-120","1","850"
"3","31","1030002","","1","0","2","2","1","","0"
"3","31","1030003","","1","-120","1","1","1","","-80"
"3","93","1030004","","","","1","","","",""
"3","21","1030005","","","0","vo_minigame_1005","vo_minigame_1005_top_002","","","0"
"3","3","1030006","","0.1","ttk_idle_joy","102611","ttk_joy","1","0.3","0"
"3","11","1030007","","0","","102611","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","","0","8"
"3","93","1030008","","","","2.2","","","",""
"3","3","1030009","","0.3","","102611","ttk_talk_sad","","0.3","1"
"3","93","1030010","","","","3","","","",""
"3","3","1030011","","0.3","","102611","ttk_idle_def","","0.3","1"
"3","91","1030012","","","","0","","","",""
"4","5","1040001","ttk_idle_def","1","100","1","102611","-120","1","850"
"4","31","1040002","","1","0","2","2","1","","0"
"4","31","1040003","","1","-120","1","1","1","","-80"
"4","93","1040004","","","","1","","","",""
"4","21","1040005","","","0","vo_minigame_1005","vo_minigame_1005_top_003","","","0"
"4","3","1040006","","0.3","ttk_idle_shock","102611","ttk_shock","1","0.3","0"
"4","11","1040007","","0","","102611","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","","0","8"
"4","93","1040008","","","","5","","","",""
"4","3","1040009","","0.3","","102611","ttk_idle_def","","0.3","1"
"4","93","1040010","","","","0.7","","","",""
"5","5","1050001","ttk_idle_def","1","100","1","102611","-120","1","850"
"5","31","1050002","","1","0","2","2","1","","0"
"5","31","1050003","","1","-120","1","1","1","","-80"
"5","93","1050004","","","","1","","","",""
"5","21","1050005","","","0","vo_minigame_1005","vo_minigame_1005_top_004","","","0"
"5","3","1050006","","0.3","","102611","ttk_surprise","","0.3","0"
"5","11","1050007","","0","","102611","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","","0","8"
"5","93","1050008","","","","0.9","","","",""
"5","3","1050009","","0.3","","102611","ttk_talk_anger","","0.3","1"
"5","93","1050010","","","","0.8","","","",""
"5","3","1050011","","0.3","ttk_talk_sad","102611","ttk_sad","1","0.3","0"
"5","93","1050012","","","","5","","","",""
"5","3","1050013","","0.3","","102611","ttk_idle_def","","0.3","1"
"5","91","1050014","","","","0","","","",""
"6","5","1060001","ttk_idle_def","1","100","1","102611","-120","1","850"
"6","31","1060002","","1","0","2","2","1","","0"
"6","31","1060003","","1","-120","1","1","1","","-80"
"6","93","1060004","","","","1","","","",""
"6","21","1060005","","","0","vo_minigame_1005","vo_minigame_1005_top_005","","","0"
"6","3","1060006","","0.3","","102611","ttk_idle_worry","","0.3","1"
"6","11","1060007","","0","","102611","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","","0","8"
"6","93","1060008","","","","7","","","",""
"6","3","1060009","","0.3","ttk_idle_def","102611","ttk_amz","1","0.3","0"
"6","91","1060010","","","","0","","","",""
