e78db010c238df2658f1bb642a7ba18a79d9393de884ce76e6b0d1b16119e3d3,aa42bc8c069ecf9b02bbf682cb11d1f8d2d0d86ba3db1316a9f2063dd4f97c26,bf9a2319c456d0320b7a6af655eef4c41e8cc4398f0a8f98fcfafed3c799fb7a,be3b055e91afbaa98d6d3313f0573b6616a1b74105bcc1e5b732ad56101eae08,a52accfd632ec55663dabe87126e1456cdec103ed506891d31a7c18f9356135a
"111011101","3","0","1","1"
"111021101","3","0","1","1"
"133011101","3","0","1","1"
"133011201","5","0","1","1"
"133020101","3","0","1","1"
"133020201","3","1","1","1"
"133030101","3","0","1","1"
"133030201","3","0","2","1"
"133030301","3","0","3","1"
"133030401","3","1","1","1"
"133030501","3","1","2","1"
"133030601","3","1","3","1"
"133040101","3","0","1","1"
"133040201","3","1","1","1"
"133040301","3","2","1","1"
"133040401","3","3","1","1"
"133051101","3","0","1","1"
"133051201","5","0","1","1"
"134010101","3","0","1","2"
"134010201","3","0","3","2"
"134021101","3","0","1","1"
"134021201","5","0","1","1"
"140010101","4","0","1","2"
"140010201","1","1","1","2"
"140010301","1","0","1","2"
"140020101","1","0","3","1"
