0aaf99b2c25bd1d5f848b0360f70288351364554854e550adafdb8885bf19b06,ff0c9106f8de6ba6c6911ff1fd3d75d2317f81682f66f455aa4da55ff9636c3e,7ec13f38f872400bf263c3d52221a3588374377c63017c3acee8262c1750caea,25a63a3873d1a387b79feb9e02fc1f19a5921cfcb990c483611762d6d1b1cf34,00e36ff3b327a8af38f96c5ec6ad54d3d272854afb59be2f1aa9dc0e26859c94,3a8412aa155c817968d92fe9846e497e5f630f0b7698cc69d2312a37a49a3738
"1005","211","212","802100290","1","2114001"
"1006","211","212","802100290","1","2114002"
"1007","211","212","802100290","1","2114003"
"1008","211","212","802100290","1","2114004"
"100501","104","100","802100266","0","2113061"
"100502","104","100","802100266","0","2113062"
"100503","105","102","802100266","0","2113063"
"100504","106","103","802100266","0","2113064"
"100505","104","100","802100266","0","2113065"
"100506","104","100","802100266","0","2113066"
"100507","105","102","802100266","0","2113067"
"100508","106","103","802100266","0","2113068"
"100509","104","100","802100266","0","2113069"
"100510","104","100","802100266","0","2113070"
"100511","104","100","802100267","0","2113071"
"100512","104","100","802100267","0","2113072"
"100513","105","102","802100267","0","2113073"
"100514","106","103","802100267","0","2113074"
"100515","104","100","802100267","0","2113075"
"100516","104","100","802100267","0","2113076"
"100517","105","102","802100267","0","2113077"
"100518","106","103","802100267","0","2113078"
"100519","104","100","802100267","0","2113079"
"100520","104","100","802100267","0","2113080"
"100521","104","100","802100268","0","2113081"
"100522","104","100","802100268","0","2113082"
"100523","105","102","802100268","0","2113083"
"100524","106","103","802100268","0","2113084"
"100525","104","100","802100268","0","2113085"
"100526","208","112","802100268","1","2113086"
"100527","201","110","802100268","1","2113087"
"100528","104","100","802100268","0","2113088"
"100529","105","102","802100268","0","2113089"
"100530","106","103","802100268","0","2113090"
"100601","203","114","802100263","1","2113031"
"100602","202","113","802100263","1","2113032"
"100603","105","102","802100263","0","2113033"
"100604","106","103","802100263","0","2113034"
"100605","203","114","802100263","1","2113035"
"100606","202","113","802100263","1","2113036"
"100607","204","111","802100263","1","2113037"
"100608","202","113","802100263","1","2113038"
"100609","202","113","802100263","1","2113039"
"100610","106","103","802100263","0","2113040"
"100611","203","114","802100264","1","2113041"
"100612","202","113","802100264","1","2113042"
"100613","105","102","802100264","0","2113043"
"100614","106","103","802100264","0","2113044"
"100615","203","114","802100264","1","2113045"
"100616","202","113","802100264","1","2113046"
"100617","204","111","802100264","1","2113047"
"100618","202","113","802100264","1","2113048"
"100619","202","113","802100264","1","2113049"
"100620","106","103","802100264","0","2113050"
"100621","105","102","802100265","0","2113051"
"100622","203","114","802100265","1","2113052"
"100623","202","113","802100265","1","2113053"
"100624","204","111","802100265","1","2113054"
"100625","106","103","802100265","0","2113055"
"100626","208","112","802100265","1","2113056"
"100627","201","110","802100265","1","2113057"
"100628","203","114","802100265","1","2113058"
"100629","202","113","802100265","1","2113059"
"100630","106","103","802100265","0","2113060"
"100701","205","112","802100269","1","2113091"
"100702","206","112","802100269","1","2113092"
"100703","102","117","802100269","0","2113093"
"100704","105","102","802100269","0","2113094"
"100705","105","102","802100269","0","2113095"
"100706","202","113","802100269","1","2113096"
"100707","203","114","802100269","1","2113097"
"100708","102","117","802100269","0","2113098"
"100709","105","102","802100269","0","2113099"
"100710","202","113","802100269","1","2113100"
"100711","205","112","802100270","1","2115001"
"100712","102","117","802100270","0","2115002"
"100713","105","102","802100270","0","2115003"
"100714","106","103","802100270","0","2115004"
"100715","203","114","802100270","1","2115005"
"100716","202","113","802100270","1","2115006"
"100717","207","112","802100270","1","2115007"
"100718","105","102","802100270","0","2115008"
"100719","106","103","802100270","0","2115009"
"100720","202","113","802100270","1","2115010"
"100721","205","112","802100271","1","2115011"
"100722","208","112","802100271","1","2115012"
"100723","102","117","802100271","0","2115013"
"100724","105","102","802100271","0","2115014"
"100725","106","103","802100271","0","2115015"
"100726","208","112","802100271","1","2115016"
"100727","201","110","802100271","1","2115017"
"100728","102","117","802100271","0","2115018"
"100729","105","102","802100271","0","2115019"
"100730","106","103","802100271","0","2115020"
"100801","103","104","802100260","0","2113001"
"100802","104","100","802100260","0","2113002"
"100803","104","100","802100260","0","2113003"
"100804","105","102","802100260","0","2113004"
"100805","105","102","802100260","0","2113005"
"100806","104","100","802100260","0","2113006"
"100807","104","100","802100260","0","2113007"
"100808","105","102","802100260","0","2113008"
"100809","105","102","802100260","0","2113009"
"100810","107","101","802100260","0","2113010"
"100811","103","104","802100261","0","2113011"
"100812","104","100","802100261","0","2113012"
"100813","104","100","802100261","0","2113013"
"100814","105","102","802100261","0","2113014"
"100815","106","103","802100261","0","2113015"
"100816","104","100","802100261","0","2113016"
"100817","104","100","802100261","0","2113017"
"100818","105","102","802100261","0","2113018"
"100819","106","103","802100261","0","2113019"
"100820","104","100","802100261","0","2113020"
"100821","103","104","802100262","0","2113021"
"100822","104","100","802100262","0","2113022"
"100823","104","100","802100262","0","2113023"
"100824","105","102","802100262","0","2113024"
"100825","105","102","802100262","0","2113025"
"100826","208","112","802100262","1","2113026"
"100827","201","110","802100262","1","2113027"
"100828","105","102","802100262","0","2113028"
"100829","106","103","802100262","0","2113029"
"100830","103","104","802100262","0","2113030"
