d9b8878448091eda82154a4386bd75168a2760ca091d9581f1d5fba8df5a4f81,c163c41ea824b6ab0096653b63747e6cd3888671121f9d332d4a6b6c05901b7f,3507e8cfc9ff78abbf153e1e0b956c10ff0963449999957ad29fbcf3c1fe0802,b5df8dd0bcfe95e722a5bc443501b1c43f6e44bb4c9d6225a752aeaddfc0c9fa,e0fc2fb899ded1d7acd2f6dd09dfa62c61172005410c95b953566a172ea551d7,8d84884e137b4fa8c06c7786d9b605f10629ceff085f09cbbe75e74cd674356f,3d913af2abd77e3257abdd097dd3b89f7b3fb49ec7e40bf017cb02aec42f71a1,27e36bbd4bfd135310e716ef96575d34f162d160d79484700482b2dcb79814d7
"ＴＰ250アップ","0","1005","バトル開始時、味方のＴＰが250アップ","0","1005","2","1005"
"ＴＰ250アップ","0","1006","バトル開始時、味方のＴＰが250アップ","0","1006","2","1006"
"ＴＰ250アップ","0","1007","バトル開始時、味方のＴＰが250アップ","0","1007","2","1007"
"ＴＰ250アップ","0","1008","バトル開始時、味方のＴＰが250アップ","0","1008","2","1008"
"物理攻撃ダウン90秒","27160000000000","100501","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100501"
"物理攻撃ダウン90秒","26040000000000","100502","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100502"
"物理防御ダウン90秒","25200000000000","100503","バトル開始から90秒間、敵の物理防御力がダウン","36000","1005","1","100503"
"魔法防御ダウン90秒","24360000000000","100504","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1005","1","100504"
"物理攻撃ダウン90秒","23520000000000","100505","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100505"
"物理攻撃ダウン90秒","22400000000000","100506","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100506"
"物理防御ダウン90秒","21560000000000","100507","バトル開始から90秒間、敵の物理防御力がダウン","36000","1005","1","100507"
"魔法防御ダウン90秒","20720000000000","100508","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1005","1","100508"
"物理攻撃ダウン90秒","19600000000000","100509","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100509"
"物理攻撃ダウン90秒","18760000000000","100510","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100510"
"物理攻撃ダウン90秒","17920000000000","100511","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100511"
"物理攻撃ダウン90秒","16800000000000","100512","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100512"
"物理防御ダウン90秒","15960000000000","100513","バトル開始から90秒間、敵の物理防御力がダウン","36000","1005","1","100513"
"魔法防御ダウン90秒","15120000000000","100514","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1005","1","100514"
"物理攻撃ダウン90秒","14280000000000","100515","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100515"
"物理攻撃ダウン90秒","13160000000000","100516","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100516"
"物理防御ダウン90秒","12320000000000","100517","バトル開始から90秒間、敵の物理防御力がダウン","36000","1005","1","100517"
"魔法防御ダウン90秒","11480000000000","100518","バトル開始から90秒間、敵の魔法防御力がダウン","36000","1005","1","100518"
"物理攻撃ダウン90秒","10360000000000","100519","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100519"
"物理攻撃ダウン90秒","9520000000000","100520","バトル開始から90秒間、敵の物理攻撃力がダウン","36000","1005","1","100520"
