165457fa17de1cfa941c454ba7ad220e3896f5f221ded51ca9ee193c64584cab,47bc4f160538255f2de9894bc8b67d9f34eb124948abb3247b51e78032973de4,9ea8d10eaef4ea08cfe74c6b7a93c1f1e7d1ab5295f0828b7d3f204719aa38a0,7650ab8a11e92468e9043b966bd394a7dd2aa767cb9a2cd89bffdfe09a726926,f4cc52cd44b30f341bea81e518d793b6340a83ec5560f3e2dc19a1fbcbbb45f7,7c769fbeeebc81cd3ae3487d85013c0cfe2e4f9e5cb166be1888449ff5654430
"1","1","11001001","99001001","15","1001"
"2","10","91002","99001001","8","0"
"3","1","11001002","99001002","15","1001"
"4","10","91002","99001002","8","0"
"5","1","11001003","99001003","15","1002"
"6","20","91002","99001003","8","0"
"7","1","11001004","99001004","15","1003"
"8","30","91002","99001004","8","0"
"9","1","11001005","99001005","15","1001"
"10","10","91002","99001005","8","0"
"11","1","11001006","99001006","15","1001"
"12","10","91002","99001006","8","0"
"13","1","11001007","99001007","15","1002"
"14","20","91002","99001007","8","0"
"15","1","11001008","99001008","15","1003"
"16","30","91002","99001008","8","0"
"17","1","11001009","99001009","15","1001"
"18","10","91002","99001009","8","0"
"19","1","11001010","99001010","15","1001"
"20","10","91002","99001010","8","0"
"21","1","11001011","99001011","15","1002"
"22","20","91002","99001011","8","0"
"23","1","11001012","99001012","15","1003"
"24","30","91002","99001012","8","0"
"33","1","11001017","99001017","15","1001"
"34","30","91002","99001017","8","0"
"35","1","11001018","99001018","15","1001"
"36","30","91002","99001018","8","0"
"37","1","11001019","99001019","15","1002"
"38","30","91002","99001019","8","0"
"39","1","11001020","99001020","15","1003"
"40","30","91002","99001020","8","0"
"41","0","11001021","99001021","15","1001"
"42","0","11001022","99001022","15","1002"
"43","1","11001023","99001023","15","1001"
"44","30","91002","99001023","8","0"
"45","1","11001024","99001024","15","1001"
"46","30","91002","99001024","8","0"
"47","1","11001025","99001025","15","1002"
"48","30","91002","99001025","8","0"
"49","1","11001026","99001026","15","1003"
"50","30","91002","99001026","8","0"
"51","1","11001027","99001027","15","1001"
"52","30","91002","99001027","8","0"
"53","1","11001028","99001028","15","1001"
"54","30","91002","99001028","8","0"
"55","1","11001029","99001029","15","1002"
"56","30","91002","99001029","8","0"
"57","1","11001030","99001030","15","1003"
"58","30","91002","99001030","8","0"
"59","1","11001031","99001031","15","1001"
"60","30","91002","99001031","8","0"
"61","1","11001032","99001032","15","1001"
"62","30","91002","99001032","8","0"
"63","1","11001033","99001033","15","1002"
"64","30","91002","99001033","8","0"
"65","1","11001034","99001034","15","1003"
"66","30","91002","99001034","8","0"
"75","0","11001039","99001039","15","1001"
"76","0","11001040","99001040","15","1002"
"77","0","11001041","99001041","15","1003"
"78","1","11001042","99001042","15","1001"
"79","30","91002","99001042","8","0"
"80","1","11001043","99001043","15","1001"
"81","30","91002","99001043","8","0"
"82","1","11001044","99001044","15","1002"
"83","30","91002","99001044","8","0"
"84","1","11001045","99001045","15","1003"
"85","30","91002","99001045","8","0"
"86","1","11001046","99001046","15","1001"
"87","1","11001050","99001046","15","1001"
"88","30","91002","99001046","8","0"
"89","1","11001047","99001047","15","1001"
"90","30","91002","99001047","8","0"
"91","1","11001048","99001048","15","1002"
"92","30","91002","99001048","8","0"
"93","1","11001049","99001049","15","1003"
"94","30","91002","99001049","8","0"
"95","1","11001051","99001051","15","1001"
"96","30","91002","99001051","8","0"
"97","1","11001052","99001052","15","1001"
"98","30","91002","99001052","8","0"
"99","1","11001053","99001053","15","1002"
"100","30","91002","99001053","8","0"
"101","1","11001054","99001054","15","1003"
"102","30","91002","99001054","8","0"
"103","1","11001055","99001055","15","1001"
"104","30","91002","99001055","8","0"
"105","1","11001056","99001056","15","1001"
"106","30","91002","99001056","8","0"
"107","1","11001057","99001057","15","1002"
"108","30","91002","99001057","8","0"
"109","1","11001058","99001058","15","1003"
"110","30","91002","99001058","8","0"
"111","1","11001059","99001059","15","1001"
"112","30","91002","99001059","8","0"
"113","1","11001060","99001060","15","1001"
"114","30","91002","99001060","8","0"
"115","1","11001061","99001061","15","1002"
"116","30","91002","99001061","8","0"
"117","1","11001062","99001062","15","1003"
"118","30","91002","99001062","8","0"
"119","1","11001063","99001063","15","1001"
"120","30","91002","99001063","8","0"
"121","1","11001064","99001064","15","1001"
"122","30","91002","99001064","8","0"
"123","1","11001065","99001065","15","1002"
"124","30","91002","99001065","8","0"
"125","1","11001066","99001066","15","1003"
"126","30","91002","99001066","8","0"
"127","1","11001067","99001067","15","1001"
"128","30","91002","99001067","8","0"
"129","1","11001068","99001068","15","1001"
"130","30","91002","99001068","8","0"
"131","1","11001069","99001069","15","1002"
"132","30","91002","99001069","8","0"
"133","1","11001070","99001070","15","1003"
"134","30","91002","99001070","8","0"
"135","0","11001071","99001071","15","1001"
"136","0","11001072","99001072","15","1002"
"137","0","11001073","99001073","15","1003"
"138","1","11001074","99001074","15","1001"
"139","30","91002","99001074","8","0"
"140","1","11001075","99001075","15","1001"
"141","30","91002","99001075","8","0"
"142","1","11001076","99001076","15","1002"
