fa815553236be41bca28c3bf54ac1d443c2350a842f2d97b801a483019b803c0,0d5fa2e4a140e97044ea63cfff4199f5c51796d10bd26c7c9f7f4479e6a94c8e,ae1a7d488b2cdd6e9c7afde466ad996e71d208833b765b301cae737d3135e18d,09fd8e4cadcc695ecea50d3242a9102cf23459cb99ab7e79f440ab671bc7647a,2bcba886ac3f0e80da174451b9415830131d2675854d00988c7a9a3e4d844e96,499fe850d02990fefaeed220f7c130fc1b319e9b6f2e412d6b4bc757af9e1416,89b4a1c64bb97794b836e062b862ee9bd2d51619b9f34e3cfb3480c563e1f79f,57b7bc4a3e75a35591f60f6223090587dd20401323bfcde602dd7bbf1f56c2a9,06ab598357328e157570c5444272cb366ce5e24d91883f6aba1f794d6c7b4d72,8c1e2bd3776812511a0359b0d57f155103717863e0058017a23d221335918804,b6884145386e37b59946dda989e8e509a52f39cf6252fcaf61bae27fccd2e665,28de20493f32031750339bd9ca2ec34041327c57f5726823cde5b31bc11de195
"0.025","30","0","0","351","38","0","34","1","0","0","0.05"
"0.025","29","0","0","342","37","0","33","2","0","0","0.05"
"0.025","28","0","0","333","36","0","32","3","0","0","0.05"
"0.025","27","0","0","324","35","0","31","4","0","0","0.05"
"0.025","26","0","0","315","34","0","30","5","0","0","0.05"
"0.025","25","0","0","306","33","0","29","6","0","0","0.05"
"0.025","24","0","0","297","32","0","28","7","0","0","0.05"
"0.025","23","0","0","288","31","0","27","8","0","0","0.05"
"0.025","22","0","0","279","30","0","26","9","0","0","0.05"
"0.025","21","0","0","270","29","0","25","10","0","0","0.05"
"0.025","20","0","0","261","28","0","24","11","0","0","0.05"
"0.025","19","0","0","252","27","0","23","12","0","0","0.05"
"0.025","18","0","0","243","26","0","22","13","0","0","0.05"
"0.025","17","0","0","234","25","0","21","14","0","0","0.05"
"0.025","16","0","0","225","24","0","20","15","0","0","0.05"
"0.025","15","0","0","216","23","0","19","16","0","0","0.05"
"0.025","14","0","0","207","22","0","18","17","0","0","0.05"
"0.025","13","0","0","198","21","0","17","18","0","0","0.05"
"0.025","12","0","0","189","20","0","16","19","0","0","0.05"
"0.025","11","0","0","180","19","0","15","20","0","0","0.05"
"0.025","10","0","0","171","18","0","14","21","0","0","0.05"
"0.025","9","0","0","161","17","0","13","22","0","0","0.05"
"0.025","8","0","0","152","16","0","12","23","0","0","0.05"
"0.025","7","0","0","143","15","0","11","24","0","0","0.05"
"0.025","6","0","0","134","14","0","10","25","0","0","0.05"
"0.025","5","0","0","125","13","0","9","26","0","0","0.05"
"0.025","4","0","0","116","12","0","8","27","0","0","0.05"
"0.025","3","0","0","107","11","0","7","28","0","0","0.05"
"0.025","2","0","0","101","10","0","6","29","0","0","0.05"
"0","0","0","0","1","0","0","0","30","0","0","0"
