fcd827cf2dd8e6093cc2240403c2e60abdcb54b3c7e133532cc4783a8070126c,dd329f47bebc3fb2b26b973c7746a8b58e1e2079a76d8e133c01880287c70c35,82c724c9105d627f46dbe6264e2a5fb035a8885e83446675a68731821b090a85,2295dd037b1eebd6f0368466aa57df58c40b8263a5f7fe5769662f7db2c93311,95e1265fa9bf6e5d48b8b49db6f66bf1e6ed96aff4b0c12bf586066ecdc2dfda,5abc633ba9b59c1ccf7644d6079267b221e22eabe184f4b8e038a53833d69c48,a20ab752e52108651099aca6debdda66f8a8039afdce6796f27cf9f00211be1c,4d378010a9e421289a951ce44992678026da5b348a6c4a43e232563986060c10,17f64f81ac2afc8857abe93002b65457d6cb80987d331bb92d608ae1c1a8382a,4ae21349461b880fb113fe7792c7489a1a477bcba94d0a413c1f0401e250d5dd,b879396992bed8837a36de53de48fb1092850b92d022510d9852902132d35596,ff37bd998321b731ac8eb478891b70497ed67b29f5d29456d2bf78fbfcd86d45,9a32475e148fce98756ef159969c0d0ea574748bb21b135072d22a870d7c3132,d0d69d71faf4871dea8cdbe25f3d4bb7900a26ed0f8ae80b3925191e1eba21b5,0948755b167636bcde7aec507c4859c0d794fbd4c3f2259a034987b71a59b484
"ねぇねぇ、騎士クン\n手伝ってあげようよ～","0","1","お！\nあそこに困ってそうな人発見！","0","1","2","春咲 ひより","0","0","0","1.4","1001","ヒヨリでっす♪\n元気いっぱいがんばるよ♪","1"
"わ、わたし、\nなに言ってるんだろ\nあはは…","0","1","大切な人を\n守れるようになりたい…って","0","1","2","草野 優衣","0","0","0","1.4","1002","みんなみたいに\nわたしも強くならなきゃ","1"
"少しは磨かれると思いますよ。","0","1","キミに必要な集中力と感性が","0","1","2","士条 怜","0","0","0","1.4","1003","フェンシングを始めてみては？","1"
"みそぎはねぇ、\nかくれんぼやりたい！","0","1","今日はなにして遊ぶ？","0","1","2","穂高 みそぎ","0","0","0","1.5","1004","ねぇ、にいちゃん！","1"
"私といっしょに…\nいかない？","0","1","ねぇ…","0","1","2","風宮 あかり","0","0","0","1.4","1006","風宮あかりです","1"
"食べ物の恨みは怖いのー","0","1","プリンたべたいのー","0","1","2","出雲 宮子","0","0","0","1.5","1007","出雲宮子なのー","1"
"いいよ。\n見られることは運命さ…","0","1","キミもボクの美貌に\n吸い寄せられたんだね。","0","1","2","虹村 雪","0","0","0","1.4","1008","ボクは虹村雪。","1"
"人呼んで「疾風の冥姫」!!","0","1","我が真名は\nアンネローゼ・フォン・シュテッヒパルム！","0","1","2","柊杏奈","0","0","0","1.4","1009","フッ…聞いて後悔するがいい！","1"
"ほんまおおきにやわ～♪","0","1","うさぎさん、\n運命の王子はんに巡りあわせてくれて","0","1","2","姫宮 真歩","0","0","0","1.5","1010","マホマホ王国のプリンセス、\nまほ姫どす","1"
"ここで会ったが\n100年目～！","0","1","生き別れたお兄ちゃんを探して\n三千世界！","0","1","2","衣之咲 璃乃","0","0","0","1.4","1011","衣之咲璃乃です！","1"
"…って、お願い！\n誰にも言わないでおいて～！","0","1","ち、超能力って…\n何のことかな～？","0","1","2","柏崎 初音","0","0","0","1.4","1012","私はハツネ、\n結構強いんだよ。\nきらーん☆","1"
"ヒデサイまぢ\nGF（グッドフィーリング）～♪","0","1","一応カリスマ読モJKやってまっす！","0","1","2","美波 鈴奈","0","0","0","1.4","1016","ちょす！\n美波鈴奈だよ～♪","1"
"でも、沖縄もとってもいいとこさー","0","1","東京は遊園地みたいなところさー","0","1","2","喜屋武 香織","0","0","0","1.4","1017","はいたーい。\n喜屋武香織さー。","1"
"イオちゃんって呼んでね。","0","1","先生って呼ばれるのは\nくすぐったいから","0","1","2","支倉 伊緒","0","0","0","1.4","1018","支倉伊緒です。","1"
"ミミをおいてかないでぇ～","0","1","あ！/\お兄ちゃ～ん\nまってよ～","0","1","2","茜 ミミ","0","0","0","1.5","1020","ふえ…？\nミミ、むずかしいこと\nよくわかんない…","1"
"ふぇぇぇぇぇん……","0","1","あの……\nふぇ……","0","1","2","栗林 くるみ","0","0","0","1.5","1021","あ…あの…えっと…\n栗…林…くるみ…です……","1"
"なんてありがとうございます！","0","1","こんな私に貴重な時間を\n割いていただき、","0","1","2","風宮 より","0","0","0","1.4","1022","風宮よりです。\nあああああ！","1"
"私こっち行きたいー\nね、早く早くー","0","1","おにいちゃんどこいくの？\nえ？","0","1","2","北条 綾音","0","0","0","1.5","1023","私、アヤネ！\nぷうきちと一緒についてってあげるね！","1"
"これて何か違う…\nあああすみません！","0","1","ふ、不束者ですが\nどうぞ末永く…って、","0","1","2","天野 すずめ","0","0","0","1.4","1025","わっ…わっ…私、\n天野すずめといいます！","1"
"離しませんわ………\n絶対に…!!","0","1","あなたは…運命の……\n伴侶……","0","1","2","倉石 恵理子","0","0","0","1.4","1027","……クスクス…私は\n…倉石恵理子……","1"
"…そうでしょ？？","0","1","その無駄を省くことができれば、\nもっと余裕のある暮らしができるっ！","0","1","2","佐々木 咲恋","0","0","0","1.4","1028","佐々木咲恋よ。\nねえ、世の中に無駄なことが\n多すぎると思わない？","1"
"あはは、\n私もまだまだだなぁ～","0","1","ぇっと…\nキミ、私のこと知らないの?!","0","1","2","桜井 望","0","0","0","1.4","1029","桜井望だよ！\nよろしくねっ","1"
"ショーグン、\nワタシと一緒に天下統一デース！","0","1","初めまして、\n私はニノン・ジュベール申すデス！","0","1","2","ニノン・ジュベール","0","0","0","1.4","1030","デケデケデンっ！","1"
"おかしいですね……","0","1","でもって私の隣にいるのが……\nえ、見えない？","0","1","2","上喜 しのぶ","0","0","0","1.4","1031","上喜しのぶです。\n手元のドクロが父です。","1"
"そう、\nオラのボケに突っ込める相方が…！","0","1","けんども\nそれには足りないモンが…","0","1","2","野戸まひる","0","0","0","1.5","1033","目指すはビッグな\nお笑い芸人だっぺ！","1"
"ちょ\nちょっと一杯飲んできます…！","0","1","ちょっと緊張しちゃって…","0","1","2","綾瀬 ゆかり","0","0","0","1.4","1034","あの…私…綾瀬ゆかりです…\nあの…ごめんなさい！","1"
"これ以上お話しすることは…\nないです！","0","1","知らない人とは話しちゃいけないので","0","1","2","氷川 鏡華","0","0","0","1.5","1036","氷川鏡華…です","1"
"私体が弱いから、\n30分に一度休憩しないと\nいけないんです。","0","1","……あ、アラーム。","0","1","2","柏崎 栞","0","0","0","1.4","1038","柏崎…栞です。","1"
"野に咲く花が、\n唯一の話相手です。","0","1","私、一人も友達がいなくて……","0","1","2","双葉 碧","0","0","0","1.4","1040","ふ、双葉碧です。","1"
"そう思っています。","0","1","私の歌声で、\n皆さんが幸せになってくれたらいいなって…","0","1","2","三角 千歌","0","0","0","1.4","1042","三角千歌です。","1"
"う、疑ってすまなかったな…","0","1","あぁ？\nお前のそいつの仲間か？","0","1","2","安芸 真琴","0","0","0","1.4","1043","安芸真琴だ。","1"
"わらわの偉大な力に\nひれ伏すがいい！\nはっはっは！","0","1","生けとし生ける全ての者よ！","0","1","2","イリヤ・オーンスタイン","0","0","0","1.4","1044","わらわこそは夜を総べる者！","1"
"ｌク、クウカに何かご用ですか!?","0","1","ぐふふふふ……はっ！","0","1","2","遠見 空花","0","0","0","1.4","1045","そこで騎士は妖精を乱暴に……","1"
"う～ん…\n猫ってホントに最高にゃ～♪","0","1","自由気ままで♪\n寝て遊んで、食べてケンカして…","0","1","2","宮坂たまき","0","0","0","1.4","1046","宮坂たまきにゃ♪\n猫はいいにゃよ？","1"
"…と思ったら\nバイトの時間だ！\nまたあとでね！","0","1","それでは早速クエストに…","0","1","2","大神 美冬","0","0","0","1.4","1048","大神美冬よ！","1"
"お姉ちゃんがぜ～んぶ\nやってあげるからね！","0","1","クエストもバトルも\n掃除も洗濯も","0","1","2","星野静流","0","0","0","1.4","1049","星野静流だよ！","1"
"学校では誰もが憧れる\nアイドル的な存在ってやつよ♪","0","1","見ての通りの\nセクシー美少女で","0","1","2","玉泉美咲","0","0","0","1.5","1050","アタシは玉泉美咲。","1"
"？？？？","0","1","？？？？","0","1","2","リマ","0","0","0","1.4","1052","？？？","1"
"そ、そこまでいうなら\nもらってやる","0","1","菓子でつろうなどと\n稚拙な策を……","0","1","2","モニカ・ヴァイスヴィント","0","0","0","1.5","1053","モニカ・ヴァイスヴィントだ。","1"
"そ、そこまでいうなら\nもらってやる","0","1","菓子でつろうなどと\n稚拙な策を……","0","1","2","ペコリーヌ","0","0","0","1.5","1058","モニカ・ヴァイスヴィントだ。","1"
"そ、そこまでいうなら\nもらってやる","0","1","菓子でつろうなどと\n稚拙な策を……","0","1","2","コッコロ","0","0","0","1.5","1059","モニカ・ヴァイスヴィントだ。","1"
"そ、そこまでいうなら\nもらってやる","0","1","菓子でつろうなどと\n稚拙な策を……","0","1","2","キャル","0","0","0","1.5","1060","モニカ・ヴァイスヴィントだ。","1"
