278c330ad00397f6621b55e769eca246570bc45bbec25801c845e35e3db696a4,bdece4fa269fbbb3ddc181bd0d8b15c45611259172adb6064363bc52bb49c60c,b153a01852d6c2b8fb234c0d5763c0811e0e9441fa491a0052411a0da3adc63d,932f0cab1aa5d9fcd43558c4f10fadca18f978219dd7875d63ab0d90dcd8dde2,7bb8e724f7887c0fe7a236f6c8445fb9627a53c87809b2efa837b77e7764f93a
"0","3030100","0","1","1"
"0","3050100","0","1","2"
"0","3040100","0","1","3"
"0","3020100","0","1","4"
"0","2040100","0","1","5"
"0","2040100","0","2","5"
"0","2020100","0","1","6"
"0","2020100","0","2","6"
"0","1030100","314","1","7"
"0","4030100","0","1","8"
"0","1050100","502","1","9"
"0","4020100","0","1","10"
"0","2030100","0","1","11"
"0","2030100","0","2","11"
"10301010","3040100","0","1","12"
"0","1020100","202","1","13"
"20201010","1040102","406","1","14"
"0","1010200","105","1","15"
"0","2010200","0","2","15"
"0","2010200","0","3","15"
"0","3050200","0","1","16"
"0","3040200","0","1","17"
"0","3020200","0","1","18"
"0","2040200","0","1","19"
"0","2040200","0","2","19"
"0","2020200","0","1","20"
"0","2020200","0","2","20"
"0","1030200","315","1","21"
"0","1020200","205","1","22"
"0","1050200","509","1","23"
"0","4020200","0","1","24"
"0","2030200","0","1","25"
"0","2030200","0","2","25"
"0","4030200","0","1","26"
"10101020","3020200","0","1","27"
"20201020","1040200","408","1","28"
"10101020","3040200","0","1","29"
"10101020","3010200","0","1","30"
"0","1010300","102","1","31"
"0","2010300","0","2","31"
"0","2010300","0","3","31"
"0","3050300","0","1","32"
"0","3040300","0","1","33"
"0","3020300","0","1","34"
"0","2040300","0","1","35"
"0","2040300","0","2","35"
"0","2020300","0","1","36"
"0","2020300","0","2","36"
"0","1030300","306","1","37"
"0","1020300","206","1","38"
"0","1050300","502","1","39"
"0","4020300","0","1","40"
"0","2030300","0","1","41"
"0","2030300","0","2","41"
"0","4030300","0","1","42"
"10101030","3020300","0","1","43"
"20201030","1040300","406","1","44"
"10101050","3010300","0","1","45"
"10101050","3040300","0","1","46"
"10101050","3030300","0","1","47"
"10101050","3010300","0","1","48"
"10101050","3020300","0","1","49"
"30102050","1010300","112","1","50"
