63b66cd97f2117dcd595d0fd1ce914ca64fb912aa9e36ef9cd2cfb64a389f27f,96b110452b8cf8e26f828cca9afd78ec9d414957c2faaca0adde8ec2707ce53a,0db834bdaf04b5585d8b45dd4e5d3559058a65aedf78f5824a4c8db80a50f2ad,7b93aeecc5549d6ebd08a168b78107ed08f22691b7f20689d365243659306cd1,e3eb7e43f3ddd5ed779b0f0847da6327e45368633be051c51f8683a871336160,b10683f08169d8eff9c2f5fedce52edcaa208f4fe9913bc67728c2b294f523bb,982836281095c6f8e59713a91be26602b86cd7c24fa346c7d54f54f53ba04a4d,e90718d40f469080f753030177af166b28d5413c5a0aaad8182e972fc7a53d60,5b90b4a755d3cead7c10d4d6d10858d827b2dd44f7488ba5ee1188e361c39e29,49ff8144d6383d89c4a05130cd129bea3fbb4cf6b13937461a74cd7031323240,1063de62012c94f8fcdfdba096c1cfdad7b825838e2f440619a99a23885dc6c9,0a6e162901296b38b66d39f76c5deea9d175515d430d902c5ac8e46110af72ea
"0","2","1010001","0","0","vo_10020900_0001","vo_10020900","0","0","1","1","0"
"0","1","1010002","1","180","0","0","0","0.818181818181818","1","2","0"
"1","4","1010003","1","0","0","0","0.818181818181818","0","1","3","0"
"0","1","1010004","2","148","0","0","0","0.634285714285714","1","4","0"
"1","4","1010005","2","0","0","0","1.03428571428571","0","1","5","0"
"0","1","1010006","2","460","0","0","0","1.33714285714286","1","6","148"
"1","4","1010007","2","0","0","0","2.13714285714286","0","1","7","0"
"0","2","1010008","0","0","vo_10020900_0002","vo_10020900","0","0","1","8","0"
"0","1","1010009","3","223","0","0","0","1.12948051948052","1","9","0"
"1","4","1010010","3","0","0","0","2.12948051948052","0","1","10","0"
"0","2","1010011","0","0","vo_10020900_0003","vo_10020900","0","0","1","11","0"
"0","1","1010012","3","343","0","0","0","0.545454545454545","1","12","223"
"1","4","1010013","3","0","0","0","1.04545454545455","0","1","13","0"
"0","1","1010014","3","700","0","0","0","1.71545454545455","1","14","343"
"1","4","1010015","3","0","0","0","2.71545454545455","0","1","15","0"
"0","2","1010016","0","0","vo_10020900_0004","vo_10020900","0","0","1","16","0"
"0","1","1010017","4","275","0","0","0","1.67857142857143","1","17","0"
"1","4","1010018","4","0","0","0","2.17857142857143","0","1","18","0"
"0","2","1010019","0","0","vo_10020900_0005","vo_10020900","0","0","1","19","0"
"0","1","1010020","4","465","0","0","0","1.28311688311688","1","20","275"
"1","4","1010021","4","0","0","0","1.98311688311688","0","1","21","0"
"0","1","1010022","4","715","0","0","0","1.2987012987013","1","22","465"
"1","4","1010023","4","0","0","0","1.9987012987013","0","1","23","0"
"0","1","1010024","5","400","0","0","0","2.07792207792208","1","24","0"
"1","4","1010025","5","0","0","0","3.07792207792208","0","1","25","0"
"0","2","1010026","0","0","vo_10020900_0006","vo_10020900","0","0","1","26","0"
"0","1","1010027","6","182","0","0","0","1.06363636363636","1","27","0"
"1","4","1010028","6","0","0","0","1.56363636363636","0","1","28","0"
"0","1","1010029","6","700","0","0","0","2.96","1","29","182"
"1","4","1010030","6","0","0","0","3.96","0","1","30","0"
"0","2","1010031","0","0","vo_10020900_0007","vo_10020900","0","0","1","31","0"
"0","1","1010032","7","85","0","0","0","0.386363636363636","1","32","0"
"1","4","1010033","7","0","0","0","0.886363636363636","0","1","33","0"
"0","1","1010034","7","750","0","0","0","3.54090909090909","1","34","85"
"1","4","1010035","7","0","0","0","4.54090909090909","0","1","35","0"
"0","2","1010036","0","0","vo_10020900_0008","vo_10020900","0","0","1","36","0"
"0","1","1010037","8","95","0","0","0","0.431818181818182","1","37","0"
"1","4","1010038","8","0","0","0","1.03181818181818","0","1","38","0"
"0","2","1010039","0","0","vo_10020900_0009","vo_10020900","0","0","1","39","0"
"0","1","1010040","8","235","0","0","0","0.709090909090909","1","40","95"
"1","4","1010041","8","0","0","0","1.30909090909091","0","1","41","0"
"0","2","1010042","0","0","vo_10020900_0010","vo_10020900","0","0","1","42","0"
"0","1","1010043","8","750","0","0","0","3.07662337662338","1","43","235"
"1","4","1010044","8","0","0","0","4.07662337662338","0","1","44","0"
"0","2","1010045","0","0","vo_10020900_0011","vo_10020900","0","0","1","45","0"
"0","1","1010046","9","170","0","0","0","1.43506493506493","1","46","0"
"1","4","1010047","9","0","0","0","2.43506493506493","0","1","47","0"
"0","2","1010048","0","0","vo_10020900_0012","vo_10020900","0","0","1","48","0"
"0","1","1010049","9","720","0","0","0","2.75","1","49","170"
"1","4","1010050","9","0","0","0","3.95","0","1","50","0"
"0","2","1010051","0","0","vo_10020900_0013","vo_10020900","0","0","1","51","0"
"0","1","1010052","10","585","0","0","0","1.67792207792208","1","52","170"
"1","4","1010053","10","0","0","0","2.27792207792208","0","1","53","0"
"0","1","1010054","10","750","0","0","0","0.9","1","54","585"
