e102af944725337031a639f613b2e55bf6bbc3e0836aefbc1dfb38859cd2c8fb,c581b12958e0c59f2cf237a43ee85b9fd296811ae1bd0d592cff0750131a0b53,5bf78e7b4559796139c02c5ed79abfd0fbefab126e4e4b6d516a9fd1119a9184
"81101","1","10101"
"81102","2","10101"
"81103","3","10101"
"81104","4","10101"
"81105","5","10101"
"81106","6","10101"
"81107","7","10101"
"81108","8","10101"
"81109","9","10101"
"81110","10","10101"
"81201","1","10102"
"81202","2","10102"
"81203","3","10102"
"81204","4","10102"
"81205","5","10102"
"81206","6","10102"
"81207","7","10102"
"81208","8","10102"
"81209","9","10102"
"81210","10","10102"
"81301","1","10103"
"81302","2","10103"
"81303","3","10103"
"81304","4","10103"
"81305","5","10103"
"81306","6","10103"
"81307","7","10103"
"81308","8","10103"
"81309","9","10103"
"81310","10","10103"
"81401","1","10104"
"81402","2","10104"
"81403","3","10104"
"81404","4","10104"
"81405","5","10104"
"81406","6","10104"
"81407","7","10104"
"81408","8","10104"
"81409","9","10104"
"81410","10","10104"
"82101","1","10201"
"82102","2","10201"
"82103","3","10201"
"82104","4","10201"
"82105","5","10201"
"82106","6","10201"
"82107","7","10201"
"82108","8","10201"
"82109","9","10201"
"82110","10","10201"
"82201","1","10202"
"82202","2","10202"
"82203","3","10202"
"82204","4","10202"
"82205","5","10202"
"82206","6","10202"
"82207","7","10202"
"82208","8","10202"
"82209","9","10202"
"82210","10","10202"
"82301","1","10203"
"82302","2","10203"
"82303","3","10203"
"82304","4","10203"
"82305","5","10203"
"82306","6","10203"
"82307","7","10203"
"82308","8","10203"
"82309","9","10203"
"82310","10","10203"
"82401","1","10204"
"82402","2","10204"
"82403","3","10204"
"82404","4","10204"
"82405","5","10204"
"82406","6","10204"
"82407","7","10204"
"82408","8","10204"
"82409","9","10204"
"82410","10","10204"
"83101","1","10301"
"83102","2","10301"
"83103","3","10301"
"83104","4","10301"
"83105","5","10301"
"83106","6","10301"
"83107","7","10301"
"83108","8","10301"
"83109","9","10301"
"83110","10","10301"
"83201","1","10302"
"83202","2","10302"
"83203","3","10302"
"83204","4","10302"
"83205","5","10302"
"83206","6","10302"
"83207","7","10302"
"83208","8","10302"
"83209","9","10302"
"83210","10","10302"
"83301","1","10303"
"83302","2","10303"
"83303","3","10303"
"83304","4","10303"
"83305","5","10303"
"83306","6","10303"
"83307","7","10303"
"83308","8","10303"
"83309","9","10303"
"83310","10","10303"
"83401","1","10304"
"83402","2","10304"
"83403","3","10304"
"83404","4","10304"
"83405","5","10304"
"83406","6","10304"
"83407","7","10304"
"83408","8","10304"
"83409","9","10304"
"83410","10","10304"
"84101","1","10401"
"84102","2","10401"
"84103","3","10401"
"84104","4","10401"
"84105","5","10401"
"84106","6","10401"
"84107","7","10401"
"84108","8","10401"
"84109","9","10401"
"84110","10","10401"
"84201","1","10402"
"84202","2","10402"
"84203","3","10402"
"84204","4","10402"
"84205","5","10402"
"84206","6","10402"
"84207","7","10402"
"84208","8","10402"
"84209","9","10402"
"84210","10","10402"
"84301","1","10403"
"84302","2","10403"
"84303","3","10403"
"84304","4","10403"
"84305","5","10403"
"84306","6","10403"
"84307","7","10403"
"84308","8","10403"
"84309","9","10403"
"84310","10","10403"
"84401","1","10404"
"84402","2","10404"
"84403","3","10404"
"84404","4","10404"
"84405","5","10404"
"84406","6","10404"
"84407","7","10404"
"84408","8","10404"
"84409","9","10404"
"84410","10","10404"
"85101","1","10501"
"85102","2","10501"
"85103","3","10501"
"85104","4","10501"
"85105","5","10501"
"85106","6","10501"
"85107","7","10501"
"85108","8","10501"
"85109","9","10501"
"85110","10","10501"
"85201","1","10502"
"85202","2","10502"
"85203","3","10502"
"85204","4","10502"
"85205","5","10502"
"85206","6","10502"
"85207","7","10502"
"85208","8","10502"
"85209","9","10502"
"85210","10","10502"
"85301","1","10503"
"85302","2","10503"
"85303","3","10503"
"85304","4","10503"
"85305","5","10503"
"85306","6","10503"
"85307","7","10503"
"85308","8","10503"
"85309","9","10503"
"85310","10","10503"
"85401","1","10504"
"85402","2","10504"
"85403","3","10504"
"85404","4","10504"
"85405","5","10504"
"85406","6","10504"
"85407","7","10504"
"85408","8","10504"
"85409","9","10504"
"85410","10","10504"
"86101","1","10601"
"86102","2","10601"
"86103","3","10601"
"86104","4","10601"
"86105","5","10601"
"86106","6","10601"
"86107","7","10601"
"86108","8","10601"
"86109","9","10601"
"86110","10","10601"
"86201","1","10602"
"86202","2","10602"
"86203","3","10602"
"86204","4","10602"
"86205","5","10602"
"86206","6","10602"
"86207","7","10602"
"86208","8","10602"
"86209","9","10602"
"86210","10","10602"
"86301","1","10603"
"86302","2","10603"
"86303","3","10603"
"86304","4","10603"
"86305","5","10603"
"86306","6","10603"
"86307","7","10603"
"86308","8","10603"
"86309","9","10603"
"86310","10","10603"
"86401","1","10604"
"86402","2","10604"
"86403","3","10604"
"86404","4","10604"
"86405","5","10604"
"86406","6","10604"
"86407","7","10604"
"86408","8","10604"
"86409","9","10604"
"86410","10","10604"
"87101","1","10701"
"87102","2","10701"
"87103","3","10701"
"87104","4","10701"
"87105","5","10701"
"87106","6","10701"
"87107","7","10701"
"87108","8","10701"
"87109","9","10701"
"87110","10","10701"
"87201","1","10702"
"87202","2","10702"
"87203","3","10702"
"87204","4","10702"
"87205","5","10702"
"87206","6","10702"
"87207","7","10702"
"87208","8","10702"
"87209","9","10702"
"87210","10","10702"
"87301","1","10703"
"87302","2","10703"
"87303","3","10703"
"87304","4","10703"
"87305","5","10703"
"87306","6","10703"
"87307","7","10703"
"87308","8","10703"
"87309","9","10703"
"87310","10","10703"
"87401","1","10704"
"87402","2","10704"
"87403","3","10704"
"87404","4","10704"
"87405","5","10704"
"87406","6","10704"
"87407","7","10704"
"87408","8","10704"
"87409","9","10704"
"87410","10","10704"
"88101","1","10801"
"88102","2","10801"
"88103","3","10801"
"88104","4","10801"
"88105","5","10801"
"88106","6","10801"
"88107","7","10801"
"88108","8","10801"
"88109","9","10801"
"88110","10","10801"
"88201","1","10802"
"88202","2","10802"
"88203","3","10802"
"88204","4","10802"
"88205","5","10802"
"88206","6","10802"
"88207","7","10802"
"88208","8","10802"
"88209","9","10802"
"88210","10","10802"
"88301","1","10803"
"88302","2","10803"
"88303","3","10803"
"88304","4","10803"
"88305","5","10803"
"88306","6","10803"
"88307","7","10803"
"88308","8","10803"
"88309","9","10803"
"88310","10","10803"
"88401","1","10804"
"88402","2","10804"
"88403","3","10804"
"88404","4","10804"
"88405","5","10804"
"88406","6","10804"
"88407","7","10804"
"88408","8","10804"
"88409","9","10804"
"88410","10","10804"
"80001","1","99999"
"80002","2","99999"
"80003","3","99999"
"80004","4","99999"
"80005","5","99999"
"80006","6","99999"
"80007","7","99999"
"80008","8","99999"
"80009","9","99999"
"80010","10","99999"
