9f112a7e06c775dfd2bd166c981d69ee3d7477088b64997cb2d394240664cafc,1faa82d34caa130b5f9cb50fa72072bfc597fcf8247961e3273135c26f1fa936,3dcb622170c1179c961c39e8283dfd038f5c201ef2b61489f7533a58a3edbbc2,24814a3b841e3c283e83fdbe93a078b9a387ef55d60c63938caaa29062ac74ae,ab771ec0d94907dbac63e20ff2645fb5f96bbd396e12ffb2423993edd80ec7e6,d8acea6b64afe8f498711b24ef5dbb66f9976c3bc3a9e7e8ed0502d027abf0cd,b666b4dd2e8b2443a8dffbcabdaf71ec1c873cbe5b02eaeffbf7046b6e1e34a8,13959d04c754f22917781ba8b400b0380a1aa1fd474ed9b0fa507a982eb98f83
"1","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","100","平凡な未鑑定トレジャー","53001","平凡な\n未鑑定トレジャー"
"2","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","1","200","貴重な未鑑定トレジャー","53002","貴重な\n未鑑定トレジャー"
"3","800","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","1","400","至高の未鑑定トレジャー","53003","至高の\n未鑑定トレジャー"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なジェムストーン","53004","平凡なジェムストーン"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なジェムストーン","53005","貴重なジェムストーン"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のジェムストーン","53006","至高のジェムストーン"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なインゴット","53007","平凡なインゴット"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なインゴット","53008","貴重なインゴット"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のインゴット","53009","至高のインゴット"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なスクロール","53010","平凡なスクロール"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なスクロール","53011","貴重なスクロール"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のスクロール","53012","至高のスクロール"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なティアラ","53013","平凡なティアラ"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なティアラ","53014","貴重なティアラ"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のティアラ","53015","至高のティアラ"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なルーン","53016","平凡なルーン"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なルーン","53017","貴重なルーン"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のルーン","53018","至高のルーン"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なクラウン","53019","平凡なクラウン"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なクラウン","53020","貴重なクラウン"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のクラウン","53021","至高のクラウン"
"1","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","0","100","平凡なアーティファクト","53022","平凡なアーティファクト"
"2","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","0","200","貴重なアーティファクト","53023","貴重なアーティファクト"
"3","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","0","400","至高のアーティファクト","53024","至高のアーティファクト"
