62a6005f2ac144f9b5c575ecf5d0b06df4f2ec0907a62cf12818cccb1898fb8c,9c3992a12cd72f30a2b7b6d1742e1972473030c68c180de6a2fcb53f45fe5347,665deb186c4680f1827084ad176d7ad011f5a8b53b6abebd23498cf3245c78f5,e029f57687c7f1bc589d17e4e08a49131d91745b140b8e1ee7a8996a89518d31,0fec6ea9f529fe77029b7e247798517f9b7b5a5eb27e908e649dac940b637b2e,ec37f53a95e20a75db0a6ca76236eb0e789fe178eb002e5bb411238d6af2dcbf
"1005","1","211","2114001","212","802100290"
"1006","1","211","2114002","212","802100290"
"1007","1","211","2114003","212","802100290"
"1008","1","211","2114004","212","802100290"
"100501","0","104","2113061","100","802100266"
"100502","0","104","2113062","100","802100266"
"100503","0","105","2113063","102","802100266"
"100504","0","106","2113064","103","802100266"
"100505","0","104","2113065","100","802100266"
"100506","0","104","2113066","100","802100266"
"100507","0","105","2113067","102","802100266"
"100508","0","106","2113068","103","802100266"
"100509","0","104","2113069","100","802100266"
"100510","0","104","2113070","100","802100266"
"100511","0","104","2113071","100","802100267"
"100512","0","104","2113072","100","802100267"
"100513","0","105","2113073","102","802100267"
"100514","0","106","2113074","103","802100267"
"100515","0","104","2113075","100","802100267"
"100516","0","104","2113076","100","802100267"
"100517","0","105","2113077","102","802100267"
"100518","0","106","2113078","103","802100267"
"100519","0","104","2113079","100","802100267"
"100520","0","104","2113080","100","802100267"
"100521","0","104","2113081","100","802100268"
"100522","0","104","2113082","100","802100268"
"100523","0","105","2113083","102","802100268"
"100524","0","106","2113084","103","802100268"
"100525","0","104","2113085","100","802100268"
"100526","1","208","2113086","112","802100268"
"100527","1","201","2113087","110","802100268"
"100528","0","104","2113088","100","802100268"
"100529","0","105","2113089","102","802100268"
"100530","0","106","2113090","103","802100268"
"100601","1","203","2113031","114","802100263"
"100602","1","202","2113032","113","802100263"
"100603","0","105","2113033","102","802100263"
"100604","0","106","2113034","103","802100263"
"100605","1","203","2113035","114","802100263"
"100606","1","202","2113036","113","802100263"
"100607","1","204","2113037","111","802100263"
"100608","1","202","2113038","113","802100263"
"100609","1","202","2113039","113","802100263"
"100610","0","106","2113040","103","802100263"
"100611","1","203","2113041","114","802100264"
"100612","1","202","2113042","113","802100264"
"100613","0","105","2113043","102","802100264"
"100614","0","106","2113044","103","802100264"
"100615","1","203","2113045","114","802100264"
"100616","1","202","2113046","113","802100264"
"100617","1","204","2113047","111","802100264"
"100618","1","202","2113048","113","802100264"
"100619","1","202","2113049","113","802100264"
"100620","0","106","2113050","103","802100264"
"100621","0","105","2113051","102","802100265"
"100622","1","203","2113052","114","802100265"
"100623","1","202","2113053","113","802100265"
"100624","1","204","2113054","111","802100265"
"100625","0","106","2113055","103","802100265"
"100626","1","208","2113056","112","802100265"
"100627","1","201","2113057","110","802100265"
"100628","1","203","2113058","114","802100265"
"100629","1","202","2113059","113","802100265"
"100630","0","106","2113060","103","802100265"
"100701","1","205","2113091","112","802100269"
"100702","1","206","2113092","112","802100269"
"100703","0","102","2113093","117","802100269"
"100704","0","105","2113094","102","802100269"
"100705","0","105","2113095","102","802100269"
"100706","1","202","2113096","113","802100269"
"100707","1","203","2113097","114","802100269"
"100708","0","102","2113098","117","802100269"
"100709","0","105","2113099","102","802100269"
"100710","1","202","2113100","113","802100269"
"100711","1","205","2115001","112","802100270"
"100712","0","102","2115002","117","802100270"
"100713","0","105","2115003","102","802100270"
"100714","0","106","2115004","103","802100270"
"100715","1","203","2115005","114","802100270"
"100716","1","202","2115006","113","802100270"
"100717","1","207","2115007","112","802100270"
"100718","0","105","2115008","102","802100270"
"100719","0","106","2115009","103","802100270"
"100720","1","202","2115010","113","802100270"
"100721","1","205","2115011","112","802100271"
"100722","1","208","2115012","112","802100271"
"100723","0","102","2115013","117","802100271"
"100724","0","105","2115014","102","802100271"
"100725","0","106","2115015","103","802100271"
"100726","1","208","2115016","112","802100271"
"100727","1","201","2115017","110","802100271"
"100728","0","102","2115018","117","802100271"
"100729","0","105","2115019","102","802100271"
"100730","0","106","2115020","103","802100271"
"100801","0","103","2113001","104","802100260"
"100802","0","104","2113002","100","802100260"
"100803","0","104","2113003","100","802100260"
"100804","0","105","2113004","102","802100260"
"100805","0","105","2113005","102","802100260"
"100806","0","104","2113006","100","802100260"
"100807","0","104","2113007","100","802100260"
"100808","0","105","2113008","102","802100260"
"100809","0","105","2113009","102","802100260"
"100810","0","107","2113010","101","802100260"
"100811","0","103","2113011","104","802100261"
"100812","0","104","2113012","100","802100261"
"100813","0","104","2113013","100","802100261"
"100814","0","105","2113014","102","802100261"
"100815","0","106","2113015","103","802100261"
"100816","0","104","2113016","100","802100261"
"100817","0","104","2113017","100","802100261"
"100818","0","105","2113018","102","802100261"
"100819","0","106","2113019","103","802100261"
"100820","0","104","2113020","100","802100261"
"100821","0","103","2113021","104","802100262"
"100822","0","104","2113022","100","802100262"
"100823","0","104","2113023","100","802100262"
"100824","0","105","2113024","102","802100262"
"100825","0","105","2113025","102","802100262"
"100826","1","208","2113026","112","802100262"
"100827","1","201","2113027","110","802100262"
"100828","0","105","2113028","102","802100262"
"100829","0","106","2113029","103","802100262"
"100830","0","103","2113030","104","802100262"
