1a4071d190bced454a2718bbed8ea26c8616f6b380780e2f440fe1cf1de00a25,7a4fca7bb4df60d70768b3be215279cc2c59528c5660cc1511f7b315a4dc9d25,148901d2edb182aa6e622c71ae2b65656a9748b3661216e0133a85064decc108,9f63713f2489047883e66801cf66e0b99103be91acbe641ad0dcda880fbcd545,201b7aeeac72b3a4f4e4d3e871bb3faf79dc612445a7638d04016f3d225c420c
"3","1","1","10201","2"
"3","2","2","10202","2"
"3","3","3","10203","2"
"10","4","4","10301","2"
"10","5","5","10302","2"
"10","6","6","10303","2"
"10","7","7","10304","2"
"20","8","8","10401","2"
"20","9","9","10402","2"
"20","10","10","10403","2"
"20","11","11","10404","2"
"20","12","12","10405","2"
"20","13","13","10406","2"
"20","14","14","10407","2"
"20","15","15","10408","2"
"20","16","16","10409","2"
"3","1","17","10701","1"
"3","2","18","10601","1"
"3","3","19","10602","1"
"3","4","20","10603","1"
"3","5","21","10604","1"
"10","6","22","11301","1"
"10","7","23","11302","1"
"10","8","24","11303","1"
"20","9","25","11401","1"
"20","10","26","11402","1"
"20","11","27","11403","1"
"20","12","28","11601","1"
"20","13","29","11602","1"
"20","14","30","11603","1"
"20","15","31","11604","1"
"20","16","32","11605","1"
"20","17","33","11606","1"
"20","18","34","11101","1"
"20","19","35","11102","1"
"20","20","36","11103","1"
"20","21","37","11701","1"
"20","22","38","11702","1"
"20","23","39","11703","1"
"3","1","40","10501","3"
"3","2","41","10502","3"
"3","3","42","10503","3"
"10","4","43","11201","3"
"10","5","44","10801","3"
"10","6","45","10802","3"
"10","7","46","10803","3"
"10","8","47","10804","3"
"20","9","48","10901","3"
"20","10","49","10902","3"
"20","11","50","10903","3"
"20","12","51","10904","3"
"20","13","52","11001","3"
"20","14","53","11002","3"
"20","15","54","11003","3"
"20","16","55","11501","3"
"20","17","56","11502","3"
"20","18","57","11503","3"
"20","19","58","11504","3"
"20","20","59","11505","3"
"20","21","60","11506","3"
