017f4f9ce1d033ec03a4656ebffd91d906b5cb36228a88563564b37a611125a0,65f1c063747c5c638a385402d5ba62b8376a3b816ffe1c138e420f6d69c67542,4a139a97983a2b4ebe0e26efcb6b23a99a853ba9461d6b51db9469ebb9f5f84a,739461ecd7df0e65a8fad39a90f9ac731176debdf0dbb058be1a1a8ce712150f,9889e30a0f8761947d51b16f0f21dab1e6a9ac1354aad13d14858ad953e30991
"1","1","0","2700","1"
"1","2","0","3600","2"
"1","3","0","5400","3"
"1","4","1","3600","1"
"1","5","1","5400","2"
"1","6","1","7200","3"
"2","7","0","1800","1"
"2","8","0","2700","2"
"2","9","0","3600","3"
"2","10","1","2700","1"
"2","11","1","4050","2"
"2","12","1","5400","3"
"3","13","0","1800","1"
"3","14","0","2700","2"
"3","15","0","3600","3"
"3","16","1","2700","1"
"3","17","1","4050","2"
"3","18","1","5400","3"
"4","19","0","1800","1"
"4","20","0","2700","2"
"4","21","0","3600","3"
"4","22","1","2700","1"
"4","23","1","4050","2"
"4","24","1","5400","3"
