6094c0a7f6f9b121814b4ef87fa86a31a79aa9089be2b3b26370f1275cfebaa6,230fb5be1aba653566a872be28b982c5b9ad02e11a045caac55fdda61bbce012,f1ce5466d9d1ec0428a68d2d3e23d48714af45616c0979514e886063a8b244e1,f2328e8661073e437e1a38875b4ec338f41f089e6999d19b7e9e2ba4fb31ac49,5b43810b38e13f39b2c2e95ff997ee953ce9976f812df887dd358b87e40790f7,43be03be3df5073cb78b8f157990fcbca963f1a97460e65662329b3213c594c0,a3c23fc6c50c32d5c09c3891c6ad8303a5872a30b7c5c210d0b1f0a918c1f149,a67ea37b5b47d2248532106b3ba3777c02cdbb3e387042830f51633961829223,f47c9a95098c0fcb8fee86076e94c2faf446ecfad96c4dc4775da94685831772,5f974e27f96500043a5b59478230097cbf36ac95005c729914dc62da2bd77ffd,2a9a2090b47c705208f81a3c75083c767ff2d78aa47f300d11bfaa6e2a84a29f,c55616b18f2bd5f98cf9ed723cb4373309fb1522b3ab99255c0f538addaa6337
"0","1","12","0","1","0","0","3","4","0","0","1120001"
"vo_nyx","0","12","0","2","0","0","0","2","vo_nyx_0101","0","1120002"
"0","0","12","0","3","2.698","1","0","1","0","280","1120003"
"0","3.334","12","0","4","0","0","1","4","0","0","1120004"
"vo_nyx","0","12","0","5","0","0","0","2","vo_nyx_0102","0","1120005"
"0","0","12","280","6","1.055","1","0","1","0","382","1120006"
"0","1.055","12","0","7","0","0","1","4","0","0","1120007"
"0","0","12","0","8","0.732","2","0","1","0","88","1120008"
"0","1.05","12","0","9","0","0","1","4","0","0","1120009"
"0","0","12","88","10","2.42","2","0","1","0","365","1120010"
"0","3.5","12","0","11","0","0","1","4","0","0","1120011"
"0","2","12","0","12","0","0","3","4","0","0","1120012"
"vo_nyx","0","12","0","13","0","0","0","2","vo_nyx_0103","0","1120013"
"0","0","12","0","14","0.815","3","0","1","0","82","1120014"
"0","1.157","12","0","15","0","0","1","4","0","0","1120015"
"0","0","12","82","16","2.763","3","0","1","0","372","1120016"
"0","2.763","12","0","17","0","0","1","4","0","0","1120017"
"0","0","12","0","18","2.388","4","0","1","0","250","1120018"
"0","3.338","12","0","19","0","0","1","4","0","0","1120019"
"vo_nyx","0","12","0","20","0","0","0","2","vo_nyx_0104","0","1120020"
"0","0","12","0","21","0.778","5","0","1","0","71","1120021"
"0","1.214","12","0","22","0","0","1","4","0","0","1120022"
"0","0","12","71","23","3.167","5","0","1","0","375","1120023"
"0","3.61","12","0","24","0","0","1","4","0","0","1120024"
"0","0","12","0","25","2.618","6","0","1","0","256","1120025"
"0","3.198","12","0","26","0","0","1","4","0","0","1120026"
"vo_nyx","0","12","0","27","0","0","0","2","vo_nyx_0105","0","1120027"
"0","0","12","256","28","1.4","6","0","1","0","392","1120028"
"0","1.448","12","0","29","0","0","1","4","0","0","1120029"
"0","0","12","0","30","2.927","7","0","1","0","296","1120030"
"0","3.811","12","0","31","0","0","1","4","0","0","1120031"
