79d9f2833bba7d0912b09fe23ab69b636ed33866d6ec9e39715bc27dc37518d5,8ab05ed25b0dd9ad25e8553f33023f2c89209821299fdf085ab47f7928feda65,9150ba09ff78d63a13282497d936911cb673c169249d9a3bb106b6e02f25012c
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
