10c1d0ce65a25f99349dd81ec09cb691c3ba283923007975333737e79bb3dcd3,f3aed420ea07c1922b8d4334690d6021a0e867006f3152a7a320811350fa2647,3647b01d1a0685b710ffe60a435b8fbd7307ab4bc24ac5bc6fdaacfdcf172625,3f14e55ddfb09eea28ff631146a27bbe9a189700fdf2fac0d22169b3c99103db,5fbb2c537b125e30ecd71f3f7d7cecdbf25d65e139d414fc43dc15a7c9ccacf3,2dfab547a52d890a3c4b6f346db49188272af395cfa8a8faefc566f67d32b173,2a39679cc2d45ffb24a2f667d613f885e11d85aea0fe9f588ad6014276c0bc0e,eba9e8aaf2b4a13c74659da871c79391e4601ab60d39bee21f0b298ac242d244,e7b7bd146633065e980ed8356e128ec05e8472e1cb2ad4047150f0afb98cfe9d,d82487b295d9b4fa78b4bb0fc14662de233cec4380316511a1ea48a1f4c8a394,5b1e04d4415d682dc36221e88e2ed220875eae3971dd8f95f61414ce7d308250,8c46ff480b79c3d90a39fe927d952a0759120f445f7e6e61fe72b4af945a7aa8,5ea609c73d9b586fdfd9b9656e4892a52373c00f80bcbfdaea8872e5fedfa5f6,eb841044640cb345c13f8da6d11330be6ad8611fb8c707b1c0d4876c99f8ad32,bbec085e6ff5b9e1bd7959def0a6039b195c0570de18d9bffad85f67984320f4,5de6404fb703a5faa3c2abc28227f119df7cc4ef6666443adac352fd70f70e1b,512dc802b3c6bcce4680d729cfcafe51238cae6a51a825b48ea889ce2e40cc5f,fc09dd0f94ef8e445fc77e5f5c9d1a3fb32f9debc93ac5c1fb29f2145d417815
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","1","0","10000","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","2","0","10000","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","3","0","10000","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","4","0","10000","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","5","0","10001","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","6","0","10001","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","7","0","10001","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","8","0","10001","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","9","0","10002","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","10","0","10002","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","11","0","10002","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","12","0","10002","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","13","0","10003","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","14","0","10003","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","15","0","10003","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","16","0","10003","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","17","0","10004","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","18","0","10004","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","19","0","10004","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","20","0","10004","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","21","0","10005","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","22","0","10005","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","23","0","10005","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","24","0","10005","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","25","0","10006","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","26","0","10006","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","27","0","10006","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","28","0","10006","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","29","0","10007","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","30","0","10007","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","31","0","10007","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","32","0","10007","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","33","0","10008","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","34","0","10008","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","35","0","10008","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","36","0","10008","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","37","0","10009","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","38","0","10009","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","39","0","10009","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","40","0","10009","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","41","0","10010","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","42","0","10010","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","43","0","10010","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","44","0","10010","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","45","0","10011","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","46","0","10011","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","47","0","10011","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","48","0","10011","0"
"1","0","0","0","0","91002","0","500","0","8","0","0","0","0","49","0","10012","0"
"2","0","0","0","0","91002","0","400","0","8","0","0","0","0","50","0","10012","0"
"3","0","0","0","0","91002","0","300","0","8","0","0","0","0","51","0","10012","0"
"4","0","0","0","0","91002","0","250","0","8","0","0","0","0","52","0","10012","0"
