95e204a1052e001274d2f0321b41cec41b5f584081e0904200a2834777bbb4bb,4b18cb9f17760619d3fc56c7a7217ad18453901e446ab5057ca0c5727bd44d83,341bf2375cbc0bf5e44874b198319844f5cc4ff139352a5cb6027389c0881a44,a068f01fbc0aeb5c831b6c7487f312e443c4fb95d5f393edf84723ca9ad4579f,f7f8728276f91bbd040befab7fdb9f01f6f4a3d39e6338b21def169e9b6d91cb,81b1a6054e584969950e7fef184074b8e9ae414875c4b36ebed720b76dfaf553,99ce29dc86744d0f01931c76b63ffa0168ec6de3cdc2d96959cfd81179ef10b0,b2e83e07d67195644f1336f5b48bedf64118eaf4644a47ee6a3c115a21a890df,7ba757bf3c907bb3c733f7985f619a166b67f3d0c907d1c2ce1fd4e2a1a8cde3,9d3e4cc68eb6ea54556d84ce31a00a7f37ea942fcae39763663ed597aa8df434
"1002","1100001","10590","1","1","1001","1","32","1003","575"
"1005","1100002","10590","1","1","1004","1","32","1006","575"
"1008","1100003","10590","1","1","1007","2","32","1009","575"
"1011","1100004","11820","1","1","1010","1","33","1012","500"
"1014","1100005","11820","1","1","1013","1","33","1015","500"
"1017","1100006","11820","1","1","1016","2","33","1018","500"
"1020","1100007","11820","1","1","1019","4","33","1021","500"
"1023","1100008","13050","1","1","1022","1","35","1024","375"
"1026","1100009","13050","1","1","1025","1","35","1027","375"
"1029","1100010","13050","1","1","1028","6","35","1030","375"
"2002","1200001","10590","2","1","2001","1","34","2003","575"
"2005","1200002","10590","2","1","2004","1","34","2006","575"
"2008","1200003","10590","2","1","2007","1","34","2009","575"
"2011","1200004","10590","2","1","2010","1","34","2012","575"
"2014","1200005","10590","2","1","2013","2","34","2015","575"
"2017","1200006","10590","2","1","2016","4","34","2018","575"
"2020","1200007","10590","2","1","2019","6","34","2021","575"
"2023","1200008","11820","2","1","2022","1","35","2024","500"
"2026","1200009","11820","2","1","2025","1","35","2027","500"
"2029","1200010","11820","2","1","2028","1","35","2030","500"
"2032","1200011","11820","2","1","2031","1","35","2033","500"
"2035","1200012","11820","2","1","2034","4","35","2036","500"
"2038","1200013","11820","2","1","2037","6","35","2039","500"
"2041","1200014","13050","2","1","2040","1","38","2042","375"
"2044","1200015","13050","2","1","2043","1","38","2045","375"
"2047","1200016","13050","2","1","2046","1","38","2048","375"
"2050","1200017","13050","2","1","2049","1","38","2051","375"
