4fcfb001b46066121b345a96c1a678445d55349efe3fcd7670502ab9324c37bf,09548eb61028b9e35487b97c16754d76f242e90a8553d94c46cc51c10ed43ab6,b9ac0aae07e3f548f0d729a36a28159602feaae2d30958d2e37a32eb8dbf866c,5dd978be46ca000683836a2918d9b936f0c5cac1e2b164cfec7fe56df9abc241,26c54eb48968ed5b24b84a0b1cd6ca5980ec54ccab5f10880d99907456eb350a,3688fb427a3c8122395ff028dc35467bc08163f782de1a7286c773d6556c22bf,0133f90604071b1fab28757278780760a08605ced365dffa985992f7124ea876,2d66df4a0b2f564ba8b58e628582fe15c0cafa7fa35c384ebc708c8250b00d37,0406c098ed648802f340a26756e2d9420e69dbf5a445f551c399c07c14816dd3,32092d8017f3154fa84a8444481cd0fb84b747c1bfc068a6435d37227f1ca7f1,17c6a85f74084ad43f7b4d3daada59453f9e152fcdeff95d1fa959d43f8a15ed,cb4d9d519e5c910a6ad86c917d5e0920e8af1930829da6e5fd3e1b2f2816920b,3252564b0e1d386804b4cb941fcbf51848230e5607315041aac77ca22ac6b122,18d2f86401a05d0c7e70087d273841f2477fa8b04d1d541be4d98a5a7c40b8cb,5f25041e2013a1779b92e3c9ec4f3ce437b54e10983bc0961cdd5a0c77bc8412,778fa16b60c81f31963ff851d244abc376fee372bf258830ca69ff2902a808e3
"1","501","215","2","401","70","-110","3","1","1008201","101","980","301","455","201","2"
"2","502","215","2","402","70","-110","3","1","1008202","102","515","302","230","202","2"
"3","503","215","1","403","70","-110","3","1","1008203","103","515","303","230","203","2"
"4","504","215","1","404","70","-110","3","1","1008204","104","515","304","230","204","2"
"5","505","233","2","405","78","-110","3","1","1008205","105","787","305","355","205","2"
"6","506","233","3","406","78","-110","3","1","1008206","106","787","306","355","206","2"
"7","507","233","3","407","88","-110","3","1","1008207","107","777","307","345","207","2"
"8","508","233","1","408","88","-110","3","1","1008208","108","777","308","345","208","2"
"9","509","233","1","409","88","-110","3","1","1008209","109","777","309","345","209","2"
"10","510","233","3","410","88","-110","3","1","1008210","110","810","310","355","210","2"
"11","511","233","2","411","88","-110","3","1","1008211","111","777","311","345","211","2"
"12","512","215","2","412","70","-110","3","1","1008212","112","515","312","230","212","2"
"13","513","233","1","413","78","-110","3","1","1008213","113","810","313","355","213","2"
"14","514","215","1","414","70","-110","3","1","1008214","114","515","314","230","214","2"
"15","515","215","3","415","70","-110","3","1","1008215","115","515","315","230","215","2"
"16","516","215","2","416","70","-110","3","1","1008216","116","655","316","275","216","2"
"17","517","215","3","417","70","-110","3","1","1008217","117","515","317","230","217","2"
"18","518","233","3","418","88","-110","3","1","1008218","118","777","318","345","218","2"
