571930d7ab8c52a6d0e9e231d13674c6e914185a2206cb81ac89d2ed7a8014da,2acabbb56f5e940b666e9a836d6ffaccecb1d65285d441ea1c7023f3d8ef1fc3,776ee99a010143841d266e818e4b5a291aee82813b5a13bdfcd7a28c05d4d7dc,bb7c2ac606b8ad0d2335dc978fb93744c5ee248840d28912229227289b73e387,b4127d48aadd57bbc9a15d8b3f053deb5d686c8db91a13d78ea98d87b579cb74,db1bd3a2755dc14962ac63cc00b86c7d4da33a7106ba7fda77b1bf89b408f353,61a64b110579495657c25de14ccc00e4351115493f15fe8c9830c4153de0d8e3,2d5e4f51fc69c1baa563aa7436948cd5c5b287997ac338dfc23f569521182245,64f9ff4f403ecb23d70f60c760c60b4823175a28ebf378e5ed10c61004a0e754,84f18a7ba62f616bf46360bd540f993911eea176c224c86887ceb764a791ccb0,f0691324f5ed5cfb6e631a8c0b38eb339729fe1573beb80ff2bd5e5cfc0f0de0,431caf8254fd36a6c74bdaae21af11e6ae577bd49ee82d42423ac97db93c37c5
"1","1","0","0","0","4","0","3","1","0","0","1010001"
"2","1","0","0","0","2","vo_minigame_1005_nikki01_000","0","0","0","vo_minigame_1005","1010002"
"3","1","0","202","1","1","0","0","0","1.418","0","1010003"
"4","1","0","0","0","4","0","1","1.858","0","0","1010004"
"5","1","0","316","2","1","0","0","0","2.536","0","1010005"
"6","1","0","0","0","4","0","1","3.484","0","0","1010006"
"7","1","0","0","0","2","vo_minigame_1005_nikki01_001","0","0","0","vo_minigame_1005","1010007"
"8","1","0","121","3","1","0","0","0","1.131","0","1010008"
"9","1","0","0","0","4","0","1","1.407","0","0","1010009"
"10","1","121","276","3","1","0","0","0","1.043","0","1010010"
"11","1","0","0","0","4","0","1","1.719","0","0","1010011"
"12","1","276","389","3","1","0","0","0","0.69","0","1010012"
"13","1","0","0","0","4","0","1","0.69","0","0","1010013"
"14","1","0","224","4","1","0","0","0","1.694","0","1010014"
"15","1","0","0","0","4","0","1","2.204","0","0","1010015"
"16","1","224","384","4","1","0","0","0","1.298","0","1010016"
"17","1","0","0","0","4","0","1","1.298","0","0","1010017"
"18","1","0","131","5","1","0","0","0","1.118","0","1010018"
"19","1","0","0","0","4","0","1","1.199","0","0","1010019"
"20","1","131","244","5","1","0","0","0","0.958","0","1010020"
"21","1","0","0","0","4","0","1","1.269","0","0","1010021"
"22","1","244","394","5","1","0","0","0","1.373","0","1010022"
"23","1","0","0","0","4","0","1","1.373","0","0","1010023"
"24","1","0","25","6","1","0","0","0","0.193","0","1010024"
"25","1","0","0","0","4","0","1","0.552","0","0","1010025"
"26","1","25","368","6","1","0","0","0","2.64","0","1010026"
"27","1","0","0","0","4","0","1","3.195","0","0","1010027"
"28","1","0","65","7","1","0","0","0","0.599","0","1010028"
"29","1","0","0","0","4","0","1","0.929","0","0","1010029"
"30","1","65","252","7","1","0","0","0","1.302","0","1010030"
"31","1","0","0","0","4","0","1","2.395","0","0","1010031"
"32","1","0","0","0","2","vo_minigame_1005_nikki01_002","0","0","0","vo_minigame_1005","1010032"
"33","1","0","271","8","1","0","0","0","2.09","0","1010033"
"34","1","0","0","0","4","0","1","2.512","0","0","1010034"
"35","1","271","400","8","1","0","0","0","0.868","0","1010035"
"36","1","0","0","0","4","0","1","0.907","0","0","1010036"
"37","1","0","315","9","1","0","0","0","2.214","0","1010037"
"38","1","0","0","0","4","0","1","2.562","0","0","1010038"
"39","1","0","242","10","1","0","0","0","1.65","0","1010039"
"40","1","0","0","0","4","0","1","2.654","0","0","1010040"
"41","1","0","0","0","2","vo_minigame_1005_nikki01_003","0","0","0","vo_minigame_1005","1010041"
"42","1","242","345","10","1","0","0","0","0.685","0","1010042"
"43","1","0","0","0","4","0","1","1.036","0","0","1010043"
"44","1","345","397","10","1","0","0","0","0.378","0","1010044"
"45","1","0","0","0","4","0","1","0.378","0","0","1010045"
"46","1","0","377","11","1","0","0","0","2.438","0","1010046"
"47","1","0","0","0","4","0","1","3.395","0","0","1010047"
"48","1","0","0","0","2","vo_minigame_1005_nikki01_004","0","0","0","vo_minigame_1005","1010048"
"49","1","0","83","12","1","0","0","0","0.642","0","1010049"
"50","1","0","0","0","4","0","1","1.061","0","0","1010050"
"51","1","83","159","12","1","0","0","0","0.539","0","1010051"
"52","1","0","0","0","4","0","1","0.877","0","0","1010052"
"53","1","159","316","12","1","0","0","0","1.135","0","1010053"
"54","1","0","0","0","4","0","1","2.635","0","0","1010054"
"1","2","0","0","0","4","0","3","1","0","0","1020001"
"2","2","0","0","0","2","vo_minigame_1005_nikki02_000","0","0","0","vo_minigame_1005","1020002"
"3","2","0","345","1","1","0","0","0","2.91","0","1020003"
"4","2","0","0","0","4","0","1","3.814","0","0","1020004"
"5","2","0","0","0","2","vo_minigame_1005_nikki02_001","0","0","0","vo_minigame_1005","1020005"
"6","2","0","239","2","1","0","0","0","1.67","0","1020006"
"7","2","0","0","0","4","0","1","2.19","0","0","1020007"
"8","2","0","314","3","1","0","0","0","2.455","0","1020008"
"9","2","0","0","0","4","0","1","3.527","0","0","1020009"
"10","2","0","0","0","2","vo_minigame_1005_nikki02_002","0","0","0","vo_minigame_1005","1020010"
"11","2","0","70","4","1","0","0","0","0.454","0","1020011"
"12","2","0","0","0","4","0","1","0.874","0","0","1020012"
"13","2","70","392","4","1","0","0","0","2.154","0","1020013"
"14","2","0","0","0","4","0","1","3.373","0","0","1020014"
"15","2","0","0","0","2","vo_minigame_1005_nikki02_003","0","0","0","vo_minigame_1005","1020015"
"16","2","0","125","5","1","0","0","0","0.895","0","1020016"
