68f60c32ac140baa47273d87ad7e6b5f7b6356124b10433b4ca00757f73a4717,3d66eddc1928078169027e92155349b6d1a466f40784c840a80b4dedc46c4a97
"16","130112"
"19","130132"
"4","130162"
"1","130252"
"9","130332"
"15","130492"
"10","130582"
"29","130592"
"5","130602"
"1","130772"
"2","130792"
"3","130802"
"6","130812"
"7","130822"
"8","130832"
"11","130842"
"12","130852"
"13","130862"
"14","130902"
"15","130912"
"17","130952"
"18","130962"
"4","131002"
"21","131012"
"22","131032"
"23","131042"
"24","131052"
"25","131062"
"20","131072"
"26","131112"
"27","131122"
"28","131132"
"30","131222"
"31","131232"
