287e9daf30807ce9a93d79c182382376c45a8f90cae2e751df89ea32b1e8ecc3,3cb7a2493c8d30f991f502dec415d27820c10b020cce49ab63266ec3c2f52884,cee9fd2f57fd5cfc6133e028f32afa3f6bcc1b87ef50a0c9827fedbb6236de91,4a7c4e1017b92ee66f15bab87bda92ce29612e8271b22f0e001bca77aee0cb5c,75d7d9853c7c72a9b92a33e5ce8318daaf87a791ab54d4a347fd660447f55946
"1","1","1","2700","0"
"2","1","2","3600","0"
"3","1","3","5400","0"
"4","1","1","3600","1"
"5","1","2","5400","1"
"6","1","3","7200","1"
"7","2","1","1800","0"
"8","2","2","2700","0"
"9","2","3","3600","0"
"10","2","1","2700","1"
"11","2","2","4050","1"
"12","2","3","5400","1"
"13","3","1","1800","0"
"14","3","2","2700","0"
"15","3","3","3600","0"
"16","3","1","2700","1"
"17","3","2","4050","1"
"18","3","3","5400","1"
"19","4","1","1800","0"
"20","4","2","2700","0"
"21","4","3","3600","0"
"22","4","1","2700","1"
"23","4","2","4050","1"
"24","4","3","5400","1"
