e113b216afd56c6b101b5e5bb8e541213e8c7c107cb23ea7c4b8bbc1d2d903e7,9b42eae86204154174b0b9f09afde20bff92221a9397270552ebf46df5d25ed4,c659efc3a22b40bbd28616962fbd68c113dced96781547c2e8588fcbd50fd6da,fd4acbfec313267946f77987209fe2c0fc5397e7156f87fe7af4b54748f903cd,8822f1c02c10fe8086f96b2548648b1edb0e583e9aecc1150b2e05e55e09316a,726e8e0bc7860e5afc9011a75dab8fdbc04420a41854bd6e83e3e669cec126b8,55dd8fe0ff1b5f8a31f1925109bcbc3e7de9f489b6db77991db58c6235f8ab3c,3441420e4110f95ece955a86f01beee9dad6401915954666efec086fa884d81c,b804c605c2d0e7c68849c5fa084c2112942b387c1cd4ad3bb142a63f782f7f6c,5b19178b0296b35ff6494698a39fcc859c22277d008172021bc8ad36a12e1f2b
"101","220","25021","2","0","0","0","111","0","500000"
"102","220","25021","2","0","0","0","121","0","500000"
"103","220","25021","2","0","0","0","131","0","500000"
"104","220","25021","2","0","0","0","141","0","500000"
"105","220","25021","2","0","0","0","151","0","500000"
"201","220","25021","2","0","0","0","211","0","500000"
"202","220","25021","2","0","0","0","221","0","500000"
"203","220","25021","2","0","0","0","231","0","500000"
"204","220","25021","2","0","0","0","241","0","500000"
"205","220","25021","2","0","0","0","251","0","500000"
"301","220","25021","2","0","0","0","311","0","500000"
"302","220","25021","2","0","0","0","321","0","500000"
"303","220","25021","2","0","0","0","331","0","500000"
"304","220","25021","2","0","0","0","341","0","500000"
"305","220","25021","2","0","0","0","351","0","500000"
"401","220","25021","2","0","0","0","411","0","500000"
"402","220","25021","2","0","0","0","421","0","500000"
"403","220","25021","2","0","0","0","431","0","500000"
"404","220","25021","2","0","0","0","441","0","500000"
"405","220","25021","2","0","0","0","451","0","500000"
"501","220","25021","2","0","0","0","511","0","500000"
"502","220","25021","2","0","0","0","521","0","500000"
"503","220","25021","2","0","0","0","531","0","500000"
"504","220","25021","2","0","0","0","541","0","500000"
"505","220","25021","2","0","0","0","551","0","500000"
"601","220","25021","2","0","0","0","611","0","500000"
"602","220","25021","2","0","0","0","621","0","500000"
"603","220","25021","2","0","0","0","631","0","500000"
"604","220","25021","2","0","0","0","641","0","500000"
"605","220","25021","2","0","0","0","651","0","500000"
"701","220","25021","2","0","0","0","711","0","500000"
"702","220","25021","2","0","0","0","721","0","500000"
"703","220","25021","2","0","0","0","731","0","500000"
"704","220","25021","2","0","0","0","741","0","500000"
"705","220","25021","2","0","0","0","751","0","500000"
"801","1100","25021","2","0","0","0","811","0","500000"
"901","220","25021","2","0","0","0","911","0","500000"
"902","220","25021","2","0","0","0","921","0","500000"
"903","220","25021","2","0","0","0","931","0","500000"
"904","220","25021","2","0","0","0","941","0","500000"
"905","220","25021","2","0","0","0","951","0","500000"
"1001","1100","25021","2","0","0","0","1011","0","500000"
"1101","220","25021","2","0","0","0","1111","0","500000"
"1102","220","25021","2","0","0","0","1121","0","500000"
"1103","220","25021","2","0","0","0","1131","0","500000"
"1104","220","25021","2","0","0","0","1141","0","500000"
"1105","220","25021","2","0","0","0","1151","0","500000"
"1201","220","25021","2","0","0","0","1211","0","500000"
"1202","220","25021","2","0","0","0","1221","0","500000"
"1203","220","25021","2","0","0","0","1231","0","500000"
"1204","220","25021","2","0","0","0","1241","0","500000"
"1205","220","25021","2","0","0","0","1251","0","500000"
"1301","220","25021","2","0","0","0","1311","0","500000"
"1302","220","25021","2","0","0","0","1321","0","500000"
