9fe84ef0944b8cd0a861246ca924b045b05acef875829c907f37031831e29cf9,aceb00a786190c8ed4780b39281108452363f79531f6b9fef358af46d9adb359,6ef0f886da15da0607a802ec10f9fbccf1546038153a783c6b52d56b9c06b53b,c5088f6140ff8a39c308c0c685cd1ce0d10b4b374d943fe90ec16e298e6d6522,0217942d699b044c4e236607865ba9563c21edfc9de38190eefced09b0ef0695
"1","1009","５文字の空欄が空けられたクイズに答えるクイズゲームでございます。\n５人チームで協力して、おひとり１文字ずつ答えましょう。\nクイズのジャンルには、さまざまなものがございますよ。","1","100901"
"2","1009","楽しみ方に合わせた、２つのプレイモードがございます。\nご自身の実力に挑戦されたい場合はＣＰＵと遊ぶソロモードを、\nお仲間と協力して遊ばれる場合はマルチモードを選んでくださいまし。","1","100902"
"3","1009","ランダムで、ヒントが明かされることがございます。\nさらにヒントが欲しい場合は、「ヒントボタン」を使いましょう。\n回数には限りがあるようですので、無駄遣いは『めっ』でございます。","1","100903"
"4","1009","出題されたクイズは、「アーカイブ」機能で振り返ることができます。\nアーカイブを埋めていくと、限定称号などの報酬がいただけますので、\nしっかり復習をしながら、どんどんクイズをプレイいたしましょう。","1","100904"
"5","1012","あたしに勉強を教えてほしい？　……しょうがないわね、クイズ形式で\n楽しく学力アップを目指すわよ！　あたしかスズナを選んで勉強会を\n始めなさい。スズナと挑むなら、あんたがちゃんと教えてあげるのよ？","1","100905"
"6","1012","問題は３つの出題形式からランダムで選ばれるわ。\n「四択問題」と「一問多答」では回数限定でヒントが使えるわよ！\nどのタイミングでヒントを使うかが成績を伸ばすカギになりそうね。","1","100906"
"7","1012","一度出題された問題は「アーカイブ」に記録されるらしいわ！　復習も\nこれでバッチリできるわね。アーカイブの中身を埋めると称号がもらえる\nみたいだから、張り切ってコンプリートを目指すわよ！","1","100907"
"8","1012","条件を満たすと解放される「やり込みモード」では、制限時間内にどれだ\nけたくさんの問題に正解できるか挑戦することができるわ！\n成長したあんたの実力を見せるチャンスね！頑張りなさい！","2","100908"
"9","1014","賞金獲得目指して『戦車バトル大会』とやらに乗り込むよ！\n最高のマシンを組み上げて他の連中を蹴散らしてやろうじゃないか。","1","101401"
"10","1014","マシン同士の戦いは全て自動で行われるみたいだね。\n……じゃあアタシらが乗り込む意味がない？　はん、何言ってんだい。\n搭乗者の持つスキルが勝負を左右するってこと、肝に銘じておくんだよ。","1","101402"
"11","1014","勝負が長引くと、左右から迫り来る壁でマシンがお陀仏になっちまうよ。\nそれから、画面の外にマシンが吹っ飛ばされても負けっつうルールさ。\nこのスリル、なかなか面白いじゃないか。","1","101403"
"12","1014","『クエスト』モードでは全50ステージのバトルに挑めるって噂だよ。\nへぇ……各世界の姫さんたちとも戦えるのかい。リベンジのついでに、\nマシンに使えそうなパーツでも巻き上げてやろうかねぇ。","2","101404"
"13","1014","え～なに～？　ザコお兄さん、マシンのパーツが欲しいんだ～？\nそ・れ・な・ら～、必死におねだりできたら考えたげちゃおっかな～♡\nジョジに頭下げてモノを恵んでもらうとか～、ダッサダサだけど～ｗ","3","101405"
"14","1014","ゆっとくけど～、いくらプライドのないザコお兄さんでも無限に媚び媚び\nってのはダ・メ♡　ちゃ～んとぼくの気が向くまでハウスしててよね♪\nあ、でもいらないパーツとか分解させてくれたら気が向いちゃうかも♡","3","101406"
"15","1014","ここでは～、持ってるパーツを組み合わせてマシンをカスタムできるって\nよ～？　ってことで、ザコお兄さんなりのザコザコ号を作ってみれば～？\nせーぜーカッコいいザコザコ号になるよーに、がんばれ♡　がんばれ♡","4","101407"
"16","1014","マシンってのは、ベースのボディに他のパーツを装着して完成するワケ。\nパーツが付けられる場所はボディごとに違うから、まずはそれぞれの\nボディに設定された装着可能位置を確認するといーんじゃなーい？","4","101408"
"17","1014","あ、そ～そ～。ボディには装着できるパーツのコスト上限があって～、\nそれを超えるようなウェポンやガジェットは付けらんないからね～？\nってザコお兄さんに計算なんてムリか～♡　ぼくが手伝ったげよっか？","4","101409"
"18","1014","マシンには～、リーダー１人とメンバー２人、合計３人まで乗せられるん\nだって。誰が乗るかによってマシンの力も変わるから、ちゃーんと\n選んだ方がいいっぽいよ～？　お兄さんは、ぼくを選んでくれるよね～？","4","101410"
"19","1014","『ライバルバトル』では、いろんな方のマシンに勝負を挑むことできる\nみたいです。たくさん勝ってポイントを集めると、ミッションから報酬を\nもらえるので、頑張らなきゃ……お夕飯のおかずのためにも……！","5","101411"
"20","1014","『仲間とバトル』では、フレンドやクランメンバーのみなさんと\n対戦できるそうです。お、お手柔らかにお願いしますね……\n……ってぇ～！？　フブキちゃん、わたしのこと狙わないで～っ！？","6","101412"
