c36cd684a193aa534605490f7c793f5a0e8252f9b68d77d4ae2616d44f7f9320,1a9ef7dfde6bb43c4cf3b1e02d6a5b4aabd96c5b5331192f0b15acccecac255f,8bfad275fd5ef0501f9e0994143dfc7186f965f0072c905f49938a5668d6b49d,ceec08576d6d55db68abc724707e2617fea36f6b09ef3da993518d08fe914b8f
"22","1","1","53001"
"21","500","2","99007"
"21","1","3","99008"
"21","800","4","99007"
"21","2000","5","99007"
"21","1000","6","99007"
"22","2","7","53001"
"21","2","8","99008"
"21","3","9","99008"
"22","1","10","53002"
"22","3","11","53001"
