a45ae91b8520177dcceb71bf8cafe0a5c9ea4390c01ed41ef9c16723d20d5191,bec53197bf7530dea535f2390ccf98c19801aee3215528a2214ff7d95b6ec011,727a758c1365ada5ad5ea2ae1670b0ad732cb907490ee12c41c624696b3c5630,7e502e1d59b93de5a608a5492a8ae372785a46610e813b91626c535d56bf4dc7,ee85b4c5c80f2cfb01ce6ecd53a3f9d566029e8f53994b798846c5bf7721c212,1335d8ec46042824fbd64956346183a3eaca4e80022d5a972c2a18f3e5180a89,a0f5aa5f8cbdd18abdc667d586eb10f2cc0d12b4be15ed14c8615a25fd240503,3a01f0d934ec698c93593e2e232850dbfd244b9c577872573e201b4031d0cde8,53a8d61be7e9d77749b9a696ed66375153c945dfd04eb4092500375910d49d5c,c7eed08e7330a21c4e288434b9def1640e71053589c0dce6d1c7cea94bbde251,3f72f0d0fe247525831765edc5cf98711eaadc32de702cc1fc51db37c44be62e
"1","100","1","0","1","-200","1.7","1001","-220","psy_miyako_idle","119931"
"1","100","5","1","1","1000","1.7","1002","-220","psy_idle_normal","1"
"1","105","5","0","1","-50","1.7","1003","-220","psy_fairy_idle","2"
"1","0","31","","1","0","1","1004","1","","11"
"1","1","3","","1","","0.2","1005","","","psy_item00_run"
"1","-220","2","","1","2.5","","1006","0","","285"
"2.5","","93","","1","","","1007","","",""
"1","1","3","","1","","0.2","1008","","","psy_item00_idle"
"0.5","","93","","1","","","1009","","",""
"119931","1","3","","1","","0.2","1010","","","psy_miyako_talk1"
"vo_minigame_1008","0","21","","1","0","","1011","","","vo_minigame_1008_drama_0101"
"119931","6","11","0","1","1","0","1012","0","0.5","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！"
"6","","93","","1","","","1013","","","1"
"119931","0","3","0.2","1","psy_miyako_doya_loop","0.2","1014","1","","psy_miyako_doya_in"
"1012","","91","","1","","","1015","","",""
"0","","22","","1","","","1016","","","0"
"2","1","3","","1","","0.2","1017","","","psy_fairy_talk"
"vo_minigame_1008","0","21","","1","0","","1018","","","vo_minigame_1008_drama_9901"
"2","6","11","0","1","1","0","1019","0","0.5","キュイキュイ！"
"0","","91","","1","","","1020","","",""
"2","1","3","","1","","0.2","1021","","","psy_fairy_idle"
"119931","1","3","","1","","0.2","1022","","","psy_miyako_talk2"
"vo_minigame_1008","0","21","","1","0","","1023","","","vo_minigame_1008_drama_0102"
"119931","5","11","0","1","1","0","1024","0","0.5","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！"
"2","","93","","1","","","1025","","","1"
"119931","1","3","","1","","0.2","1026","","","psy_miyako_talk_joy2"
"1024","","91","","1","","","1027","","",""
"0","","22","","1","","","1028","","","0"
"119931","1","3","","1","","0.2","1029","","","psy_miyako_idle"
"2","","4","","1","","","1030","","","1"
"2","0","3","0","1","psy_fairy_run","0.2","1031","1","","psy_fairy_run_in"
"1.3","","93","","1","","","1032","","",""
"2","-220","2","","1","1","","1033","0","","1000"
"2","","93","","1","","","1034","","",""
"119931","0","3","0.2","1","psy_miyako_doya_loop","0.2","1035","1","","psy_miyako_doya_in"
"vo_minigame_1008","0","21","","1","0","","1036","","","vo_minigame_1008_drama_0103"
"119931","6","11","0","1","1","0","1037","0","0.5","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！"
"0","","91","","1","","","1038","","",""
"0","","22","","1","","","1039","","","0"
"1","1","12","0","1","0","0","1040","0","0","11"
"1","0","3","0.2","1","psy_item00_idle_guts","0.2","1041","1","","psy_item00_talk_guts"
"2","","93","","1","","","1042","","",""
"119931","1","3","","1","","0.2","1043","","","psy_miyako_talk_joy2"
"vo_minigame_1008","0","21","","1","0","","1044","","","vo_minigame_1008_drama_0104"
"119931","5","11","0","1","1","0","1045","0","0.5","みんなみんな\nおいしいプリンにしてやるの～♪"
"4","","93","","1","","","1046","","","1"
"119931","0","3","0.2","1","psy_miyako_fight_loop","0.2","1047","1","","psy_miyako_fight_in"
"1","0","3","0.2","1","psy_item00_handsup_loop","0.2","1048","1","","psy_item00_handsup"
"1.5","","93","","1","","","1049","","",""
"1045","","91","","1","","","1050","","",""
"0","","22","","1","","","1051","","","0"
"1","100","1","0","2","-300","1.7","2001","-200","psy_miyako_start","119931"
"1","100","1","1","2","300","1.7","2002","-220","psy_walk","106011"
"1","0","31","","2","0","1","2003","1","","11"
"1","101","5","0","2","-300","1.7","2004","-200","psy_smoke_start","1"
"106011","-220","2","","2","2","","2005","0","","185"
"2","","93","","2","","","2006","","",""
"106011","0","3","0","2","psy_kyaru_talk_arm_crossed_loop","0.2","2007","1","","psy_kyaru_talk_arm_crossed"
"vo_minigame_1008","0","21","","2","0","","2008","","","vo_minigame_1008_drama_0305"
"106011","8","11","0","2","1","0","2009","0","0.5","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……"
"0","","91","","2","","","2010","","",""
"vo_minigame_1008","0","21","","2","0","","2011","","","vo_minigame_1008_drama_0306"
"106011","1","3","","2","","0.2","2012","","","psy_talk_sad"
"106011","8","11","0","2","1","0","2013","0","0.5","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。"
"4","","93","","2","","","2014","","","1"
"106011","1","3","","2","","0.2","2015","","","psy_talk_sad"
"2013","","91","","2","","","2016","","",""
"106011","1","3","","2","","0.2","2017","","","psy_idle_sad"
"119931","0","3","0.2","2","psy_miyako_thinking4","0.2","2018","1","","psy_miyako_appear"
"1","0","3","0","2","psy_smoke_start","0","2019","0","","psy_smoke_appear"
"vo_minigame_1008","0","21","","2","0","","2020","","","vo_minigame_1008_drama_0301"
"119931","4","11","0","2","1","0","2021","0","1","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……"
"1","","93","","2","","","2022","","","1"
"106011","0","3","0.2","2","psy_idle_surprise2","0.2","2023","1","","psy_surprise"
"2021","","91","","2","","","2024","","",""
"0","","22","","2","","","2025","","","0"
"119931","1","3","","2","","0.2","2026","","","psy_miyako_idle_thinking"
"106011","1","3","","2","","0.2","2027","","","psy_talk_surprise2"
"vo_minigame_1008","0","21","","2","0","","2028","","","vo_minigame_1008_drama_0307"
"106011","8","11","0","2","1","0","2029","0","0.5","キャッ！？\nいきなり出てきてなんなのよあんた！"
"0","","91","","2","","","2030","","",""
"106011","1","3","","2","","0.2","2031","","","psy_idle_surprise2"
"119931","1","3","","2","","0.2","2032","","","psy_miyako_anger1"
"vo_minigame_1008","0","21","","2","0","","2033","","","vo_minigame_1008_drama_0302"
"119931","5","11","0","2","1","0","2034","0","1","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……"
"8","","93","","2","","","2035","","","1"
"119931","1","3","","2","","0.2","2036","","","psy_miyako_thinking2"
"2034","","91","","2","","","2037","","",""
"0","","22","","2","","","2038","","","0"
"106011","1","3","","2","","0.2","2039","","","psy_talk_sad"
"vo_minigame_1008","0","21","","2","0","","2040","","","vo_minigame_1008_drama_0308"
"106011","8","11","0","2","1","0","2041","0","0.5","な、何よ……"
"0","","91","","2","","","2042","","",""
"106011","1","3","","2","","0.2","2043","","","psy_idle_sad"
"119931","1","3","","2","","0.2","2044","","","psy_miyako_run"
"119931","-200","2","","2","2","","2045","0","","0"
"2","","93","","2","","","2046","","",""
"119931","1","3","","2","","0.2","2047","","","psy_miyako_thinking2"
"vo_minigame_1008","0","21","","2","0","","2048","","","vo_minigame_1008_drama_0303"
"119931","6","11","0","2","1","0","2049","0","1","むむむむむ……\nオマエ、なんかおいしそうなの……"
"0","","91","","2","","","2050","","",""
"0","","22","","2","","","2051","","","0"
"0.5","","93","","2","","","2052","","",""
"106011","1","3","","2","","0.2","2053","","","psy_talk_sad"
"vo_minigame_1008","0","21","","2","0","","2054","","","vo_minigame_1008_drama_0309"
"106011","8","11","0","2","1","0","2055","0","0.5","はぁ～？"
"0","","91","","2","","","2056","","",""
"106011","1","3","","2","","0.2","2057","","","psy_idle_sad"
"vo_minigame_1008","0","21","","2","0","","2058","","","vo_minigame_1008_drama_0304"
"119931","6","11","0","2","1","0","2059","0","0.5","オマエをプリンにしてやるの～～！！"
"0.5","","93","","2","","","2060","","","1"
"119931","0","3","0","2","psy_miyako_attack_loop","0.2","2061","1","","psy_miyako_attack_in"
"0.2","","93","","2","","","2062","","","1"
"106011","0","3","0.2","2","psy_idle_surprise2","0.2","2063","1","","psy_surprise"
"2059","","91","","2","","","2064","","",""
"0","","22","","2","","","2065","","","0"
"106011","1","3","","2","","0.2","2066","","","psy_talk_surprise2"
"vo_minigame_1008","0","21","","2","0","","2067","","","vo_minigame_1008_drama_0310"
"106011","8","11","0","2","1","0","2068","0","0.5","な、なんなのよこの店～～！！"
"0","","91","","2","","","2069","","",""
"106011","","4","","2","","","2070","","","0"
"106011","1","3","","2","","0.2","2071","","","psy_run_shy"
"119931","1","3","","2","","0.2","2072","","","psy_miyako_attack_loop_move"
"106011","-220","2","","2","3","","2073","0","","1000"
"119931","-220","2","","2","5","","2074","0","","1000"
"3.5","","93","","2","","","2075","","",""
"0","","22","","2","","","2076","","","0"
"0","","91","","2","","","2077","","",""
"1","100","1","1","3","-250","1.65","3001","-150","psy_miyako_gasagoso_B","119931"
"1","100","1","1","3","340","1.7","3002","-180","psy_walk","105511"
"1","0","31","","3","0","1","3003","1","","11"
"1","101","5","0","3","-300","1.7","3004","-220","psy_smoke_start","1"
"105511","-180","2","","3","2","","3005","0","","225"
"2","","93","","3","","","3006","","",""
"105511","1","3","","3","","0.2","3007","","","psy_talk_wish"
"vo_minigame_1008","0","21","","3","0","","3008","","","vo_minigame_1008_drama_0203"
"105511","8","11","0","3","1","0","3009","0","0.5","こ、ここで先輩が働いてるんですよね？"
"0","","91","","3","","","3010","","",""
"105511","0","3","0","3","psy_ayumi_kyoro_loop","0.2","3011","1","","psy_ayumi_kyoro_in"
"1.8","","93","","3","","","3012","","",""
"105511","1","3","","3","","0.2","3013","","","psy_talk_joy1"
"vo_minigame_1008","0","21","","3","0","","3014","","","vo_minigame_1008_drama_0204"
"105511","8","11","0","3","1","0","3015","0","0.5","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？"
"0","","91","","3","","","3016","","",""
"105511","1","3","","3","","0.2","3017","","","psy_talk_call"
"vo_minigame_1008","0","21","","3","0","","3018","","","vo_minigame_1008_drama_0205"
"105511","8","11","0","3","1","0","3019","0","0.5","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？"
"3","","93","","3","","","3020","","","1"
"119931","0.8","12","0","3","1","0","3021","0","0","5"
"119931","","4","","3","","","3022","","","0"
"119931","1","3","","3","","0","3023","","","psy_miyako_idle_thinking"
"1.5","","93","","3","","","3024","","","1"
"119931","","4","","3","","","3025","","","1"
"119931","1","3","","3","","0","3026","","","psy_miyako_gasagoso_B"
"0.5","","93","","3","","","3027","","","1"
"105511","1","3","","3","","0.2","3028","","","psy_talk_sad"
"3019","","91","","3","","","3029","","",""
"105511","1","3","","3","","0.2","3030","","","psy_talk_wish"
"vo_minigame_1008","0","21","","3","0","","3031","","","vo_minigame_1008_drama_0206"
"105511","8","11","0","3","1","0","3032","0","0.5","と、とりあえずお金はおいておきますね\n失礼します！"
"2","","93","","3","","","3033","","","1"
"105511","1","3","","3","","0.2","3034","","","psy_gasagoso_B2"
"1","","93","","3","","","3035","","","1"
"105511","0","3","0.2","3","psy_idle_normal","0.2","3036","1","","psy_pekori"
"3032","","91","","3","","","3037","","",""
"105511","","4","","3","","","3038","","","0"
"105511","1","3","","3","","0.2","3039","","","psy_run"
"105511","-180","2","","3","3","","3040","0","","1000"
"3","","93","","3","","","3041","","",""
"0.5","","93","","3","","","3042","","",""
"119931","1","3","","3","","0","3043","","","psy_miyako_idle_thinking"
"2","","93","","3","","","3044","","",""
"119931","","4","","3","","","3045","","","0"
"119931","1","3","","3","","0.2","3046","","","psy_miyako_run"
"119931","-165","2","","3","2","","3047","0","","0"
"2","","93","","3","","","3048","","",""
"119931","1","3","","3","","0.2","3049","","","psy_miyako_thinking4"
"vo_minigame_1008","0","21","","3","0","","3050","","","vo_minigame_1008_drama_0201"
"119931","5","11","0","3","1","0","3051","0","0.5","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？"
"4","","93","","3","","","3052","","","1"
"119931","1","3","","3","","0.2","3053","","","psy_miyako_panic1"
"3051","","91","","3","","","3054","","",""
"0","","22","","3","","","3055","","","0"
"119931","0","3","0","3","psy_miyako_surprise2_loop","0.2","3056","1","","psy_miyako_surprise2_in"
"vo_minigame_1008","0","21","","3","0","","3057","","","vo_minigame_1008_drama_0202"
"119931","5","11","0","3","1","0","3058","0","1","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？"
"4","","93","","3","","","3059","","","1"
"119931","1","3","","3","","0.2","3060","","","psy_miyako_thinking4"
"3058","","91","","3","","","3061","","",""
"0","","22","","3","","","3062","","","0"
"1","","93","","3","","","3063","","",""
