2712b6efd20f3f9222f54bd894a57678bbaf47eb235aba34769f3eea508746aa,c3cc04270babd70151ffc5a8e9520b1520fa0a87dddb7e0a93b41beff9eaf1f1,0f23f7333572c0dc16fb34dec9fb849a53174841d53559c8c61cb568c50c2f56,5c8b35f0f5e34d02f16e9e4f2181053e36c9fcaf447db70aa80c3e939cfddf95,017c5685cee807c344875c90cc1827c9dc64885093ea9c79571a99b51ea00a7c
"1","1","13000001","25","101"
"1","1","40001","26","102"
"1000","1","99012","28","103"
"1","2","13000002","25","201"
"1","2","40002","26","202"
"1000","2","99012","28","203"
"1","3","13000004","25","301"
"1","3","40006","26","302"
"1000","3","99012","28","303"
"1","4","13000011","25","401"
"1","4","40008","26","402"
"1000","4","99012","28","403"
"1","5","13000007","25","501"
"1","5","40007","26","502"
"1000","5","99012","28","503"
"1","7","13000009","25","701"
"1","7","40003","26","702"
"1000","7","99012","28","703"
"1","9","13000013","25","901"
"1","9","40010","26","902"
"1000","9","99012","28","903"
"1","11","13000008","25","1101"
"1","11","40004","26","1102"
"1000","11","99012","28","1103"
"1","13","13000012","25","1301"
"1","13","40009","26","1302"
"1000","13","99012","28","1303"
"1","15","13000003","25","1501"
"1","15","40005","26","1502"
"1000","15","99012","28","1503"
